{'match': 0.852783203125, 'score': 0.852783203125, 'examples_seen': 81432, 'step': 6450, 'algorithm': 'kmp_matcher'},
{'match': 0.851806640625, 'score': 0.851806640625, 'examples_seen': 82072, 'step': 6500, 'algorithm': 'kmp_matcher'},
{'match': 0.837158203125, 'score': 0.837158203125, 'examples_seen': 82705, 'step': 6550, 'algorithm': 'kmp_matcher'},
{'match': 0.859619140625, 'score': 0.859619140625, 'examples_seen': 83333, 'step': 6600, 'algorithm': 'kmp_matcher'},
{'match': 0.869873046875, 'score': 0.869873046875, 'examples_seen': 83953, 'step': 6650, 'algorithm': 'kmp_matcher'},
{'match': 0.888916015625, 'score': 0.888916015625, 'examples_seen': 84588, 'step': 6700, 'algorithm': 'kmp_matcher'},
{'match': 0.908203125, 'score': 0.908203125, 'examples_seen': 85219, 'step': 6750, 'algorithm': 'kmp_matcher'},
{'match': 0.890625, 'score': 0.890625, 'examples_seen': 85853, 'step': 6800, 'algorithm': 'kmp_matcher'},
{'match': 0.848876953125, 'score': 0.848876953125, 'examples_seen': 86477, 'step': 6850, 'algorithm': 'kmp_matcher'},
{'match': 0.85546875, 'score': 0.85546875, 'examples_seen': 87118, 'step': 6900, 'algorithm': 'kmp_matcher'},
{'match': 0.912353515625, 'score': 0.912353515625, 'examples_seen': 87740, 'step': 6950, 'algorithm': 'kmp_matcher'},
{'match': 0.87109375, 'score': 0.87109375, 'examples_seen': 88382, 'step': 7000, 'algorithm': 'kmp_matcher'},
{'match': 0.90869140625, 'score': 0.90869140625, 'examples_seen': 89028, 'step': 7050, 'algorithm': 'kmp_matcher'},
{'match': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 89653, 'step': 7100, 'algorithm': 'kmp_matcher'},
{'match': 0.8994140625, 'score': 0.8994140625, 'examples_seen': 90276, 'step': 7150, 'algorithm': 'kmp_matcher'},
{'match': 0.906982421875, 'score': 0.906982421875, 'examples_seen': 90915, 'step': 7200, 'algorithm': 'kmp_matcher'},
{'match': 0.915771484375, 'score': 0.915771484375, 'examples_seen': 91545, 'step': 7250, 'algorithm': 'kmp_matcher'},
{'match': 0.881103515625, 'score': 0.881103515625, 'examples_seen': 92169, 'step': 7300, 'algorithm': 'kmp_matcher'},
{'match': 0.80126953125, 'score': 0.80126953125, 'examples_seen': 92805, 'step': 7350, 'algorithm': 'kmp_matcher'},
{'match': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 93435, 'step': 7400, 'algorithm': 'kmp_matcher'},
{'match': 0.902099609375, 'score': 0.902099609375, 'examples_seen': 94064, 'step': 7450, 'algorithm': 'kmp_matcher'},
{'match': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 94695, 'step': 7500, 'algorithm': 'kmp_matcher'},
{'match': 0.916259765625, 'score': 0.916259765625, 'examples_seen': 95320, 'step': 7550, 'algorithm': 'kmp_matcher'},
{'match': 0.93408203125, 'score': 0.93408203125, 'examples_seen': 95951, 'step': 7600, 'algorithm': 'kmp_matcher'},
{'match': 0.901611328125, 'score': 0.901611328125, 'examples_seen': 96580, 'step': 7650, 'algorithm': 'kmp_matcher'},
{'match': 0.91015625, 'score': 0.91015625, 'examples_seen': 97213, 'step': 7700, 'algorithm': 'kmp_matcher'},
{'match': 0.90478515625, 'score': 0.90478515625, 'examples_seen': 97841, 'step': 7750, 'algorithm': 'kmp_matcher'},
{'match': 0.905029296875, 'score': 0.905029296875, 'examples_seen': 98464, 'step': 7800, 'algorithm': 'kmp_matcher'},
{'match': 0.902587890625, 'score': 0.902587890625, 'examples_seen': 99094, 'step': 7850, 'algorithm': 'kmp_matcher'},
{'match': 0.91015625, 'score': 0.91015625, 'examples_seen': 99731, 'step': 7900, 'algorithm': 'kmp_matcher'},
{'match': 0.904541015625, 'score': 0.904541015625, 'examples_seen': 100361, 'step': 7950, 'algorithm': 'kmp_matcher'},
{'match': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 100987, 'step': 8000, 'algorithm': 'kmp_matcher'},
{'match': 0.880615234375, 'score': 0.880615234375, 'examples_seen': 101621, 'step': 8050, 'algorithm': 'kmp_matcher'},
{'match': 0.889404296875, 'score': 0.889404296875, 'examples_seen': 102238, 'step': 8100, 'algorithm': 'kmp_matcher'},
{'match': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 102873, 'step': 8150, 'algorithm': 'kmp_matcher'},
{'match': 0.907470703125, 'score': 0.907470703125, 'examples_seen': 103507, 'step': 8200, 'algorithm': 'kmp_matcher'},
{'match': 0.896484375, 'score': 0.896484375, 'examples_seen': 104129, 'step': 8250, 'algorithm': 'kmp_matcher'},
{'match': 0.89599609375, 'score': 0.89599609375, 'examples_seen': 104763, 'step': 8300, 'algorithm': 'kmp_matcher'},
{'match': 0.91748046875, 'score': 0.91748046875, 'examples_seen': 105391, 'step': 8350, 'algorithm': 'kmp_matcher'},
{'match': 0.875244140625, 'score': 0.875244140625, 'examples_seen': 106025, 'step': 8400, 'algorithm': 'kmp_matcher'},
{'match': 0.940673828125, 'score': 0.940673828125, 'examples_seen': 106652, 'step': 8450, 'algorithm': 'kmp_matcher'},
{'match': 0.9072265625, 'score': 0.9072265625, 'examples_seen': 107292, 'step': 8500, 'algorithm': 'kmp_matcher'},
{'match': 0.92578125, 'score': 0.92578125, 'examples_seen': 107924, 'step': 8550, 'algorithm': 'kmp_matcher'},
{'match': 0.82861328125, 'score': 0.82861328125, 'examples_seen': 108554, 'step': 8600, 'algorithm': 'kmp_matcher'},
{'match': 0.93359375, 'score': 0.93359375, 'examples_seen': 109176, 'step': 8650, 'algorithm': 'kmp_matcher'},
{'match': 0.942138671875, 'score': 0.942138671875, 'examples_seen': 109815, 'step': 8700, 'algorithm': 'kmp_matcher'},
{'match': 0.889404296875, 'score': 0.889404296875, 'examples_seen': 110451, 'step': 8750, 'algorithm': 'kmp_matcher'},
{'match': 0.943115234375, 'score': 0.943115234375, 'examples_seen': 111082, 'step': 8800, 'algorithm': 'kmp_matcher'},
{'match': 0.94580078125, 'score': 0.94580078125, 'examples_seen': 111711, 'step': 8850, 'algorithm': 'kmp_matcher'},
{'match': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 112350, 'step': 8900, 'algorithm': 'kmp_matcher'},
{'match': 0.904541015625, 'score': 0.904541015625, 'examples_seen': 112977, 'step': 8950, 'algorithm': 'kmp_matcher'},
{'match': 0.91357421875, 'score': 0.91357421875, 'examples_seen': 113613, 'step': 9000, 'algorithm': 'kmp_matcher'},
{'match': 0.94287109375, 'score': 0.94287109375, 'examples_seen': 114243, 'step': 9050, 'algorithm': 'kmp_matcher'},
{'match': 0.95703125, 'score': 0.95703125, 'examples_seen': 114872, 'step': 9100, 'algorithm': 'kmp_matcher'},
{'match': 0.916259765625, 'score': 0.916259765625, 'examples_seen': 115502, 'step': 9150, 'algorithm': 'kmp_matcher'},
{'match': 0.944091796875, 'score': 0.944091796875, 'examples_seen': 116139, 'step': 9200, 'algorithm': 'kmp_matcher'},
{'match': 0.90380859375, 'score': 0.90380859375, 'examples_seen': 116755, 'step': 9250, 'algorithm': 'kmp_matcher'},
{'match': 0.895263671875, 'score': 0.895263671875, 'examples_seen': 117384, 'step': 9300, 'algorithm': 'kmp_matcher'},
{'match': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 117999, 'step': 9350, 'algorithm': 'kmp_matcher'},
{'match': 0.865966796875, 'score': 0.865966796875, 'examples_seen': 118625, 'step': 9400, 'algorithm': 'kmp_matcher'},
{'match': 0.920166015625, 'score': 0.920166015625, 'examples_seen': 119254, 'step': 9450, 'algorithm': 'kmp_matcher'},
{'match': 0.949951171875, 'score': 0.949951171875, 'examples_seen': 119878, 'step': 9500, 'algorithm': 'kmp_matcher'},
{'match': 0.897216796875, 'score': 0.897216796875, 'examples_seen': 120498, 'step': 9550, 'algorithm': 'kmp_matcher'},
{'match': 0.91015625, 'score': 0.91015625, 'examples_seen': 121131, 'step': 9600, 'algorithm': 'kmp_matcher'},
{'match': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 121772, 'step': 9650, 'algorithm': 'kmp_matcher'},
{'match': 0.92138671875, 'score': 0.92138671875, 'examples_seen': 122405, 'step': 9700, 'algorithm': 'kmp_matcher'},
{'match': 0.933837890625, 'score': 0.933837890625, 'examples_seen': 123033, 'step': 9750, 'algorithm': 'kmp_matcher'},
{'match': 0.93798828125, 'score': 0.93798828125, 'examples_seen': 123674, 'step': 9800, 'algorithm': 'kmp_matcher'},
{'match': 0.928466796875, 'score': 0.928466796875, 'examples_seen': 124316, 'step': 9850, 'algorithm': 'kmp_matcher'},
{'match': 0.847900390625, 'score': 0.847900390625, 'examples_seen': 124951, 'step': 9900, 'algorithm': 'kmp_matcher'},
{'match': 0.905029296875, 'score': 0.905029296875, 'examples_seen': 125581, 'step': 9950, 'algorithm': 'kmp_matcher'},
