{'pi': 0.9207317073170732, 'score': 0.9207317073170732, 'examples_seen': 281365, 'step': 8400, 'algorithm': 'mst_prim'},
{'pi': 0.8784298780487805, 'score': 0.8784298780487805, 'examples_seen': 282998, 'step': 8450, 'algorithm': 'mst_prim'},
{'pi': 0.9032012195121951, 'score': 0.9032012195121951, 'examples_seen': 284769, 'step': 8500, 'algorithm': 'mst_prim'},
{'pi': 0.9233993902439024, 'score': 0.9233993902439024, 'examples_seen': 286311, 'step': 8550, 'algorithm': 'mst_prim'},
{'pi': 0.9146341463414634, 'score': 0.9146341463414634, 'examples_seen': 288113, 'step': 8600, 'algorithm': 'mst_prim'},
{'pi': 0.9119664634146342, 'score': 0.9119664634146342, 'examples_seen': 289593, 'step': 8650, 'algorithm': 'mst_prim'},
{'pi': 0.8875762195121951, 'score': 0.8875762195121951, 'examples_seen': 291383, 'step': 8700, 'algorithm': 'mst_prim'},
{'pi': 0.9024390243902439, 'score': 0.9024390243902439, 'examples_seen': 293036, 'step': 8750, 'algorithm': 'mst_prim'},
{'pi': 0.911204268292683, 'score': 0.911204268292683, 'examples_seen': 294640, 'step': 8800, 'algorithm': 'mst_prim'},
{'pi': 0.881859756097561, 'score': 0.881859756097561, 'examples_seen': 296403, 'step': 8850, 'algorithm': 'mst_prim'},
{'pi': 0.8959603658536586, 'score': 0.8959603658536586, 'examples_seen': 297906, 'step': 8900, 'algorithm': 'mst_prim'},
{'pi': 0.9119664634146342, 'score': 0.9119664634146342, 'examples_seen': 299704, 'step': 8950, 'algorithm': 'mst_prim'},
{'pi': 0.8757621951219512, 'score': 0.8757621951219512, 'examples_seen': 301218, 'step': 9000, 'algorithm': 'mst_prim'},
{'pi': 0.9138719512195121, 'score': 0.9138719512195121, 'examples_seen': 303038, 'step': 9050, 'algorithm': 'mst_prim'},
{'pi': 0.9146341463414634, 'score': 0.9146341463414634, 'examples_seen': 304708, 'step': 9100, 'algorithm': 'mst_prim'},
{'pi': 0.9032012195121951, 'score': 0.9032012195121951, 'examples_seen': 306359, 'step': 9150, 'algorithm': 'mst_prim'},
{'pi': 0.8708079268292683, 'score': 0.8708079268292683, 'examples_seen': 308092, 'step': 9200, 'algorithm': 'mst_prim'},
{'pi': 0.899390243902439, 'score': 0.899390243902439, 'examples_seen': 309637, 'step': 9250, 'algorithm': 'mst_prim'},
{'pi': 0.9070121951219512, 'score': 0.9070121951219512, 'examples_seen': 311430, 'step': 9300, 'algorithm': 'mst_prim'},
{'pi': 0.901295731707317, 'score': 0.901295731707317, 'examples_seen': 312953, 'step': 9350, 'algorithm': 'mst_prim'},
{'pi': 0.8860518292682927, 'score': 0.8860518292682927, 'examples_seen': 314753, 'step': 9400, 'algorithm': 'mst_prim'},
{'pi': 0.9104420731707317, 'score': 0.9104420731707317, 'examples_seen': 316399, 'step': 9450, 'algorithm': 'mst_prim'},
{'pi': 0.9043445121951219, 'score': 0.9043445121951219, 'examples_seen': 318024, 'step': 9500, 'algorithm': 'mst_prim'},
{'pi': 0.8978658536585366, 'score': 0.8978658536585366, 'examples_seen': 319762, 'step': 9550, 'algorithm': 'mst_prim'},
{'pi': 0.9020579268292683, 'score': 0.9020579268292683, 'examples_seen': 321309, 'step': 9600, 'algorithm': 'mst_prim'},
{'pi': 0.9222560975609756, 'score': 0.9222560975609756, 'examples_seen': 323098, 'step': 9650, 'algorithm': 'mst_prim'},
{'pi': 0.890625, 'score': 0.890625, 'examples_seen': 324576, 'step': 9700, 'algorithm': 'mst_prim'},
{'pi': 0.9146341463414634, 'score': 0.9146341463414634, 'examples_seen': 326423, 'step': 9750, 'algorithm': 'mst_prim'},
{'pi': 0.9222560975609756, 'score': 0.9222560975609756, 'examples_seen': 328105, 'step': 9800, 'algorithm': 'mst_prim'},
{'pi': 0.9016768292682927, 'score': 0.9016768292682927, 'examples_seen': 329745, 'step': 9850, 'algorithm': 'mst_prim'},
{'pi': 0.9237804878048781, 'score': 0.9237804878048781, 'examples_seen': 331493, 'step': 9900, 'algorithm': 'mst_prim'},
{'pi': 0.8628048780487805, 'score': 0.8628048780487805, 'examples_seen': 333046, 'step': 9950, 'algorithm': 'mst_prim'},
