{'pred': 0.7134146341463414, 'score': 0.7134146341463414, 'examples_seen': 147782, 'step': 8100, 'algorithm': 'quicksort'},
{'pred': 0.7160823170731707, 'score': 0.7160823170731707, 'examples_seen': 148786, 'step': 8150, 'algorithm': 'quicksort'},
{'pred': 0.6882621951219512, 'score': 0.6882621951219512, 'examples_seen': 149573, 'step': 8200, 'algorithm': 'quicksort'},
{'pred': 0.4245426829268293, 'score': 0.4245426829268293, 'examples_seen': 150582, 'step': 8250, 'algorithm': 'quicksort'},
{'pred': 0.7633384146341463, 'score': 0.7633384146341463, 'examples_seen': 151365, 'step': 8300, 'algorithm': 'quicksort'},
{'pred': 0.5522103658536586, 'score': 0.5522103658536586, 'examples_seen': 152385, 'step': 8350, 'algorithm': 'quicksort'},
{'pred': 0.6909298780487805, 'score': 0.6909298780487805, 'examples_seen': 153338, 'step': 8400, 'algorithm': 'quicksort'},
{'pred': 0.6429115853658537, 'score': 0.6429115853658537, 'examples_seen': 154186, 'step': 8450, 'algorithm': 'quicksort'},
{'pred': 0.6577743902439024, 'score': 0.6577743902439024, 'examples_seen': 155176, 'step': 8500, 'algorithm': 'quicksort'},
{'pred': 0.7179878048780488, 'score': 0.7179878048780488, 'examples_seen': 155972, 'step': 8550, 'algorithm': 'quicksort'},
{'pred': 0.5232469512195121, 'score': 0.5232469512195121, 'examples_seen': 156989, 'step': 8600, 'algorithm': 'quicksort'},
{'pred': 0.6177591463414634, 'score': 0.6177591463414634, 'examples_seen': 157770, 'step': 8650, 'algorithm': 'quicksort'},
{'pred': 0.5956554878048781, 'score': 0.5956554878048781, 'examples_seen': 158785, 'step': 8700, 'algorithm': 'quicksort'},
{'pred': 0.5628810975609756, 'score': 0.5628810975609756, 'examples_seen': 159751, 'step': 8750, 'algorithm': 'quicksort'},
{'pred': 0.6791158536585366, 'score': 0.6791158536585366, 'examples_seen': 160585, 'step': 8800, 'algorithm': 'quicksort'},
{'pred': 0.6360518292682927, 'score': 0.6360518292682927, 'examples_seen': 161592, 'step': 8850, 'algorithm': 'quicksort'},
{'pred': 0.5434451219512195, 'score': 0.5434451219512195, 'examples_seen': 162376, 'step': 8900, 'algorithm': 'quicksort'},
{'pred': 0.6089939024390244, 'score': 0.6089939024390244, 'examples_seen': 163392, 'step': 8950, 'algorithm': 'quicksort'},
{'pred': 0.7240853658536586, 'score': 0.7240853658536586, 'examples_seen': 164175, 'step': 9000, 'algorithm': 'quicksort'},
{'pred': 0.7008384146341463, 'score': 0.7008384146341463, 'examples_seen': 165179, 'step': 9050, 'algorithm': 'quicksort'},
{'pred': 0.5724085365853658, 'score': 0.5724085365853658, 'examples_seen': 166143, 'step': 9100, 'algorithm': 'quicksort'},
{'pred': 0.7000762195121951, 'score': 0.7000762195121951, 'examples_seen': 166970, 'step': 9150, 'algorithm': 'quicksort'},
{'pred': 0.6230945121951219, 'score': 0.6230945121951219, 'examples_seen': 167970, 'step': 9200, 'algorithm': 'quicksort'},
{'pred': 0.6280487804878049, 'score': 0.6280487804878049, 'examples_seen': 168765, 'step': 9250, 'algorithm': 'quicksort'},
{'pred': 0.6131859756097561, 'score': 0.6131859756097561, 'examples_seen': 169777, 'step': 9300, 'algorithm': 'quicksort'},
{'pred': 0.604420731707317, 'score': 0.604420731707317, 'examples_seen': 170555, 'step': 9350, 'algorithm': 'quicksort'},
{'pred': 0.6673018292682927, 'score': 0.6673018292682927, 'examples_seen': 171572, 'step': 9400, 'algorithm': 'quicksort'},
{'pred': 0.5613567073170732, 'score': 0.5613567073170732, 'examples_seen': 172533, 'step': 9450, 'algorithm': 'quicksort'},
{'pred': 0.5583079268292683, 'score': 0.5583079268292683, 'examples_seen': 173364, 'step': 9500, 'algorithm': 'quicksort'},
{'pred': 0.5990853658536586, 'score': 0.5990853658536586, 'examples_seen': 174354, 'step': 9550, 'algorithm': 'quicksort'},
{'pred': 0.7854420731707317, 'score': 0.7854420731707317, 'examples_seen': 175141, 'step': 9600, 'algorithm': 'quicksort'},
{'pred': 0.6089939024390244, 'score': 0.6089939024390244, 'examples_seen': 176153, 'step': 9650, 'algorithm': 'quicksort'},
{'pred': 0.7115091463414634, 'score': 0.7115091463414634, 'examples_seen': 176936, 'step': 9700, 'algorithm': 'quicksort'},
{'pred': 0.6532012195121951, 'score': 0.6532012195121951, 'examples_seen': 177944, 'step': 9750, 'algorithm': 'quicksort'},
{'pred': 0.5346798780487805, 'score': 0.5346798780487805, 'examples_seen': 178906, 'step': 9800, 'algorithm': 'quicksort'},
{'pred': 0.6189024390243902, 'score': 0.6189024390243902, 'examples_seen': 179740, 'step': 9850, 'algorithm': 'quicksort'},
{'pred': 0.7084603658536586, 'score': 0.7084603658536586, 'examples_seen': 180734, 'step': 9900, 'algorithm': 'quicksort'},
{'pred': 0.6855945121951219, 'score': 0.6855945121951219, 'examples_seen': 181532, 'step': 9950, 'algorithm': 'quicksort'},
