{'scc_id': 0.6611328125, 'score': 0.6611328125, 'examples_seen': 21412, 'step': 7450, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.53125, 'score': 0.53125, 'examples_seen': 21556, 'step': 7500, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6181640625, 'score': 0.6181640625, 'examples_seen': 21700, 'step': 7550, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.4990234375, 'score': 0.4990234375, 'examples_seen': 21844, 'step': 7600, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5830078125, 'score': 0.5830078125, 'examples_seen': 21986, 'step': 7650, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6611328125, 'score': 0.6611328125, 'examples_seen': 22131, 'step': 7700, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 22276, 'step': 7750, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6123046875, 'score': 0.6123046875, 'examples_seen': 22422, 'step': 7800, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.62890625, 'score': 0.62890625, 'examples_seen': 22565, 'step': 7850, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6669921875, 'score': 0.6669921875, 'examples_seen': 22708, 'step': 7900, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.6064453125, 'score': 0.6064453125, 'examples_seen': 22851, 'step': 7950, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 22993, 'step': 8000, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5068359375, 'score': 0.5068359375, 'examples_seen': 23138, 'step': 8050, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5546875, 'score': 0.5546875, 'examples_seen': 23280, 'step': 8100, 'algorithm': 'strongly_connected_components'},
{'scc_id': 0.5361328125, 'score': 0.5361328125, 'examples_seen': 23423, 'step': 8150, 'algorithm': 'strongly_connected_components'},
