{'pi': 0.37728658536585363, 'score': 0.37728658536585363, 'examples_seen': 85088, 'step': 8500, 'algorithm': 'dfs'},
{'pi': 0.35785060975609756, 'score': 0.35785060975609756, 'examples_seen': 85568, 'step': 8550, 'algorithm': 'dfs'},
{'pi': 0.31135670731707316, 'score': 0.31135670731707316, 'examples_seen': 86096, 'step': 8600, 'algorithm': 'dfs'},
{'pi': 0.3746189024390244, 'score': 0.3746189024390244, 'examples_seen': 86528, 'step': 8650, 'algorithm': 'dfs'},
{'pi': 0.3227896341463415, 'score': 0.3227896341463415, 'examples_seen': 87088, 'step': 8700, 'algorithm': 'dfs'},
{'pi': 0.3315548780487805, 'score': 0.3315548780487805, 'examples_seen': 87584, 'step': 8750, 'algorithm': 'dfs'},
{'pi': 0.3246951219512195, 'score': 0.3246951219512195, 'examples_seen': 88096, 'step': 8800, 'algorithm': 'dfs'},
{'pi': 0.3509908536585366, 'score': 0.3509908536585366, 'examples_seen': 88592, 'step': 8850, 'algorithm': 'dfs'},
{'pi': 0.30259146341463417, 'score': 0.30259146341463417, 'examples_seen': 89024, 'step': 8900, 'algorithm': 'dfs'},
{'pi': 0.3475609756097561, 'score': 0.3475609756097561, 'examples_seen': 89584, 'step': 8950, 'algorithm': 'dfs'},
{'pi': 0.38414634146341464, 'score': 0.38414634146341464, 'examples_seen': 90032, 'step': 9000, 'algorithm': 'dfs'},
{'pi': 0.3700457317073171, 'score': 0.3700457317073171, 'examples_seen': 90608, 'step': 9050, 'algorithm': 'dfs'},
{'pi': 0.34184451219512196, 'score': 0.34184451219512196, 'examples_seen': 91104, 'step': 9100, 'algorithm': 'dfs'},
{'pi': 0.36547256097560976, 'score': 0.36547256097560976, 'examples_seen': 91568, 'step': 9150, 'algorithm': 'dfs'},
{'pi': 0.36166158536585363, 'score': 0.36166158536585363, 'examples_seen': 92096, 'step': 9200, 'algorithm': 'dfs'},
{'pi': 0.38185975609756095, 'score': 0.38185975609756095, 'examples_seen': 92528, 'step': 9250, 'algorithm': 'dfs'},
