{'in_mst': 0.683433734939759, 'score': 0.683433734939759, 'examples_seen': 263269, 'step': 6200, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5719232818327118, 'score': 0.5719232818327118, 'examples_seen': 265622, 'step': 6250, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.4337065409546258, 'score': 0.4337065409546258, 'examples_seen': 267809, 'step': 6300, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6437246963562754, 'score': 0.6437246963562754, 'examples_seen': 269831, 'step': 6350, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6843122676579926, 'score': 0.6843122676579926, 'examples_seen': 272181, 'step': 6400, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6288147622427254, 'score': 0.6288147622427254, 'examples_seen': 274027, 'step': 6450, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5829580879806027, 'score': 0.5829580879806027, 'examples_seen': 276441, 'step': 6500, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.49247441300421435, 'score': 0.49247441300421435, 'examples_seen': 278228, 'step': 6550, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5680861020121667, 'score': 0.5680861020121667, 'examples_seen': 280534, 'step': 6600, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6211615487316422, 'score': 0.6211615487316422, 'examples_seen': 282712, 'step': 6650, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6101307189542484, 'score': 0.6101307189542484, 'examples_seen': 284642, 'step': 6700, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.49439974759425775, 'score': 0.49439974759425775, 'examples_seen': 286878, 'step': 6750, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5916448281177741, 'score': 0.5916448281177741, 'examples_seen': 288728, 'step': 6800, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5621744791666665, 'score': 0.5621744791666665, 'examples_seen': 291057, 'step': 6850, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5575876029596537, 'score': 0.5575876029596537, 'examples_seen': 292795, 'step': 6900, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5692307692307693, 'score': 0.5692307692307693, 'examples_seen': 295149, 'step': 6950, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.676056338028169, 'score': 0.676056338028169, 'examples_seen': 297325, 'step': 7000, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6528307645353273, 'score': 0.6528307645353273, 'examples_seen': 299375, 'step': 7050, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7528835063437139, 'score': 0.7528835063437139, 'examples_seen': 301751, 'step': 7100, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6788639135737933, 'score': 0.6788639135737933, 'examples_seen': 303594, 'step': 7150, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6215465575208302, 'score': 0.6215465575208302, 'examples_seen': 306043, 'step': 7200, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6604414261460102, 'score': 0.6604414261460102, 'examples_seen': 307844, 'step': 7250, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5738345864661654, 'score': 0.5738345864661654, 'examples_seen': 310217, 'step': 7300, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7242234213212776, 'score': 0.7242234213212776, 'examples_seen': 312433, 'step': 7350, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6016314299983353, 'score': 0.6016314299983353, 'examples_seen': 314426, 'step': 7400, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5830026455026455, 'score': 0.5830026455026455, 'examples_seen': 316758, 'step': 7450, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6565856416054269, 'score': 0.6565856416054269, 'examples_seen': 318590, 'step': 7500, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.637107573277786, 'score': 0.637107573277786, 'examples_seen': 320980, 'step': 7550, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7385427994407333, 'score': 0.7385427994407333, 'examples_seen': 322785, 'step': 7600, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.5195082843399251, 'score': 0.5195082843399251, 'examples_seen': 325147, 'step': 7650, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.699619771863118, 'score': 0.699619771863118, 'examples_seen': 327330, 'step': 7700, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.647814124121064, 'score': 0.647814124121064, 'examples_seen': 329306, 'step': 7750, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7269794327194516, 'score': 0.7269794327194516, 'examples_seen': 331597, 'step': 7800, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.668716939352934, 'score': 0.668716939352934, 'examples_seen': 333381, 'step': 7850, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.7307323313079629, 'score': 0.7307323313079629, 'examples_seen': 335781, 'step': 7900, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6208884367582231, 'score': 0.6208884367582231, 'examples_seen': 337639, 'step': 7950, 'algorithm': 'mst_kruskal'},
{'in_mst': 0.6870771312584574, 'score': 0.6870771312584574, 'examples_seen': 340021, 'step': 8000, 'algorithm': 'mst_kruskal'},
