{'intersect': 0.9125970448284497, 'score': 0.9125970448284497, 'examples_seen': 319984, 'step': 6250, 'algorithm': 'segments_intersect'},
{'intersect': 0.9182763744427934, 'score': 0.9182763744427934, 'examples_seen': 322608, 'step': 6300, 'algorithm': 'segments_intersect'},
{'intersect': 0.9269689737470167, 'score': 0.9269689737470167, 'examples_seen': 325168, 'step': 6350, 'algorithm': 'segments_intersect'},
{'intersect': 0.8804289544235925, 'score': 0.8804289544235925, 'examples_seen': 327632, 'step': 6400, 'algorithm': 'segments_intersect'},
{'intersect': 0.9121683440073194, 'score': 0.9121683440073194, 'examples_seen': 330256, 'step': 6450, 'algorithm': 'segments_intersect'},
{'intersect': 0.9222823413674373, 'score': 0.9222823413674373, 'examples_seen': 332880, 'step': 6500, 'algorithm': 'segments_intersect'},
{'intersect': 0.9111896348645465, 'score': 0.9111896348645465, 'examples_seen': 335280, 'step': 6550, 'algorithm': 'segments_intersect'},
{'intersect': 0.9183864915572233, 'score': 0.9183864915572233, 'examples_seen': 337904, 'step': 6600, 'algorithm': 'segments_intersect'},
{'intersect': 0.9014304291287386, 'score': 0.9014304291287386, 'examples_seen': 340528, 'step': 6650, 'algorithm': 'segments_intersect'},
{'intersect': 0.9089128305582762, 'score': 0.9089128305582762, 'examples_seen': 343088, 'step': 6700, 'algorithm': 'segments_intersect'},
{'intersect': 0.8575418994413407, 'score': 0.8575418994413407, 'examples_seen': 345552, 'step': 6750, 'algorithm': 'segments_intersect'},
{'intersect': 0.9023871425194989, 'score': 0.9023871425194989, 'examples_seen': 348176, 'step': 6800, 'algorithm': 'segments_intersect'},
{'intersect': 0.9260404280618312, 'score': 0.9260404280618312, 'examples_seen': 350800, 'step': 6850, 'algorithm': 'segments_intersect'},
{'intersect': 0.914387031408308, 'score': 0.914387031408308, 'examples_seen': 353200, 'step': 6900, 'algorithm': 'segments_intersect'},
{'intersect': 0.9178470254957507, 'score': 0.9178470254957507, 'examples_seen': 355824, 'step': 6950, 'algorithm': 'segments_intersect'},
{'intersect': 0.9174618320610686, 'score': 0.9174618320610686, 'examples_seen': 358448, 'step': 7000, 'algorithm': 'segments_intersect'},
{'intersect': 0.9140401146131806, 'score': 0.9140401146131806, 'examples_seen': 361008, 'step': 7050, 'algorithm': 'segments_intersect'},
{'intersect': 0.911692155895412, 'score': 0.911692155895412, 'examples_seen': 363472, 'step': 7100, 'algorithm': 'segments_intersect'},
{'intersect': 0.909772674009843, 'score': 0.909772674009843, 'examples_seen': 366096, 'step': 7150, 'algorithm': 'segments_intersect'},
{'intersect': 0.930021495103893, 'score': 0.930021495103893, 'examples_seen': 368720, 'step': 7200, 'algorithm': 'segments_intersect'},
{'intersect': 0.8756084369929692, 'score': 0.8756084369929692, 'examples_seen': 371120, 'step': 7250, 'algorithm': 'segments_intersect'},
{'intersect': 0.9216837983357808, 'score': 0.9216837983357808, 'examples_seen': 373744, 'step': 7300, 'algorithm': 'segments_intersect'},
{'intersect': 0.9280505590666019, 'score': 0.9280505590666019, 'examples_seen': 376368, 'step': 7350, 'algorithm': 'segments_intersect'},
