{'topo_head': 0.921875, 'score': 0.6011814024390244, 'examples_seen': 62551, 'step': 5450, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6217606707317074, 'examples_seen': 63061, 'step': 5500, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5996570121951219, 'examples_seen': 63684, 'step': 5550, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6164253048780488, 'examples_seen': 64264, 'step': 5600, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6196646341463414, 'examples_seen': 64815, 'step': 5650, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6307164634146342, 'examples_seen': 65426, 'step': 5700, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5647865853658537, 'examples_seen': 65951, 'step': 5750, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.5821265243902439, 'examples_seen': 66561, 'step': 5800, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6392911585365854, 'examples_seen': 67079, 'step': 5850, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5954649390243902, 'examples_seen': 67695, 'step': 5900, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5565929878048781, 'examples_seen': 68273, 'step': 5950, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.6046112804878049, 'examples_seen': 68834, 'step': 6000, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6206173780487805, 'examples_seen': 69433, 'step': 6050, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6427210365853658, 'examples_seen': 69961, 'step': 6100, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.5710746951219512, 'examples_seen': 70577, 'step': 6150, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6284298780487805, 'examples_seen': 71106, 'step': 6200, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6242378048780488, 'examples_seen': 71707, 'step': 6250, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.5430640243902439, 'examples_seen': 72285, 'step': 6300, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.5480182926829268, 'examples_seen': 72837, 'step': 6350, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.6101371951219512, 'examples_seen': 73444, 'step': 6400, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5579268292682926, 'examples_seen': 73975, 'step': 6450, 'algorithm': 'topological_sort'},
{'topo_head': 0.90625, 'score': 0.5499237804878049, 'examples_seen': 74596, 'step': 6500, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6027057926829268, 'examples_seen': 75110, 'step': 6550, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5971798780487805, 'examples_seen': 75725, 'step': 6600, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.578125, 'examples_seen': 76308, 'step': 6650, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6657774390243902, 'examples_seen': 76862, 'step': 6700, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6716844512195121, 'examples_seen': 77468, 'step': 6750, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5807926829268293, 'examples_seen': 77998, 'step': 6800, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6208079268292683, 'examples_seen': 78607, 'step': 6850, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6471036585365854, 'examples_seen': 79131, 'step': 6900, 'algorithm': 'topological_sort'},
{'topo_head': 0.890625, 'score': 0.5318216463414634, 'examples_seen': 79748, 'step': 6950, 'algorithm': 'topological_sort'},
{'topo_head': 0.921875, 'score': 0.5678353658536586, 'examples_seen': 80329, 'step': 7000, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6141387195121951, 'examples_seen': 80880, 'step': 7050, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.5611661585365854, 'examples_seen': 81489, 'step': 7100, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6451981707317074, 'examples_seen': 82020, 'step': 7150, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.6063262195121951, 'examples_seen': 82634, 'step': 7200, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.5754573170731707, 'examples_seen': 83148, 'step': 7250, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6118521341463414, 'examples_seen': 83767, 'step': 7300, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6023246951219512, 'examples_seen': 84349, 'step': 7350, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6310975609756098, 'examples_seen': 84901, 'step': 7400, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6158536585365854, 'examples_seen': 85505, 'step': 7450, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.5807926829268293, 'examples_seen': 86036, 'step': 7500, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6068978658536586, 'examples_seen': 86648, 'step': 7550, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5750762195121951, 'examples_seen': 87163, 'step': 7600, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5813643292682926, 'examples_seen': 87787, 'step': 7650, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6389100609756098, 'examples_seen': 88371, 'step': 7700, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.5884146341463414, 'examples_seen': 88918, 'step': 7750, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5929878048780488, 'examples_seen': 89530, 'step': 7800, 'algorithm': 'topological_sort'},
{'topo_head': 0.796875, 'score': 0.5327743902439024, 'examples_seen': 90055, 'step': 7850, 'algorithm': 'topological_sort'},
{'topo_head': 1.0, 'score': 0.6248094512195121, 'examples_seen': 90671, 'step': 7900, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6257621951219512, 'examples_seen': 91191, 'step': 7950, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5901295731707317, 'examples_seen': 91813, 'step': 8000, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5649771341463414, 'examples_seen': 92399, 'step': 8050, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.5865091463414634, 'examples_seen': 92953, 'step': 8100, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6349085365853658, 'examples_seen': 93549, 'step': 8150, 'algorithm': 'topological_sort'},
{'topo_head': 0.984375, 'score': 0.6324314024390244, 'examples_seen': 94081, 'step': 8200, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.5645960365853658, 'examples_seen': 94693, 'step': 8250, 'algorithm': 'topological_sort'},
{'topo_head': 0.4375, 'score': 0.3570884146341463, 'examples_seen': 95206, 'step': 8300, 'algorithm': 'topological_sort'},
{'topo_head': 0.96875, 'score': 0.6215701219512195, 'examples_seen': 95841, 'step': 8350, 'algorithm': 'topological_sort'},
{'topo_head': 0.9375, 'score': 0.590891768292683, 'examples_seen': 96418, 'step': 8400, 'algorithm': 'topological_sort'},
{'topo_head': 0.953125, 'score': 0.6135670731707317, 'examples_seen': 96968, 'step': 8450, 'algorithm': 'topological_sort'},
