{'pi': 0.9676067073170732, 'score': 0.9676067073170732, 'examples_seen': 224318, 'step': 6700, 'algorithm': 'dijkstra'},
{'pi': 0.9641768292682927, 'score': 0.9641768292682927, 'examples_seen': 226074, 'step': 6750, 'algorithm': 'dijkstra'},
{'pi': 0.9470274390243902, 'score': 0.9470274390243902, 'examples_seen': 227601, 'step': 6800, 'algorithm': 'dijkstra'},
{'pi': 0.9668445121951219, 'score': 0.9668445121951219, 'examples_seen': 229422, 'step': 6850, 'algorithm': 'dijkstra'},
{'pi': 0.9645579268292683, 'score': 0.9645579268292683, 'examples_seen': 230919, 'step': 6900, 'algorithm': 'dijkstra'},
{'pi': 0.9496951219512195, 'score': 0.9496951219512195, 'examples_seen': 232772, 'step': 6950, 'algorithm': 'dijkstra'},
{'pi': 0.9721798780487805, 'score': 0.9721798780487805, 'examples_seen': 234457, 'step': 7000, 'algorithm': 'dijkstra'},
{'pi': 0.9786585365853658, 'score': 0.9786585365853658, 'examples_seen': 236085, 'step': 7050, 'algorithm': 'dijkstra'},
{'pi': 0.9710365853658537, 'score': 0.9710365853658537, 'examples_seen': 237802, 'step': 7100, 'algorithm': 'dijkstra'},
{'pi': 0.979420731707317, 'score': 0.979420731707317, 'examples_seen': 239380, 'step': 7150, 'algorithm': 'dijkstra'},
{'pi': 0.9565548780487805, 'score': 0.9565548780487805, 'examples_seen': 241193, 'step': 7200, 'algorithm': 'dijkstra'},
{'pi': 0.9698932926829268, 'score': 0.9698932926829268, 'examples_seen': 242698, 'step': 7250, 'algorithm': 'dijkstra'},
{'pi': 0.9557926829268293, 'score': 0.9557926829268293, 'examples_seen': 244509, 'step': 7300, 'algorithm': 'dijkstra'},
{'pi': 0.9759908536585366, 'score': 0.9759908536585366, 'examples_seen': 246170, 'step': 7350, 'algorithm': 'dijkstra'},
{'pi': 0.9798018292682927, 'score': 0.9798018292682927, 'examples_seen': 247831, 'step': 7400, 'algorithm': 'dijkstra'},
{'pi': 0.9485518292682927, 'score': 0.9485518292682927, 'examples_seen': 249574, 'step': 7450, 'algorithm': 'dijkstra'},
{'pi': 0.9596036585365854, 'score': 0.9596036585365854, 'examples_seen': 251114, 'step': 7500, 'algorithm': 'dijkstra'},
{'pi': 0.9706554878048781, 'score': 0.9706554878048781, 'examples_seen': 252900, 'step': 7550, 'algorithm': 'dijkstra'},
{'pi': 0.9649390243902439, 'score': 0.9649390243902439, 'examples_seen': 254400, 'step': 7600, 'algorithm': 'dijkstra'},
{'pi': 0.9763719512195121, 'score': 0.9763719512195121, 'examples_seen': 256244, 'step': 7650, 'algorithm': 'dijkstra'},
{'pi': 0.9546493902439024, 'score': 0.9546493902439024, 'examples_seen': 257922, 'step': 7700, 'algorithm': 'dijkstra'},
{'pi': 0.9710365853658537, 'score': 0.9710365853658537, 'examples_seen': 259548, 'step': 7750, 'algorithm': 'dijkstra'},
{'pi': 0.9664634146341463, 'score': 0.9664634146341463, 'examples_seen': 261298, 'step': 7800, 'algorithm': 'dijkstra'},
{'pi': 0.9763719512195121, 'score': 0.9763719512195121, 'examples_seen': 262858, 'step': 7850, 'algorithm': 'dijkstra'},
{'pi': 0.948170731707317, 'score': 0.948170731707317, 'examples_seen': 264637, 'step': 7900, 'algorithm': 'dijkstra'},
{'pi': 0.9611280487804879, 'score': 0.9611280487804879, 'examples_seen': 266113, 'step': 7950, 'algorithm': 'dijkstra'},
{'pi': 0.9645579268292683, 'score': 0.9645579268292683, 'examples_seen': 267978, 'step': 8000, 'algorithm': 'dijkstra'},
{'pi': 0.958079268292683, 'score': 0.958079268292683, 'examples_seen': 269646, 'step': 8050, 'algorithm': 'dijkstra'},
{'pi': 0.9542682926829268, 'score': 0.9542682926829268, 'examples_seen': 271277, 'step': 8100, 'algorithm': 'dijkstra'},
{'pi': 0.9630335365853658, 'score': 0.9630335365853658, 'examples_seen': 273032, 'step': 8150, 'algorithm': 'dijkstra'},
{'pi': 0.9798018292682927, 'score': 0.9798018292682927, 'examples_seen': 274595, 'step': 8200, 'algorithm': 'dijkstra'},
{'pi': 0.9596036585365854, 'score': 0.9596036585365854, 'examples_seen': 276391, 'step': 8250, 'algorithm': 'dijkstra'},
{'pi': 0.9561737804878049, 'score': 0.9561737804878049, 'examples_seen': 277909, 'step': 8300, 'algorithm': 'dijkstra'},
