{'score': 0.9766355140186914, 'examples_seen': 368512, 'step': 7650, 'algorithm': 'activity_selector'},
{'score': 0.9706916764361079, 'examples_seen': 370912, 'step': 7700, 'algorithm': 'activity_selector'},
{'score': 0.9776286353467561, 'examples_seen': 373408, 'step': 7750, 'algorithm': 'activity_selector'},
{'score': 0.9704545454545453, 'examples_seen': 375840, 'step': 7800, 'algorithm': 'activity_selector'},
{'score': 0.9490790899241603, 'examples_seen': 378016, 'step': 7850, 'algorithm': 'activity_selector'},
{'score': 0.9524913093858632, 'examples_seen': 380608, 'step': 7900, 'algorithm': 'activity_selector'},
{'score': 0.9584816132858839, 'examples_seen': 382752, 'step': 7950, 'algorithm': 'activity_selector'},
{'score': 0.9710312862108923, 'examples_seen': 385408, 'step': 8000, 'algorithm': 'activity_selector'},
{'score': 0.9531615925058546, 'examples_seen': 387872, 'step': 8050, 'algorithm': 'activity_selector'},
{'score': 0.9738339021615472, 'examples_seen': 390112, 'step': 8100, 'algorithm': 'activity_selector'},
{'score': 0.9607182940516273, 'examples_seen': 392672, 'step': 8150, 'algorithm': 'activity_selector'},
{'score': 0.9507119386637459, 'examples_seen': 394880, 'step': 8200, 'algorithm': 'activity_selector'},
{'score': 0.9502369668246446, 'examples_seen': 397536, 'step': 8250, 'algorithm': 'activity_selector'},
{'score': 0.9672131147540984, 'examples_seen': 399712, 'step': 8300, 'algorithm': 'activity_selector'},
{'score': 0.9814814814814814, 'examples_seen': 402240, 'step': 8350, 'algorithm': 'activity_selector'},
{'score': 0.971764705882353, 'examples_seen': 404608, 'step': 8400, 'algorithm': 'activity_selector'},
{'score': 0.9603624009060022, 'examples_seen': 407008, 'step': 8450, 'algorithm': 'activity_selector'},
{'score': 0.9130434782608696, 'examples_seen': 409568, 'step': 8500, 'algorithm': 'activity_selector'},
{'score': 0.9649532710280374, 'examples_seen': 411808, 'step': 8550, 'algorithm': 'activity_selector'},
{'score': 0.9605568445475637, 'examples_seen': 414368, 'step': 8600, 'algorithm': 'activity_selector'},
{'score': 0.9515011547344111, 'examples_seen': 416480, 'step': 8650, 'algorithm': 'activity_selector'},
{'score': 0.9724137931034482, 'examples_seen': 419040, 'step': 8700, 'algorithm': 'activity_selector'},
{'score': 0.9695550351288057, 'examples_seen': 421504, 'step': 8750, 'algorithm': 'activity_selector'},
{'score': 0.9303867403314917, 'examples_seen': 423936, 'step': 8800, 'algorithm': 'activity_selector'},
{'score': 0.9467723669309173, 'examples_seen': 426400, 'step': 8850, 'algorithm': 'activity_selector'},
{'score': 0.9790518191841234, 'examples_seen': 428608, 'step': 8900, 'algorithm': 'activity_selector'},
{'score': 0.9472502805836138, 'examples_seen': 431168, 'step': 8950, 'algorithm': 'activity_selector'},
{'score': 0.9390919158361019, 'examples_seen': 433376, 'step': 9000, 'algorithm': 'activity_selector'},
{'score': 0.9424307036247336, 'examples_seen': 436000, 'step': 9050, 'algorithm': 'activity_selector'},
{'score': 0.9593301435406698, 'examples_seen': 438432, 'step': 9100, 'algorithm': 'activity_selector'},
{'score': 0.9796380090497738, 'examples_seen': 440736, 'step': 9150, 'algorithm': 'activity_selector'},
{'score': 0.9774078478002378, 'examples_seen': 443232, 'step': 9200, 'algorithm': 'activity_selector'},
{'score': 0.9882629107981221, 'examples_seen': 445440, 'step': 9250, 'algorithm': 'activity_selector'},
{'score': 0.9519650655021833, 'examples_seen': 448128, 'step': 9300, 'algorithm': 'activity_selector'},
{'score': 0.9614935822637106, 'examples_seen': 450208, 'step': 9350, 'algorithm': 'activity_selector'},
{'score': 0.9939975990396158, 'examples_seen': 452832, 'step': 9400, 'algorithm': 'activity_selector'},
{'score': 0.8692660550458716, 'examples_seen': 455168, 'step': 9450, 'algorithm': 'activity_selector'},
{'score': 0.964244521337947, 'examples_seen': 457536, 'step': 9500, 'algorithm': 'activity_selector'},
{'score': 0.9617117117117117, 'examples_seen': 460128, 'step': 9550, 'algorithm': 'activity_selector'},
{'score': 0.9486887115165337, 'examples_seen': 462368, 'step': 9600, 'algorithm': 'activity_selector'},
{'score': 0.9654377880184332, 'examples_seen': 464928, 'step': 9650, 'algorithm': 'activity_selector'},
{'score': 0.9698375870069605, 'examples_seen': 467072, 'step': 9700, 'algorithm': 'activity_selector'},
{'score': 0.9778761061946902, 'examples_seen': 469600, 'step': 9750, 'algorithm': 'activity_selector'},
{'score': 0.9686800894854586, 'examples_seen': 472096, 'step': 9800, 'algorithm': 'activity_selector'},
{'score': 0.9735327963176064, 'examples_seen': 474496, 'step': 9850, 'algorithm': 'activity_selector'},
{'score': 0.9792626728110599, 'examples_seen': 476992, 'step': 9900, 'algorithm': 'activity_selector'},
{'score': 0.9858490566037735, 'examples_seen': 479104, 'step': 9950, 'algorithm': 'activity_selector'},
