{'is_bridge': 0.7301038062283737, 'score': 0.7301038062283737, 'examples_seen': 102923, 'step': 5900, 'algorithm': 'bridges'},
{'is_bridge': 0.796369824163358, 'score': 0.796369824163358, 'examples_seen': 103806, 'step': 5950, 'algorithm': 'bridges'},
{'is_bridge': 0.8401486988847584, 'score': 0.8401486988847584, 'examples_seen': 104635, 'step': 6000, 'algorithm': 'bridges'},
{'is_bridge': 0.7231884057971014, 'score': 0.7231884057971014, 'examples_seen': 105583, 'step': 6050, 'algorithm': 'bridges'},
{'is_bridge': 0.9003847798204361, 'score': 0.9003847798204361, 'examples_seen': 106350, 'step': 6100, 'algorithm': 'bridges'},
{'is_bridge': 0.7222465993856955, 'score': 0.7222465993856955, 'examples_seen': 107297, 'step': 6150, 'algorithm': 'bridges'},
{'is_bridge': 0.7171355498721228, 'score': 0.7171355498721228, 'examples_seen': 108055, 'step': 6200, 'algorithm': 'bridges'},
{'is_bridge': 0.7723214285714286, 'score': 0.7723214285714286, 'examples_seen': 109027, 'step': 6250, 'algorithm': 'bridges'},
{'is_bridge': 0.770783277270543, 'score': 0.770783277270543, 'examples_seen': 109908, 'step': 6300, 'algorithm': 'bridges'},
{'is_bridge': 0.7855626326963906, 'score': 0.7855626326963906, 'examples_seen': 110737, 'step': 6350, 'algorithm': 'bridges'},
{'is_bridge': 0.8961802154750245, 'score': 0.8961802154750245, 'examples_seen': 111681, 'step': 6400, 'algorithm': 'bridges'},
{'is_bridge': 0.8427128427128425, 'score': 0.8427128427128425, 'examples_seen': 112474, 'step': 6450, 'algorithm': 'bridges'},
{'is_bridge': 0.8132875143184422, 'score': 0.8132875143184422, 'examples_seen': 113428, 'step': 6500, 'algorithm': 'bridges'},
{'is_bridge': 0.8759305210918115, 'score': 0.8759305210918115, 'examples_seen': 114173, 'step': 6550, 'algorithm': 'bridges'},
{'is_bridge': 0.8137931034482759, 'score': 0.8137931034482759, 'examples_seen': 115136, 'step': 6600, 'algorithm': 'bridges'},
{'is_bridge': 0.8260481712756467, 'score': 0.8260481712756467, 'examples_seen': 116031, 'step': 6650, 'algorithm': 'bridges'},
{'is_bridge': 0.7540650406504066, 'score': 0.7540650406504066, 'examples_seen': 116853, 'step': 6700, 'algorithm': 'bridges'},
{'is_bridge': 0.7983651226158038, 'score': 0.7983651226158038, 'examples_seen': 117779, 'step': 6750, 'algorithm': 'bridges'},
{'is_bridge': 0.8762198253723676, 'score': 0.8762198253723676, 'examples_seen': 118565, 'step': 6800, 'algorithm': 'bridges'},
{'is_bridge': 0.7419212040725984, 'score': 0.7419212040725984, 'examples_seen': 119517, 'step': 6850, 'algorithm': 'bridges'},
{'is_bridge': 0.7765897580191332, 'score': 0.7765897580191332, 'examples_seen': 120287, 'step': 6900, 'algorithm': 'bridges'},
{'is_bridge': 0.779016393442623, 'score': 0.779016393442623, 'examples_seen': 121235, 'step': 6950, 'algorithm': 'bridges'},
{'is_bridge': 0.8127914723517655, 'score': 0.8127914723517655, 'examples_seen': 122119, 'step': 7000, 'algorithm': 'bridges'},
{'is_bridge': 0.7862881628280664, 'score': 0.7862881628280664, 'examples_seen': 122942, 'step': 7050, 'algorithm': 'bridges'},
{'is_bridge': 0.8498122653316647, 'score': 0.8498122653316647, 'examples_seen': 123879, 'step': 7100, 'algorithm': 'bridges'},
{'is_bridge': 0.7700394218134035, 'score': 0.7700394218134035, 'examples_seen': 124668, 'step': 7150, 'algorithm': 'bridges'},
{'is_bridge': 0.855051244509517, 'score': 0.855051244509517, 'examples_seen': 125613, 'step': 7200, 'algorithm': 'bridges'},
{'is_bridge': 0.7211811470755254, 'score': 0.7211811470755254, 'examples_seen': 126391, 'step': 7250, 'algorithm': 'bridges'},
{'is_bridge': 0.8663937476739858, 'score': 0.8663937476739858, 'examples_seen': 127349, 'step': 7300, 'algorithm': 'bridges'},
{'is_bridge': 0.8365527488855868, 'score': 0.8365527488855868, 'examples_seen': 128240, 'step': 7350, 'algorithm': 'bridges'},
{'is_bridge': 0.8026845637583893, 'score': 0.8026845637583893, 'examples_seen': 129085, 'step': 7400, 'algorithm': 'bridges'},
{'is_bridge': 0.864397622906537, 'score': 0.864397622906537, 'examples_seen': 130011, 'step': 7450, 'algorithm': 'bridges'},
{'is_bridge': 0.7709307267318317, 'score': 0.7709307267318317, 'examples_seen': 130792, 'step': 7500, 'algorithm': 'bridges'},
{'is_bridge': 0.8166287015945332, 'score': 0.8166287015945332, 'examples_seen': 131736, 'step': 7550, 'algorithm': 'bridges'},
{'is_bridge': 0.8737777777777778, 'score': 0.8737777777777778, 'examples_seen': 132507, 'step': 7600, 'algorithm': 'bridges'},
{'is_bridge': 0.8389731621936989, 'score': 0.8389731621936989, 'examples_seen': 133463, 'step': 7650, 'algorithm': 'bridges'},
{'is_bridge': 0.8765060240963856, 'score': 0.8765060240963856, 'examples_seen': 134353, 'step': 7700, 'algorithm': 'bridges'},
{'is_bridge': 0.8692620569436375, 'score': 0.8692620569436375, 'examples_seen': 135188, 'step': 7750, 'algorithm': 'bridges'},
{'is_bridge': 0.7954841511072512, 'score': 0.7954841511072512, 'examples_seen': 136114, 'step': 7800, 'algorithm': 'bridges'},
{'is_bridge': 0.8085373509102323, 'score': 0.8085373509102323, 'examples_seen': 136926, 'step': 7850, 'algorithm': 'bridges'},
{'is_bridge': 0.8226779252110977, 'score': 0.8226779252110977, 'examples_seen': 137859, 'step': 7900, 'algorithm': 'bridges'},
