{'in_mst': 0.8762886597938143, 'score': 0.8762886597938143, 'examples_seen': 636581, 'step': 7700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.84781405644715, 'score': 0.84781405644715, 'examples_seen': 640717, 'step': 7750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8749323226854359, 'score': 0.8749323226854359, 'examples_seen': 644736, 'step': 7800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8200455580865604, 'score': 0.8200455580865604, 'examples_seen': 648722, 'step': 7850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7922651933701657, 'score': 0.7922651933701657, 'examples_seen': 652743, 'step': 7900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8854118729866545, 'score': 0.8854118729866545, 'examples_seen': 656781, 'step': 7950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8763056624518968, 'score': 0.8763056624518968, 'examples_seen': 661107, 'step': 8000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7680995475113122, 'score': 0.7680995475113122, 'examples_seen': 665312, 'step': 8050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8104986876640419, 'score': 0.8104986876640419, 'examples_seen': 669514, 'step': 8100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.798687089715536, 'score': 0.798687089715536, 'examples_seen': 673610, 'step': 8150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8752260397830018, 'score': 0.8752260397830018, 'examples_seen': 677630, 'step': 8200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8515167642362959, 'score': 0.8515167642362959, 'examples_seen': 681670, 'step': 8250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8447464715107161, 'score': 0.8447464715107161, 'examples_seen': 685760, 'step': 8300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7233644859813083, 'score': 0.7233644859813083, 'examples_seen': 690001, 'step': 8350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8226376958059626, 'score': 0.8226376958059626, 'examples_seen': 694183, 'step': 8400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7930454290521592, 'score': 0.7930454290521592, 'examples_seen': 698448, 'step': 8450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8292428198433421, 'score': 0.8292428198433421, 'examples_seen': 702512, 'step': 8500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8704209950792783, 'score': 0.8704209950792783, 'examples_seen': 706645, 'step': 8550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8334054521852011, 'score': 0.8334054521852011, 'examples_seen': 710734, 'step': 8600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8419263456090652, 'score': 0.8419263456090652, 'examples_seen': 714825, 'step': 8650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8365617433414044, 'score': 0.8365617433414044, 'examples_seen': 719034, 'step': 8700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8522030117122142, 'score': 0.8522030117122142, 'examples_seen': 723317, 'step': 8750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8817955112219451, 'score': 0.8817955112219451, 'examples_seen': 727517, 'step': 8800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8118393234672304, 'score': 0.8118393234672304, 'examples_seen': 731606, 'step': 8850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.780718336483932, 'score': 0.780718336483932, 'examples_seen': 735693, 'step': 8900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7785467128027682, 'score': 0.7785467128027682, 'examples_seen': 739713, 'step': 8950, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8079470198675497, 'score': 0.8079470198675497, 'examples_seen': 743772, 'step': 9000, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8213808463251671, 'score': 0.8213808463251671, 'examples_seen': 748079, 'step': 9050, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8193579300431241, 'score': 0.8193579300431241, 'examples_seen': 752297, 'step': 9100, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.841860465116279, 'score': 0.841860465116279, 'examples_seen': 756412, 'step': 9150, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8401639344262295, 'score': 0.8401639344262295, 'examples_seen': 760501, 'step': 9200, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.7822177822177822, 'score': 0.7822177822177822, 'examples_seen': 764613, 'step': 9250, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8092601912430799, 'score': 0.8092601912430799, 'examples_seen': 768645, 'step': 9300, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8497576736672051, 'score': 0.8497576736672051, 'examples_seen': 772729, 'step': 9350, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8030018761726079, 'score': 0.8030018761726079, 'examples_seen': 777009, 'step': 9400, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8531598513011153, 'score': 0.8531598513011153, 'examples_seen': 781289, 'step': 9450, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8397094430992738, 'score': 0.8397094430992738, 'examples_seen': 785379, 'step': 9500, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8638403990024938, 'score': 0.8638403990024938, 'examples_seen': 789502, 'step': 9550, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8431372549019608, 'score': 0.8431372549019608, 'examples_seen': 793523, 'step': 9600, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8645028335909325, 'score': 0.8645028335909325, 'examples_seen': 797699, 'step': 9650, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8164948453608247, 'score': 0.8164948453608247, 'examples_seen': 801823, 'step': 9700, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.839677047289504, 'score': 0.839677047289504, 'examples_seen': 806112, 'step': 9750, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8789473684210526, 'score': 0.8789473684210526, 'examples_seen': 810324, 'step': 9800, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8397905759162304, 'score': 0.8397905759162304, 'examples_seen': 814514, 'step': 9850, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.8307528029898559, 'score': 0.8307528029898559, 'examples_seen': 818634, 'step': 9900, 'algorithm': 'mst_kruskal'}
{'in_mst': 0.86684350132626, 'score': 0.86684350132626, 'examples_seen': 822740, 'step': 9950, 'algorithm': 'mst_kruskal'}
