I0715 13:59:45.249941 137161025132032 run.py:723] (val) algo bridges step 4150: {'is_bridge': 0.7522441651705565, 'score': 0.7522441651705565, 'examples_seen': 65832, 'step': 4150, 'algorithm': 'bridges'}
I0715 13:59:46.783580 137161025132032 run.py:723] (val) algo bridges step 4200: {'is_bridge': 0.8028279654359781, 'score': 0.8028279654359781, 'examples_seen': 66636, 'step': 4200, 'algorithm': 'bridges'}
I0715 13:59:48.391373 137161025132032 run.py:723] (val) algo bridges step 4250: {'is_bridge': 0.823529411764706, 'score': 0.823529411764706, 'examples_seen': 67428, 'step': 4250, 'algorithm': 'bridges'}
I0715 13:59:49.932394 137161025132032 run.py:723] (val) algo bridges step 4300: {'is_bridge': 0.8422391857506362, 'score': 0.8422391857506362, 'examples_seen': 68211, 'step': 4300, 'algorithm': 'bridges'}
I0715 13:59:51.538080 137161025132032 run.py:723] (val) algo bridges step 4350: {'is_bridge': 0.8372549019607843, 'score': 0.8372549019607843, 'examples_seen': 68994, 'step': 4350, 'algorithm': 'bridges'}
I0715 13:59:53.172138 137161025132032 run.py:723] (val) algo bridges step 4400: {'is_bridge': 0.8013816925734024, 'score': 0.8013816925734024, 'examples_seen': 69775, 'step': 4400, 'algorithm': 'bridges'}
I0715 13:59:54.771399 137161025132032 run.py:723] (val) algo bridges step 4450: {'is_bridge': 0.8520599250936329, 'score': 0.8520599250936329, 'examples_seen': 70558, 'step': 4450, 'algorithm': 'bridges'}
I0715 13:59:56.374379 137161025132032 run.py:723] (val) algo bridges step 4500: {'is_bridge': 0.8376068376068376, 'score': 0.8376068376068376, 'examples_seen': 71376, 'step': 4500, 'algorithm': 'bridges'}
I0715 13:59:58.018174 137161025132032 run.py:723] (val) algo bridges step 4550: {'is_bridge': 0.7844374342797056, 'score': 0.7844374342797056, 'examples_seen': 72190, 'step': 4550, 'algorithm': 'bridges'}
I0715 13:59:59.637668 137161025132032 run.py:723] (val) algo bridges step 4600: {'is_bridge': 0.8530901722391084, 'score': 0.8530901722391084, 'examples_seen': 72975, 'step': 4600, 'algorithm': 'bridges'}
I0715 14:00:01.238367 137161025132032 run.py:723] (val) algo bridges step 4650: {'is_bridge': 0.783710407239819, 'score': 0.783710407239819, 'examples_seen': 73768, 'step': 4650, 'algorithm': 'bridges'}
I0715 14:00:02.800654 137161025132032 run.py:723] (val) algo bridges step 4700: {'is_bridge': 0.8122362869198312, 'score': 0.8122362869198312, 'examples_seen': 74547, 'step': 4700, 'algorithm': 'bridges'}
I0715 14:00:04.392194 137161025132032 run.py:723] (val) algo bridges step 4750: {'is_bridge': 0.7978339350180507, 'score': 0.7978339350180507, 'examples_seen': 75326, 'step': 4750, 'algorithm': 'bridges'}
I0715 14:00:06.005429 137161025132032 run.py:723] (val) algo bridges step 4800: {'is_bridge': 0.8288119738072964, 'score': 0.8288119738072964, 'examples_seen': 76108, 'step': 4800, 'algorithm': 'bridges'}
I0715 14:00:07.600362 137161025132032 run.py:723] (val) algo bridges step 4850: {'is_bridge': 0.794921875, 'score': 0.794921875, 'examples_seen': 76931, 'step': 4850, 'algorithm': 'bridges'}
I0715 14:00:09.211467 137161025132032 run.py:723] (val) algo bridges step 4900: {'is_bridge': 0.8701754385964912, 'score': 0.8701754385964912, 'examples_seen': 77727, 'step': 4900, 'algorithm': 'bridges'}
I0715 14:00:10.770413 137161025132032 run.py:723] (val) algo bridges step 4950: {'is_bridge': 0.8549087749782797, 'score': 0.8549087749782797, 'examples_seen': 78527, 'step': 4950, 'algorithm': 'bridges'}
I0715 14:00:12.337125 137161025132032 run.py:723] (val) algo bridges step 5000: {'is_bridge': 0.799618320610687, 'score': 0.799618320610687, 'examples_seen': 79314, 'step': 5000, 'algorithm': 'bridges'}
I0715 14:00:13.967553 137161025132032 run.py:723] (val) algo bridges step 5050: {'is_bridge': 0.818086225026288, 'score': 0.818086225026288, 'examples_seen': 80101, 'step': 5050, 'algorithm': 'bridges'}
I0715 14:00:15.591525 137161025132032 run.py:723] (val) algo bridges step 5100: {'is_bridge': 0.824847250509165, 'score': 0.824847250509165, 'examples_seen': 80879, 'step': 5100, 'algorithm': 'bridges'}
I0715 14:00:17.264107 137161025132032 run.py:723] (val) algo bridges step 5150: {'is_bridge': 0.7857142857142858, 'score': 0.7857142857142858, 'examples_seen': 81662, 'step': 5150, 'algorithm': 'bridges'}
I0715 14:00:18.793431 137161025132032 run.py:723] (val) algo bridges step 5200: {'is_bridge': 0.8269961977186313, 'score': 0.8269961977186313, 'examples_seen': 82480, 'step': 5200, 'algorithm': 'bridges'}
I0715 14:00:20.414706 137161025132032 run.py:723] (val) algo bridges step 5250: {'is_bridge': 0.811078140454995, 'score': 0.811078140454995, 'examples_seen': 83294, 'step': 5250, 'algorithm': 'bridges'}
I0715 14:00:21.974208 137161025132032 run.py:723] (val) algo bridges step 5300: {'is_bridge': 0.822695035460993, 'score': 0.822695035460993, 'examples_seen': 84080, 'step': 5300, 'algorithm': 'bridges'}
I0715 14:00:23.562981 137161025132032 run.py:723] (val) algo bridges step 5350: {'is_bridge': 0.851231527093596, 'score': 0.851231527093596, 'examples_seen': 84873, 'step': 5350, 'algorithm': 'bridges'}
I0715 14:00:25.115063 137161025132032 run.py:723] (val) algo bridges step 5400: {'is_bridge': 0.7770069375619425, 'score': 0.7770069375619425, 'examples_seen': 85657, 'step': 5400, 'algorithm': 'bridges'}
I0715 14:00:26.697279 137161025132032 run.py:723] (val) algo bridges step 5450: {'is_bridge': 0.826923076923077, 'score': 0.826923076923077, 'examples_seen': 86431, 'step': 5450, 'algorithm': 'bridges'}
I0715 14:00:28.325056 137161025132032 run.py:723] (val) algo bridges step 5500: {'is_bridge': 0.8436213991769547, 'score': 0.8436213991769547, 'examples_seen': 87219, 'step': 5500, 'algorithm': 'bridges'}
I0715 14:00:29.969325 137161025132032 run.py:723] (val) algo bridges step 5550: {'is_bridge': 0.8194070080862534, 'score': 0.8194070080862534, 'examples_seen': 88046, 'step': 5550, 'algorithm': 'bridges'}
I0715 14:00:31.628344 137161025132032 run.py:723] (val) algo bridges step 5600: {'is_bridge': 0.8208695652173912, 'score': 0.8208695652173912, 'examples_seen': 88846, 'step': 5600, 'algorithm': 'bridges'}
I0715 14:00:33.209404 137161025132032 run.py:723] (val) algo bridges step 5650: {'is_bridge': 0.8177215189873417, 'score': 0.8177215189873417, 'examples_seen': 89638, 'step': 5650, 'algorithm': 'bridges'}
I0715 14:00:34.760849 137161025132032 run.py:723] (val) algo bridges step 5700: {'is_bridge': 0.9012096774193548, 'score': 0.9012096774193548, 'examples_seen': 90427, 'step': 5700, 'algorithm': 'bridges'}
I0715 14:00:36.386996 137161025132032 run.py:723] (val) algo bridges step 5750: {'is_bridge': 0.87374749498998, 'score': 0.87374749498998, 'examples_seen': 91206, 'step': 5750, 'algorithm': 'bridges'}
I0715 14:00:38.086207 137161025132032 run.py:723] (val) algo bridges step 5800: {'is_bridge': 0.8299319727891157, 'score': 0.8299319727891157, 'examples_seen': 91993, 'step': 5800, 'algorithm': 'bridges'}
I0715 14:00:39.662545 137161025132032 run.py:723] (val) algo bridges step 5850: {'is_bridge': 0.8172043010752688, 'score': 0.8172043010752688, 'examples_seen': 92776, 'step': 5850, 'algorithm': 'bridges'}
I0715 14:00:41.302343 137161025132032 run.py:723] (val) algo bridges step 5900: {'is_bridge': 0.8317853457172343, 'score': 0.8317853457172343, 'examples_seen': 93595, 'step': 5900, 'algorithm': 'bridges'}
I0715 14:00:42.945683 137161025132032 run.py:723] (val) algo bridges step 5950: {'is_bridge': 0.7864164432529044, 'score': 0.7864164432529044, 'examples_seen': 94394, 'step': 5950, 'algorithm': 'bridges'}
