I0715 18:35:05.875644 127664416589312 run.py:723] (val) algo segments_intersect step 4550: {'intersect': 0.9107824427480915, 'score': 0.9107824427480915, 'examples_seen': 233008, 'step': 4550, 'algorithm': 'segments_intersect'}
I0715 18:35:07.770991 127664416589312 run.py:723] (val) algo segments_intersect step 4600: {'intersect': 0.8941877794336811, 'score': 0.8941877794336811, 'examples_seen': 235520, 'step': 4600, 'algorithm': 'segments_intersect'}
I0715 18:35:09.864977 127664416589312 run.py:723] (val) algo segments_intersect step 4650: {'intersect': 0.847978436657682, 'score': 0.847978436657682, 'examples_seen': 238144, 'step': 4650, 'algorithm': 'segments_intersect'}
I0715 18:35:11.793736 127664416589312 run.py:723] (val) algo segments_intersect step 4700: {'intersect': 0.9018885306310456, 'score': 0.9018885306310456, 'examples_seen': 240656, 'step': 4700, 'algorithm': 'segments_intersect'}
I0715 18:35:13.643213 127664416589312 run.py:723] (val) algo segments_intersect step 4750: {'intersect': 0.9081582804103566, 'score': 0.9081582804103566, 'examples_seen': 243264, 'step': 4750, 'algorithm': 'segments_intersect'}
I0715 18:35:15.532678 127664416589312 run.py:723] (val) algo segments_intersect step 4800: {'intersect': 0.8986274981940765, 'score': 0.8986274981940765, 'examples_seen': 245792, 'step': 4800, 'algorithm': 'segments_intersect'}
I0715 18:35:17.355370 127664416589312 run.py:723] (val) algo segments_intersect step 4850: {'intersect': 0.875, 'score': 0.875, 'examples_seen': 248320, 'step': 4850, 'algorithm': 'segments_intersect'}
I0715 18:35:19.232158 127664416589312 run.py:723] (val) algo segments_intersect step 4900: {'intersect': 0.9034984738201456, 'score': 0.9034984738201456, 'examples_seen': 250928, 'step': 4900, 'algorithm': 'segments_intersect'}
I0715 18:35:21.048371 127664416589312 run.py:723] (val) algo segments_intersect step 4950: {'intersect': 0.9028968713789108, 'score': 0.9028968713789108, 'examples_seen': 253440, 'step': 4950, 'algorithm': 'segments_intersect'}
I0715 18:35:22.887473 127664416589312 run.py:723] (val) algo segments_intersect step 5000: {'intersect': 0.9168634860651865, 'score': 0.9168634860651865, 'examples_seen': 256064, 'step': 5000, 'algorithm': 'segments_intersect'}
I0715 18:35:24.716512 127664416589312 run.py:723] (val) algo segments_intersect step 5050: {'intersect': 0.9059711736444749, 'score': 0.9059711736444749, 'examples_seen': 258576, 'step': 5050, 'algorithm': 'segments_intersect'}
I0715 18:35:26.799644 127664416589312 run.py:723] (val) algo segments_intersect step 5100: {'intersect': 0.8773561811505508, 'score': 0.8773561811505508, 'examples_seen': 261184, 'step': 5100, 'algorithm': 'segments_intersect'}
I0715 18:35:28.690610 127664416589312 run.py:723] (val) algo segments_intersect step 5150: {'intersect': 0.9072631314400602, 'score': 0.9072631314400602, 'examples_seen': 263712, 'step': 5150, 'algorithm': 'segments_intersect'}
I0715 18:35:30.557830 127664416589312 run.py:723] (val) algo segments_intersect step 5200: {'intersect': 0.912062615101289, 'score': 0.912062615101289, 'examples_seen': 266240, 'step': 5200, 'algorithm': 'segments_intersect'}
I0715 18:35:32.448198 127664416589312 run.py:723] (val) algo segments_intersect step 5250: {'intersect': 0.9188296366210477, 'score': 0.9188296366210477, 'examples_seen': 268848, 'step': 5250, 'algorithm': 'segments_intersect'}
I0715 18:35:34.281339 127664416589312 run.py:723] (val) algo segments_intersect step 5300: {'intersect': 0.9004504504504506, 'score': 0.9004504504504506, 'examples_seen': 271360, 'step': 5300, 'algorithm': 'segments_intersect'}
I0715 18:35:36.118080 127664416589312 run.py:723] (val) algo segments_intersect step 5350: {'intersect': 0.9072731817045738, 'score': 0.9072731817045738, 'examples_seen': 273984, 'step': 5350, 'algorithm': 'segments_intersect'}
I0715 18:35:37.978782 127664416589312 run.py:723] (val) algo segments_intersect step 5400: {'intersect': 0.9252051582649472, 'score': 0.9252051582649472, 'examples_seen': 276496, 'step': 5400, 'algorithm': 'segments_intersect'}
I0715 18:35:39.844850 127664416589312 run.py:723] (val) algo segments_intersect step 5450: {'intersect': 0.9167473378509197, 'score': 0.9167473378509197, 'examples_seen': 279104, 'step': 5450, 'algorithm': 'segments_intersect'}
I0715 18:35:41.708717 127664416589312 run.py:723] (val) algo segments_intersect step 5500: {'intersect': 0.913925822253324, 'score': 0.913925822253324, 'examples_seen': 281632, 'step': 5500, 'algorithm': 'segments_intersect'}
I0715 18:35:43.533523 127664416589312 run.py:723] (val) algo segments_intersect step 5550: {'intersect': 0.9120426459898231, 'score': 0.9120426459898231, 'examples_seen': 284160, 'step': 5550, 'algorithm': 'segments_intersect'}
I0715 18:35:45.379036 127664416589312 run.py:723] (val) algo segments_intersect step 5600: {'intersect': 0.9121621621621623, 'score': 0.9121621621621623, 'examples_seen': 286768, 'step': 5600, 'algorithm': 'segments_intersect'}
I0715 18:35:47.252498 127664416589312 run.py:723] (val) algo segments_intersect step 5650: {'intersect': 0.9090031378228337, 'score': 0.9090031378228337, 'examples_seen': 289280, 'step': 5650, 'algorithm': 'segments_intersect'}
I0715 18:35:49.101551 127664416589312 run.py:723] (val) algo segments_intersect step 5700: {'intersect': 0.9066418950301904, 'score': 0.9066418950301904, 'examples_seen': 291904, 'step': 5700, 'algorithm': 'segments_intersect'}
I0715 18:35:50.947245 127664416589312 run.py:723] (val) algo segments_intersect step 5750: {'intersect': 0.8836608066184075, 'score': 0.8836608066184075, 'examples_seen': 294416, 'step': 5750, 'algorithm': 'segments_intersect'}
I0715 18:35:52.797838 127664416589312 run.py:723] (val) algo segments_intersect step 5800: {'intersect': 0.9141261345124506, 'score': 0.9141261345124506, 'examples_seen': 297024, 'step': 5800, 'algorithm': 'segments_intersect'}
I0715 18:35:54.663662 127664416589312 run.py:723] (val) algo segments_intersect step 5850: {'intersect': 0.9248280768318711, 'score': 0.9248280768318711, 'examples_seen': 299552, 'step': 5850, 'algorithm': 'segments_intersect'}
I0715 18:35:56.524904 127664416589312 run.py:723] (val) algo segments_intersect step 5900: {'intersect': 0.9165653125760156, 'score': 0.9165653125760156, 'examples_seen': 302080, 'step': 5900, 'algorithm': 'segments_intersect'}
I0715 18:35:58.402242 127664416589312 run.py:723] (val) algo segments_intersect step 5950: {'intersect': 0.911786148238153, 'score': 0.911786148238153, 'examples_seen': 304688, 'step': 5950, 'algorithm': 'segments_intersect'}
I0715 18:36:00.227357 127664416589312 run.py:723] (val) algo segments_intersect step 6000: {'intersect': 0.9172496984318456, 'score': 0.9172496984318456, 'examples_seen': 307200, 'step': 6000, 'algorithm': 'segments_intersect'}
I0715 18:36:02.105718 127664416589312 run.py:723] (val) algo segments_intersect step 6050: {'intersect': 0.9168887811969955, 'score': 0.9168887811969955, 'examples_seen': 309824, 'step': 6050, 'algorithm': 'segments_intersect'}
I0715 18:36:04.043085 127664416589312 run.py:723] (val) algo segments_intersect step 6100: {'intersect': 0.9110486891385768, 'score': 0.9110486891385768, 'examples_seen': 312336, 'step': 6100, 'algorithm': 'segments_intersect'}
I0715 18:36:05.933657 127664416589312 run.py:723] (val) algo segments_intersect step 6150: {'intersect': 0.9234717685487633, 'score': 0.9234717685487633, 'examples_seen': 314944, 'step': 6150, 'algorithm': 'segments_intersect'}
I0715 18:36:07.828243 127664416589312 run.py:723] (val) algo segments_intersect step 6200: {'intersect': 0.9048376107199638, 'score': 0.9048376107199638, 'examples_seen': 317472, 'step': 6200, 'algorithm': 'segments_intersect'}
I0715 18:36:09.673936 127664416589312 run.py:723] (val) algo segments_intersect step 6250: {'intersect': 0.913289118152788, 'score': 0.913289118152788, 'examples_seen': 320000, 'step': 6250, 'algorithm': 'segments_intersect'}
I0715 18:36:11.865446 127664416589312 run.py:723] (val) algo segments_intersect step 6300: {'intersect': 0.9041224970553593, 'score': 0.9041224970553593, 'examples_seen': 322608, 'step': 6300, 'algorithm': 'segments_intersect'}
I0715 18:36:14.006911 127664416589312 run.py:723] (val) algo segments_intersect step 6350: {'intersect': 0.9049840412472381, 'score': 0.9049840412472381, 'examples_seen': 325120, 'step': 6350, 'algorithm': 'segments_intersect'}
I0715 18:36:16.054599 127664416589312 run.py:723] (val) algo segments_intersect step 6400: {'intersect': 0.9270758122743682, 'score': 0.9270758122743682, 'examples_seen': 327744, 'step': 6400, 'algorithm': 'segments_intersect'}
