I0715 15:39:16.076373 131537578350080 run.py:723] (val) algo insertion_sort step 3950: {'pred': 0.8349609375, 'score': 0.8349609375, 'examples_seen': 203232, 'step': 3950, 'algorithm': 'insertion_sort'}
I0715 15:39:20.593978 131537578350080 run.py:723] (val) algo insertion_sort step 4000: {'pred': 0.94921875, 'score': 0.94921875, 'examples_seen': 205792, 'step': 4000, 'algorithm': 'insertion_sort'}
I0715 15:39:25.075635 131537578350080 run.py:723] (val) algo insertion_sort step 4050: {'pred': 0.935546875, 'score': 0.935546875, 'examples_seen': 208320, 'step': 4050, 'algorithm': 'insertion_sort'}
I0715 15:39:29.576348 131537578350080 run.py:723] (val) algo insertion_sort step 4100: {'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 210848, 'step': 4100, 'algorithm': 'insertion_sort'}
I0715 15:39:34.248828 131537578350080 run.py:723] (val) algo insertion_sort step 4150: {'pred': 0.931640625, 'score': 0.931640625, 'examples_seen': 213520, 'step': 4150, 'algorithm': 'insertion_sort'}
I0715 15:39:38.838443 131537578350080 run.py:723] (val) algo insertion_sort step 4200: {'pred': 0.953125, 'score': 0.953125, 'examples_seen': 216112, 'step': 4200, 'algorithm': 'insertion_sort'}
I0715 15:39:43.401865 131537578350080 run.py:723] (val) algo insertion_sort step 4250: {'pred': 0.91796875, 'score': 0.91796875, 'examples_seen': 218688, 'step': 4250, 'algorithm': 'insertion_sort'}
I0715 15:39:47.911609 131537578350080 run.py:723] (val) algo insertion_sort step 4300: {'pred': 0.9384765625, 'score': 0.9384765625, 'examples_seen': 221248, 'step': 4300, 'algorithm': 'insertion_sort'}
I0715 15:39:52.439798 131537578350080 run.py:723] (val) algo insertion_sort step 4350: {'pred': 0.935546875, 'score': 0.935546875, 'examples_seen': 223792, 'step': 4350, 'algorithm': 'insertion_sort'}
I0715 15:39:56.959733 131537578350080 run.py:723] (val) algo insertion_sort step 4400: {'pred': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 226352, 'step': 4400, 'algorithm': 'insertion_sort'}
I0715 15:40:01.528979 131537578350080 run.py:723] (val) algo insertion_sort step 4450: {'pred': 0.9453125, 'score': 0.9453125, 'examples_seen': 228880, 'step': 4450, 'algorithm': 'insertion_sort'}
I0715 15:40:06.111235 131537578350080 run.py:723] (val) algo insertion_sort step 4500: {'pred': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 231504, 'step': 4500, 'algorithm': 'insertion_sort'}
I0715 15:40:10.721422 131537578350080 run.py:723] (val) algo insertion_sort step 4550: {'pred': 0.958984375, 'score': 0.958984375, 'examples_seen': 234128, 'step': 4550, 'algorithm': 'insertion_sort'}
I0715 15:40:15.316562 131537578350080 run.py:723] (val) algo insertion_sort step 4600: {'pred': 0.958984375, 'score': 0.958984375, 'examples_seen': 236688, 'step': 4600, 'algorithm': 'insertion_sort'}
I0715 15:40:19.837815 131537578350080 run.py:723] (val) algo insertion_sort step 4650: {'pred': 0.92578125, 'score': 0.92578125, 'examples_seen': 239264, 'step': 4650, 'algorithm': 'insertion_sort'}
I0715 15:40:24.356862 131537578350080 run.py:723] (val) algo insertion_sort step 4700: {'pred': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 241792, 'step': 4700, 'algorithm': 'insertion_sort'}
I0715 15:40:28.900525 131537578350080 run.py:723] (val) algo insertion_sort step 4750: {'pred': 0.958984375, 'score': 0.958984375, 'examples_seen': 244336, 'step': 4750, 'algorithm': 'insertion_sort'}
I0715 15:40:33.456689 131537578350080 run.py:723] (val) algo insertion_sort step 4800: {'pred': 0.94140625, 'score': 0.94140625, 'examples_seen': 246880, 'step': 4800, 'algorithm': 'insertion_sort'}
