I0715 16:32:33.889992 129347681601024 run.py:723] (val) algo matrix_chain_order step 3750: {'s': 0.99102783203125, 'score': 0.99102783203125, 'examples_seen': 308118, 'step': 3750, 'algorithm': 'matrix_chain_order'}
I0715 16:32:37.548942 129347681601024 run.py:723] (val) algo matrix_chain_order step 3800: {'s': 0.983642578125, 'score': 0.983642578125, 'examples_seen': 312409, 'step': 3800, 'algorithm': 'matrix_chain_order'}
I0715 16:32:41.384263 129347681601024 run.py:723] (val) algo matrix_chain_order step 3850: {'s': 0.9921875, 'score': 0.9921875, 'examples_seen': 316570, 'step': 3850, 'algorithm': 'matrix_chain_order'}
I0715 16:32:44.943806 129347681601024 run.py:723] (val) algo matrix_chain_order step 3900: {'s': 0.98846435546875, 'score': 0.98846435546875, 'examples_seen': 320654, 'step': 3900, 'algorithm': 'matrix_chain_order'}
I0715 16:32:48.502907 129347681601024 run.py:723] (val) algo matrix_chain_order step 3950: {'s': 0.9820556640625, 'score': 0.9820556640625, 'examples_seen': 324732, 'step': 3950, 'algorithm': 'matrix_chain_order'}
I0715 16:32:52.487657 129347681601024 run.py:723] (val) algo matrix_chain_order step 4000: {'s': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 328777, 'step': 4000, 'algorithm': 'matrix_chain_order'}
I0715 16:32:56.312890 129347681601024 run.py:723] (val) algo matrix_chain_order step 4050: {'s': 0.9754638671875, 'score': 0.9754638671875, 'examples_seen': 332848, 'step': 4050, 'algorithm': 'matrix_chain_order'}
I0715 16:33:00.121255 129347681601024 run.py:723] (val) algo matrix_chain_order step 4100: {'s': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 336897, 'step': 4100, 'algorithm': 'matrix_chain_order'}
I0715 16:33:04.081670 129347681601024 run.py:723] (val) algo matrix_chain_order step 4150: {'s': 0.989501953125, 'score': 0.989501953125, 'examples_seen': 341184, 'step': 4150, 'algorithm': 'matrix_chain_order'}
I0715 16:33:07.597599 129347681601024 run.py:723] (val) algo matrix_chain_order step 4200: {'s': 0.98944091796875, 'score': 0.98944091796875, 'examples_seen': 345331, 'step': 4200, 'algorithm': 'matrix_chain_order'}
I0715 16:33:11.420730 129347681601024 run.py:723] (val) algo matrix_chain_order step 4250: {'s': 0.990966796875, 'score': 0.990966796875, 'examples_seen': 349423, 'step': 4250, 'algorithm': 'matrix_chain_order'}
I0715 16:33:14.970627 129347681601024 run.py:723] (val) algo matrix_chain_order step 4300: {'s': 0.9842529296875, 'score': 0.9842529296875, 'examples_seen': 353500, 'step': 4300, 'algorithm': 'matrix_chain_order'}
I0715 16:33:18.703237 129347681601024 run.py:723] (val) algo matrix_chain_order step 4350: {'s': 0.989013671875, 'score': 0.989013671875, 'examples_seen': 357558, 'step': 4350, 'algorithm': 'matrix_chain_order'}
I0715 16:33:22.537936 129347681601024 run.py:723] (val) algo matrix_chain_order step 4400: {'s': 0.99151611328125, 'score': 0.99151611328125, 'examples_seen': 361607, 'step': 4400, 'algorithm': 'matrix_chain_order'}
I0715 16:33:26.514953 129347681601024 run.py:723] (val) algo matrix_chain_order step 4450: {'s': 0.990234375, 'score': 0.990234375, 'examples_seen': 365664, 'step': 4450, 'algorithm': 'matrix_chain_order'}
I0715 16:33:30.323694 129347681601024 run.py:723] (val) algo matrix_chain_order step 4500: {'s': 0.99395751953125, 'score': 0.99395751953125, 'examples_seen': 369938, 'step': 4500, 'algorithm': 'matrix_chain_order'}
I0715 16:33:34.037489 129347681601024 run.py:723] (val) algo matrix_chain_order step 4550: {'s': 0.98907470703125, 'score': 0.98907470703125, 'examples_seen': 374079, 'step': 4550, 'algorithm': 'matrix_chain_order'}
I0715 16:33:37.899790 129347681601024 run.py:723] (val) algo matrix_chain_order step 4600: {'s': 0.98883056640625, 'score': 0.98883056640625, 'examples_seen': 378183, 'step': 4600, 'algorithm': 'matrix_chain_order'}
I0715 16:33:41.545984 129347681601024 run.py:723] (val) algo matrix_chain_order step 4650: {'s': 0.98858642578125, 'score': 0.98858642578125, 'examples_seen': 382243, 'step': 4650, 'algorithm': 'matrix_chain_order'}
I0715 16:33:45.355544 129347681601024 run.py:723] (val) algo matrix_chain_order step 4700: {'s': 0.98834228515625, 'score': 0.98834228515625, 'examples_seen': 386304, 'step': 4700, 'algorithm': 'matrix_chain_order'}
I0715 16:33:49.260351 129347681601024 run.py:723] (val) algo matrix_chain_order step 4750: {'s': 0.99346923828125, 'score': 0.99346923828125, 'examples_seen': 390351, 'step': 4750, 'algorithm': 'matrix_chain_order'}
I0715 16:33:53.171127 129347681601024 run.py:723] (val) algo matrix_chain_order step 4800: {'s': 0.97833251953125, 'score': 0.97833251953125, 'examples_seen': 394402, 'step': 4800, 'algorithm': 'matrix_chain_order'}
I0715 16:33:56.764617 129347681601024 run.py:723] (val) algo matrix_chain_order step 4850: {'s': 0.99310302734375, 'score': 0.99310302734375, 'examples_seen': 398680, 'step': 4850, 'algorithm': 'matrix_chain_order'}
I0715 16:34:00.419243 129347681601024 run.py:723] (val) algo matrix_chain_order step 4900: {'s': 0.99310302734375, 'score': 0.99310302734375, 'examples_seen': 402829, 'step': 4900, 'algorithm': 'matrix_chain_order'}
I0715 16:34:04.122102 129347681601024 run.py:723] (val) algo matrix_chain_order step 4950: {'s': 0.994384765625, 'score': 0.994384765625, 'examples_seen': 406932, 'step': 4950, 'algorithm': 'matrix_chain_order'}
I0715 16:34:07.790046 129347681601024 run.py:723] (val) algo matrix_chain_order step 5000: {'s': 0.98699951171875, 'score': 0.98699951171875, 'examples_seen': 411000, 'step': 5000, 'algorithm': 'matrix_chain_order'}
I0715 16:34:11.442172 129347681601024 run.py:723] (val) algo matrix_chain_order step 5050: {'s': 0.99005126953125, 'score': 0.99005126953125, 'examples_seen': 415068, 'step': 5050, 'algorithm': 'matrix_chain_order'}
I0715 16:34:15.298575 129347681601024 run.py:723] (val) algo matrix_chain_order step 5100: {'s': 0.9849853515625, 'score': 0.9849853515625, 'examples_seen': 419122, 'step': 5100, 'algorithm': 'matrix_chain_order'}
I0715 16:34:19.303013 129347681601024 run.py:723] (val) algo matrix_chain_order step 5150: {'s': 0.9920654296875, 'score': 0.9920654296875, 'examples_seen': 423178, 'step': 5150, 'algorithm': 'matrix_chain_order'}
I0715 16:34:23.108198 129347681601024 run.py:723] (val) algo matrix_chain_order step 5200: {'s': 0.9937744140625, 'score': 0.9937744140625, 'examples_seen': 427458, 'step': 5200, 'algorithm': 'matrix_chain_order'}
