I0715 18:24:20.106048 124880143382016 run.py:723] (val) algo quicksort step 5250: {'pred': 0.701171875, 'score': 0.701171875, 'examples_seen': 182320, 'step': 5250, 'algorithm': 'quicksort'}
I0715 18:24:24.211390 124880143382016 run.py:723] (val) algo quicksort step 5300: {'pred': 0.7001953125, 'score': 0.7001953125, 'examples_seen': 184039, 'step': 5300, 'algorithm': 'quicksort'}
I0715 18:24:28.236194 124880143382016 run.py:723] (val) algo quicksort step 5350: {'pred': 0.7255859375, 'score': 0.7255859375, 'examples_seen': 185749, 'step': 5350, 'algorithm': 'quicksort'}
I0715 18:24:32.295464 124880143382016 run.py:723] (val) algo quicksort step 5400: {'pred': 0.685546875, 'score': 0.685546875, 'examples_seen': 187469, 'step': 5400, 'algorithm': 'quicksort'}
I0715 18:24:36.313580 124880143382016 run.py:723] (val) algo quicksort step 5450: {'pred': 0.7392578125, 'score': 0.7392578125, 'examples_seen': 189173, 'step': 5450, 'algorithm': 'quicksort'}
I0715 18:24:40.373225 124880143382016 run.py:723] (val) algo quicksort step 5500: {'pred': 0.6640625, 'score': 0.6640625, 'examples_seen': 190881, 'step': 5500, 'algorithm': 'quicksort'}
I0715 18:24:44.612395 124880143382016 run.py:723] (val) algo quicksort step 5550: {'pred': 0.7470703125, 'score': 0.7470703125, 'examples_seen': 192725, 'step': 5550, 'algorithm': 'quicksort'}
I0715 18:24:48.777206 124880143382016 run.py:723] (val) algo quicksort step 5600: {'pred': 0.71875, 'score': 0.71875, 'examples_seen': 194484, 'step': 5600, 'algorithm': 'quicksort'}
I0715 18:24:52.829441 124880143382016 run.py:723] (val) algo quicksort step 5650: {'pred': 0.7021484375, 'score': 0.7021484375, 'examples_seen': 196211, 'step': 5650, 'algorithm': 'quicksort'}
I0715 18:24:56.854189 124880143382016 run.py:723] (val) algo quicksort step 5700: {'pred': 0.6845703125, 'score': 0.6845703125, 'examples_seen': 197927, 'step': 5700, 'algorithm': 'quicksort'}
I0715 18:25:00.904093 124880143382016 run.py:723] (val) algo quicksort step 5750: {'pred': 0.6982421875, 'score': 0.6982421875, 'examples_seen': 199642, 'step': 5750, 'algorithm': 'quicksort'}
I0715 18:25:04.931991 124880143382016 run.py:723] (val) algo quicksort step 5800: {'pred': 0.69140625, 'score': 0.69140625, 'examples_seen': 201346, 'step': 5800, 'algorithm': 'quicksort'}
I0715 18:25:08.946157 124880143382016 run.py:723] (val) algo quicksort step 5850: {'pred': 0.76171875, 'score': 0.76171875, 'examples_seen': 203048, 'step': 5850, 'algorithm': 'quicksort'}
I0715 18:25:13.188788 124880143382016 run.py:723] (val) algo quicksort step 5900: {'pred': 0.7314453125, 'score': 0.7314453125, 'examples_seen': 204883, 'step': 5900, 'algorithm': 'quicksort'}
I0715 18:25:17.290403 124880143382016 run.py:723] (val) algo quicksort step 5950: {'pred': 0.7568359375, 'score': 0.7568359375, 'examples_seen': 206643, 'step': 5950, 'algorithm': 'quicksort'}
I0715 18:25:21.360649 124880143382016 run.py:723] (val) algo quicksort step 6000: {'pred': 0.7138671875, 'score': 0.7138671875, 'examples_seen': 208390, 'step': 6000, 'algorithm': 'quicksort'}
I0715 18:25:25.444286 124880143382016 run.py:723] (val) algo quicksort step 6050: {'pred': 0.7138671875, 'score': 0.7138671875, 'examples_seen': 210109, 'step': 6050, 'algorithm': 'quicksort'}
I0715 18:25:29.485573 124880143382016 run.py:723] (val) algo quicksort step 6100: {'pred': 0.7353515625, 'score': 0.7353515625, 'examples_seen': 211813, 'step': 6100, 'algorithm': 'quicksort'}
I0715 18:25:33.558243 124880143382016 run.py:723] (val) algo quicksort step 6150: {'pred': 0.66796875, 'score': 0.66796875, 'examples_seen': 213516, 'step': 6150, 'algorithm': 'quicksort'}
I0715 18:25:37.641955 124880143382016 run.py:723] (val) algo quicksort step 6200: {'pred': 0.75390625, 'score': 0.75390625, 'examples_seen': 215210, 'step': 6200, 'algorithm': 'quicksort'}
I0715 18:25:41.824010 124880143382016 run.py:723] (val) algo quicksort step 6250: {'pred': 0.822265625, 'score': 0.822265625, 'examples_seen': 217031, 'step': 6250, 'algorithm': 'quicksort'}
I0715 18:25:45.917823 124880143382016 run.py:723] (val) algo quicksort step 6300: {'pred': 0.720703125, 'score': 0.720703125, 'examples_seen': 218793, 'step': 6300, 'algorithm': 'quicksort'}
I0715 18:25:49.966022 124880143382016 run.py:723] (val) algo quicksort step 6350: {'pred': 0.755859375, 'score': 0.755859375, 'examples_seen': 220515, 'step': 6350, 'algorithm': 'quicksort'}
I0715 18:25:54.039381 124880143382016 run.py:723] (val) algo quicksort step 6400: {'pred': 0.7890625, 'score': 0.7890625, 'examples_seen': 222232, 'step': 6400, 'algorithm': 'quicksort'}
I0715 18:25:58.093528 124880143382016 run.py:723] (val) algo quicksort step 6450: {'pred': 0.7578125, 'score': 0.7578125, 'examples_seen': 223938, 'step': 6450, 'algorithm': 'quicksort'}
I0715 18:26:02.175516 124880143382016 run.py:723] (val) algo quicksort step 6500: {'pred': 0.7158203125, 'score': 0.7158203125, 'examples_seen': 225652, 'step': 6500, 'algorithm': 'quicksort'}
I0715 18:26:06.250595 124880143382016 run.py:723] (val) algo quicksort step 6550: {'pred': 0.7607421875, 'score': 0.7607421875, 'examples_seen': 227364, 'step': 6550, 'algorithm': 'quicksort'}
I0715 18:26:10.422760 124880143382016 run.py:723] (val) algo quicksort step 6600: {'pred': 0.7392578125, 'score': 0.7392578125, 'examples_seen': 229186, 'step': 6600, 'algorithm': 'quicksort'}
I0715 18:26:14.552440 124880143382016 run.py:723] (val) algo quicksort step 6650: {'pred': 0.755859375, 'score': 0.755859375, 'examples_seen': 230947, 'step': 6650, 'algorithm': 'quicksort'}
I0715 18:26:18.609906 124880143382016 run.py:723] (val) algo quicksort step 6700: {'pred': 0.822265625, 'score': 0.822265625, 'examples_seen': 232676, 'step': 6700, 'algorithm': 'quicksort'}
I0715 18:26:22.646962 124880143382016 run.py:723] (val) algo quicksort step 6750: {'pred': 0.767578125, 'score': 0.767578125, 'examples_seen': 234395, 'step': 6750, 'algorithm': 'quicksort'}
I0715 18:26:26.649368 124880143382016 run.py:723] (val) algo quicksort step 6800: {'pred': 0.7197265625, 'score': 0.7197265625, 'examples_seen': 236102, 'step': 6800, 'algorithm': 'quicksort'}
