I0716 16:23:22.169290 123486293136896 run.py:722] (val) algo mst_prim step 5700: {'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 321872, 'step': 5700, 'algorithm': 'mst_prim'}
I0716 16:23:24.050008 123486293136896 run.py:722] (val) algo mst_prim step 5750: {'pi': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 324691, 'step': 5750, 'algorithm': 'mst_prim'}
I0716 16:23:25.933348 123486293136896 run.py:722] (val) algo mst_prim step 5800: {'pi': 0.9541015625, 'score': 0.9541015625, 'examples_seen': 327482, 'step': 5800, 'algorithm': 'mst_prim'}
I0716 16:23:27.756840 123486293136896 run.py:722] (val) algo mst_prim step 5850: {'pi': 0.9404296875, 'score': 0.9404296875, 'examples_seen': 330253, 'step': 5850, 'algorithm': 'mst_prim'}
I0716 16:23:29.675039 123486293136896 run.py:722] (val) algo mst_prim step 5900: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 333147, 'step': 5900, 'algorithm': 'mst_prim'}
I0716 16:23:31.572728 123486293136896 run.py:722] (val) algo mst_prim step 5950: {'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 336033, 'step': 5950, 'algorithm': 'mst_prim'}
I0716 16:23:33.436959 123486293136896 run.py:722] (val) algo mst_prim step 6000: {'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 338875, 'step': 6000, 'algorithm': 'mst_prim'}
I0716 16:23:35.284266 123486293136896 run.py:722] (val) algo mst_prim step 6050: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 341736, 'step': 6050, 'algorithm': 'mst_prim'}
I0716 16:23:37.111760 123486293136896 run.py:722] (val) algo mst_prim step 6100: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 344519, 'step': 6100, 'algorithm': 'mst_prim'}
I0716 16:23:39.031527 123486293136896 run.py:722] (val) algo mst_prim step 6150: {'pi': 0.9150390625, 'score': 0.9150390625, 'examples_seen': 347320, 'step': 6150, 'algorithm': 'mst_prim'}
I0716 16:23:40.883832 123486293136896 run.py:722] (val) algo mst_prim step 6200: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 350082, 'step': 6200, 'algorithm': 'mst_prim'}
I0716 16:23:42.772744 123486293136896 run.py:722] (val) algo mst_prim step 6250: {'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 352931, 'step': 6250, 'algorithm': 'mst_prim'}
I0716 16:23:44.672630 123486293136896 run.py:722] (val) algo mst_prim step 6300: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 355770, 'step': 6300, 'algorithm': 'mst_prim'}
I0716 16:23:46.500492 123486293136896 run.py:722] (val) algo mst_prim step 6350: {'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 358610, 'step': 6350, 'algorithm': 'mst_prim'}
I0716 16:23:48.397812 123486293136896 run.py:722] (val) algo mst_prim step 6400: {'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 361457, 'step': 6400, 'algorithm': 'mst_prim'}
I0716 16:23:50.266657 123486293136896 run.py:722] (val) algo mst_prim step 6450: {'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 364254, 'step': 6450, 'algorithm': 'mst_prim'}
I0716 16:23:52.397979 123486293136896 run.py:722] (val) algo mst_prim step 6500: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 367061, 'step': 6500, 'algorithm': 'mst_prim'}
I0716 16:23:54.276846 123486293136896 run.py:722] (val) algo mst_prim step 6550: {'pi': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 369825, 'step': 6550, 'algorithm': 'mst_prim'}
I0716 16:23:56.153936 123486293136896 run.py:722] (val) algo mst_prim step 6600: {'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 372739, 'step': 6600, 'algorithm': 'mst_prim'}
