I0716 13:08:20.958098 138795964425728 run.py:722] (val) algo binary_search step 5350: {'return': 0.876220703125, 'score': 0.876220703125, 'examples_seen': 411276, 'step': 5350, 'algorithm': 'binary_search'}
I0716 13:08:23.119836 138795964425728 run.py:722] (val) algo binary_search step 5400: {'return': 0.81103515625, 'score': 0.81103515625, 'examples_seen': 415094, 'step': 5400, 'algorithm': 'binary_search'}
I0716 13:08:25.492481 138795964425728 run.py:722] (val) algo binary_search step 5450: {'return': 0.84326171875, 'score': 0.84326171875, 'examples_seen': 418911, 'step': 5450, 'algorithm': 'binary_search'}
I0716 13:08:27.641036 138795964425728 run.py:722] (val) algo binary_search step 5500: {'return': 0.889404296875, 'score': 0.889404296875, 'examples_seen': 422725, 'step': 5500, 'algorithm': 'binary_search'}
I0716 13:08:29.786939 138795964425728 run.py:722] (val) algo binary_search step 5550: {'return': 0.84033203125, 'score': 0.84033203125, 'examples_seen': 426617, 'step': 5550, 'algorithm': 'binary_search'}
I0716 13:08:31.923645 138795964425728 run.py:722] (val) algo binary_search step 5600: {'return': 0.90771484375, 'score': 0.90771484375, 'examples_seen': 430493, 'step': 5600, 'algorithm': 'binary_search'}
I0716 13:08:34.046286 138795964425728 run.py:722] (val) algo binary_search step 5650: {'return': 0.89208984375, 'score': 0.89208984375, 'examples_seen': 434320, 'step': 5650, 'algorithm': 'binary_search'}
I0716 13:08:36.174431 138795964425728 run.py:722] (val) algo binary_search step 5700: {'return': 0.911865234375, 'score': 0.911865234375, 'examples_seen': 438151, 'step': 5700, 'algorithm': 'binary_search'}
I0716 13:08:38.308914 138795964425728 run.py:722] (val) algo binary_search step 5750: {'return': 0.867919921875, 'score': 0.867919921875, 'examples_seen': 441971, 'step': 5750, 'algorithm': 'binary_search'}
I0716 13:08:40.444165 138795964425728 run.py:722] (val) algo binary_search step 5800: {'return': 0.783203125, 'score': 0.783203125, 'examples_seen': 445792, 'step': 5800, 'algorithm': 'binary_search'}
I0716 13:08:42.605011 138795964425728 run.py:722] (val) algo binary_search step 5850: {'return': 0.920166015625, 'score': 0.920166015625, 'examples_seen': 449622, 'step': 5850, 'algorithm': 'binary_search'}
I0716 13:08:44.753926 138795964425728 run.py:722] (val) algo binary_search step 5900: {'return': 0.90966796875, 'score': 0.90966796875, 'examples_seen': 453499, 'step': 5900, 'algorithm': 'binary_search'}
I0716 13:08:46.881438 138795964425728 run.py:722] (val) algo binary_search step 5950: {'return': 0.881103515625, 'score': 0.881103515625, 'examples_seen': 457369, 'step': 5950, 'algorithm': 'binary_search'}
I0716 13:08:49.023453 138795964425728 run.py:722] (val) algo binary_search step 6000: {'return': 0.925537109375, 'score': 0.925537109375, 'examples_seen': 461201, 'step': 6000, 'algorithm': 'binary_search'}
I0716 13:08:51.171370 138795964425728 run.py:722] (val) algo binary_search step 6050: {'return': 0.905517578125, 'score': 0.905517578125, 'examples_seen': 465026, 'step': 6050, 'algorithm': 'binary_search'}
I0716 13:08:53.309918 138795964425728 run.py:722] (val) algo binary_search step 6100: {'return': 0.921875, 'score': 0.921875, 'examples_seen': 468843, 'step': 6100, 'algorithm': 'binary_search'}
I0716 13:08:55.421063 138795964425728 run.py:722] (val) algo binary_search step 6150: {'return': 0.8388671875, 'score': 0.8388671875, 'examples_seen': 472644, 'step': 6150, 'algorithm': 'binary_search'}
I0716 13:08:57.552679 138795964425728 run.py:722] (val) algo binary_search step 6200: {'return': 0.845703125, 'score': 0.845703125, 'examples_seen': 476479, 'step': 6200, 'algorithm': 'binary_search'}
I0716 13:08:59.687777 138795964425728 run.py:722] (val) algo binary_search step 6250: {'return': 0.88671875, 'score': 0.88671875, 'examples_seen': 480348, 'step': 6250, 'algorithm': 'binary_search'}
I0716 13:09:01.820287 138795964425728 run.py:722] (val) algo binary_search step 6300: {'return': 0.8642578125, 'score': 0.8642578125, 'examples_seen': 484234, 'step': 6300, 'algorithm': 'binary_search'}
I0716 13:09:03.952062 138795964425728 run.py:722] (val) algo binary_search step 6350: {'return': 0.89013671875, 'score': 0.89013671875, 'examples_seen': 488071, 'step': 6350, 'algorithm': 'binary_search'}
I0716 13:09:06.103391 138795964425728 run.py:722] (val) algo binary_search step 6400: {'return': 0.93701171875, 'score': 0.93701171875, 'examples_seen': 491916, 'step': 6400, 'algorithm': 'binary_search'}
I0716 13:09:08.256403 138795964425728 run.py:722] (val) algo binary_search step 6450: {'return': 0.930419921875, 'score': 0.930419921875, 'examples_seen': 495734, 'step': 6450, 'algorithm': 'binary_search'}
I0716 13:09:10.405732 138795964425728 run.py:722] (val) algo binary_search step 6500: {'return': 0.93505859375, 'score': 0.93505859375, 'examples_seen': 499545, 'step': 6500, 'algorithm': 'binary_search'}
I0716 13:09:12.539119 138795964425728 run.py:722] (val) algo binary_search step 6550: {'return': 0.84619140625, 'score': 0.84619140625, 'examples_seen': 503363, 'step': 6550, 'algorithm': 'binary_search'}
I0716 13:09:14.683885 138795964425728 run.py:722] (val) algo binary_search step 6600: {'return': 0.928466796875, 'score': 0.928466796875, 'examples_seen': 507255, 'step': 6600, 'algorithm': 'binary_search'}
I0716 13:09:16.848232 138795964425728 run.py:722] (val) algo binary_search step 6650: {'return': 0.857421875, 'score': 0.857421875, 'examples_seen': 511130, 'step': 6650, 'algorithm': 'binary_search'}
I0716 13:09:19.006397 138795964425728 run.py:722] (val) algo binary_search step 6700: {'return': 0.923828125, 'score': 0.923828125, 'examples_seen': 514969, 'step': 6700, 'algorithm': 'binary_search'}
I0716 13:09:21.139698 138795964425728 run.py:722] (val) algo binary_search step 6750: {'return': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 518810, 'step': 6750, 'algorithm': 'binary_search'}
I0716 13:09:23.266433 138795964425728 run.py:722] (val) algo binary_search step 6800: {'return': 0.916748046875, 'score': 0.916748046875, 'examples_seen': 522639, 'step': 6800, 'algorithm': 'binary_search'}
