I0716 17:31:41.472688 131698539693568 run.py:722] (val) algo quicksort step 4000: {'pred': 0.73828125, 'score': 0.73828125, 'examples_seen': 138862, 'step': 4000, 'algorithm': 'quicksort'}
I0716 17:31:45.410183 131698539693568 run.py:722] (val) algo quicksort step 4050: {'pred': 0.765625, 'score': 0.765625, 'examples_seen': 140556, 'step': 4050, 'algorithm': 'quicksort'}
I0716 17:31:49.389211 131698539693568 run.py:722] (val) algo quicksort step 4100: {'pred': 0.7900390625, 'score': 0.7900390625, 'examples_seen': 142268, 'step': 4100, 'algorithm': 'quicksort'}
I0716 17:31:53.501745 131698539693568 run.py:722] (val) algo quicksort step 4150: {'pred': 0.74609375, 'score': 0.74609375, 'examples_seen': 144091, 'step': 4150, 'algorithm': 'quicksort'}
I0716 17:31:57.555977 131698539693568 run.py:722] (val) algo quicksort step 4200: {'pred': 0.85546875, 'score': 0.85546875, 'examples_seen': 145862, 'step': 4200, 'algorithm': 'quicksort'}
I0716 17:32:01.586988 131698539693568 run.py:722] (val) algo quicksort step 4250: {'pred': 0.837890625, 'score': 0.837890625, 'examples_seen': 147587, 'step': 4250, 'algorithm': 'quicksort'}
I0716 17:32:05.578440 131698539693568 run.py:722] (val) algo quicksort step 4300: {'pred': 0.7880859375, 'score': 0.7880859375, 'examples_seen': 149316, 'step': 4300, 'algorithm': 'quicksort'}
I0716 17:32:09.586019 131698539693568 run.py:722] (val) algo quicksort step 4350: {'pred': 0.8330078125, 'score': 0.8330078125, 'examples_seen': 151017, 'step': 4350, 'algorithm': 'quicksort'}
I0716 17:32:13.545168 131698539693568 run.py:722] (val) algo quicksort step 4400: {'pred': 0.859375, 'score': 0.859375, 'examples_seen': 152731, 'step': 4400, 'algorithm': 'quicksort'}
I0716 17:32:17.562595 131698539693568 run.py:722] (val) algo quicksort step 4450: {'pred': 0.8115234375, 'score': 0.8115234375, 'examples_seen': 154438, 'step': 4450, 'algorithm': 'quicksort'}
I0716 17:32:21.664589 131698539693568 run.py:722] (val) algo quicksort step 4500: {'pred': 0.853515625, 'score': 0.853515625, 'examples_seen': 156275, 'step': 4500, 'algorithm': 'quicksort'}
I0716 17:32:25.687113 131698539693568 run.py:722] (val) algo quicksort step 4550: {'pred': 0.8046875, 'score': 0.8046875, 'examples_seen': 158029, 'step': 4550, 'algorithm': 'quicksort'}
I0716 17:32:29.691329 131698539693568 run.py:722] (val) algo quicksort step 4600: {'pred': 0.818359375, 'score': 0.818359375, 'examples_seen': 159744, 'step': 4600, 'algorithm': 'quicksort'}
I0716 17:32:33.682980 131698539693568 run.py:722] (val) algo quicksort step 4650: {'pred': 0.841796875, 'score': 0.841796875, 'examples_seen': 161468, 'step': 4650, 'algorithm': 'quicksort'}
I0716 17:32:37.708321 131698539693568 run.py:722] (val) algo quicksort step 4700: {'pred': 0.8388671875, 'score': 0.8388671875, 'examples_seen': 163175, 'step': 4700, 'algorithm': 'quicksort'}
I0716 17:32:41.706427 131698539693568 run.py:722] (val) algo quicksort step 4750: {'pred': 0.8291015625, 'score': 0.8291015625, 'examples_seen': 164879, 'step': 4750, 'algorithm': 'quicksort'}
I0716 17:32:45.713305 131698539693568 run.py:722] (val) algo quicksort step 4800: {'pred': 0.8095703125, 'score': 0.8095703125, 'examples_seen': 166576, 'step': 4800, 'algorithm': 'quicksort'}
I0716 17:32:49.821689 131698539693568 run.py:722] (val) algo quicksort step 4850: {'pred': 0.8095703125, 'score': 0.8095703125, 'examples_seen': 168407, 'step': 4850, 'algorithm': 'quicksort'}
I0716 17:32:53.839606 131698539693568 run.py:722] (val) algo quicksort step 4900: {'pred': 0.7841796875, 'score': 0.7841796875, 'examples_seen': 170160, 'step': 4900, 'algorithm': 'quicksort'}
I0716 17:32:57.832009 131698539693568 run.py:722] (val) algo quicksort step 4950: {'pred': 0.8115234375, 'score': 0.8115234375, 'examples_seen': 171890, 'step': 4950, 'algorithm': 'quicksort'}
I0716 17:33:01.813905 131698539693568 run.py:722] (val) algo quicksort step 5000: {'pred': 0.796875, 'score': 0.796875, 'examples_seen': 173599, 'step': 5000, 'algorithm': 'quicksort'}
I0716 17:33:05.778438 131698539693568 run.py:722] (val) algo quicksort step 5050: {'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 175313, 'step': 5050, 'algorithm': 'quicksort'}
I0716 17:33:09.708959 131698539693568 run.py:722] (val) algo quicksort step 5100: {'pred': 0.84375, 'score': 0.84375, 'examples_seen': 177022, 'step': 5100, 'algorithm': 'quicksort'}
