{'is_bridge': 0.8118811881188118, 'score': 0.8118811881188118, 'examples_seen': 73768, 'step': 4650, 'algorithm': 'bridges'}
{'is_bridge': 0.8127853881278541, 'score': 0.8127853881278541, 'examples_seen': 74547, 'step': 4700, 'algorithm': 'bridges'}
{'is_bridge': 0.7812500000000001, 'score': 0.7812500000000001, 'examples_seen': 75326, 'step': 4750, 'algorithm': 'bridges'}
{'is_bridge': 0.7891440501043843, 'score': 0.7891440501043843, 'examples_seen': 76108, 'step': 4800, 'algorithm': 'bridges'}
{'is_bridge': 0.8134270101483215, 'score': 0.8134270101483215, 'examples_seen': 76931, 'step': 4850, 'algorithm': 'bridges'}
{'is_bridge': 0.8294736842105263, 'score': 0.8294736842105263, 'examples_seen': 77727, 'step': 4900, 'algorithm': 'bridges'}
{'is_bridge': 0.8119533527696793, 'score': 0.8119533527696793, 'examples_seen': 78527, 'step': 4950, 'algorithm': 'bridges'}
{'is_bridge': 0.8036951501154735, 'score': 0.8036951501154735, 'examples_seen': 79314, 'step': 5000, 'algorithm': 'bridges'}
{'is_bridge': 0.8275245755138516, 'score': 0.8275245755138516, 'examples_seen': 80101, 'step': 5050, 'algorithm': 'bridges'}
{'is_bridge': 0.8116627265563436, 'score': 0.8116627265563436, 'examples_seen': 80879, 'step': 5100, 'algorithm': 'bridges'}
{'is_bridge': 0.7997520148791073, 'score': 0.7997520148791073, 'examples_seen': 81662, 'step': 5150, 'algorithm': 'bridges'}
{'is_bridge': 0.8589341692789969, 'score': 0.8589341692789969, 'examples_seen': 82480, 'step': 5200, 'algorithm': 'bridges'}
{'is_bridge': 0.8582434514637906, 'score': 0.8582434514637906, 'examples_seen': 83294, 'step': 5250, 'algorithm': 'bridges'}
{'is_bridge': 0.8428781204111601, 'score': 0.8428781204111601, 'examples_seen': 84080, 'step': 5300, 'algorithm': 'bridges'}
{'is_bridge': 0.8091353996737357, 'score': 0.8091353996737357, 'examples_seen': 84873, 'step': 5350, 'algorithm': 'bridges'}
{'is_bridge': 0.8504672897196262, 'score': 0.8504672897196262, 'examples_seen': 85657, 'step': 5400, 'algorithm': 'bridges'}
{'is_bridge': 0.85553772070626, 'score': 0.85553772070626, 'examples_seen': 86431, 'step': 5450, 'algorithm': 'bridges'}
{'is_bridge': 0.770440251572327, 'score': 0.770440251572327, 'examples_seen': 87219, 'step': 5500, 'algorithm': 'bridges'}
{'is_bridge': 0.8084147257700977, 'score': 0.8084147257700977, 'examples_seen': 88046, 'step': 5550, 'algorithm': 'bridges'}
{'is_bridge': 0.7545787545787546, 'score': 0.7545787545787546, 'examples_seen': 88846, 'step': 5600, 'algorithm': 'bridges'}
{'is_bridge': 0.779245283018868, 'score': 0.779245283018868, 'examples_seen': 89638, 'step': 5650, 'algorithm': 'bridges'}
{'is_bridge': 0.8344481605351171, 'score': 0.8344481605351171, 'examples_seen': 90427, 'step': 5700, 'algorithm': 'bridges'}
{'is_bridge': 0.8031914893617021, 'score': 0.8031914893617021, 'examples_seen': 91206, 'step': 5750, 'algorithm': 'bridges'}
{'is_bridge': 0.8284023668639053, 'score': 0.8284023668639053, 'examples_seen': 91993, 'step': 5800, 'algorithm': 'bridges'}
{'is_bridge': 0.853658536585366, 'score': 0.853658536585366, 'examples_seen': 92776, 'step': 5850, 'algorithm': 'bridges'}
{'is_bridge': 0.868632707774799, 'score': 0.868632707774799, 'examples_seen': 93595, 'step': 5900, 'algorithm': 'bridges'}
{'is_bridge': 0.7971326164874551, 'score': 0.7971326164874551, 'examples_seen': 94394, 'step': 5950, 'algorithm': 'bridges'}
{'is_bridge': 0.7917282127031019, 'score': 0.7917282127031019, 'examples_seen': 95185, 'step': 6000, 'algorithm': 'bridges'}
{'is_bridge': 0.7287299630086314, 'score': 0.7287299630086314, 'examples_seen': 95970, 'step': 6050, 'algorithm': 'bridges'}
{'is_bridge': 0.8297013720742534, 'score': 0.8297013720742534, 'examples_seen': 96745, 'step': 6100, 'algorithm': 'bridges'}
{'is_bridge': 0.8285465622280244, 'score': 0.8285465622280244, 'examples_seen': 97528, 'step': 6150, 'algorithm': 'bridges'}
{'is_bridge': 0.8372739916550765, 'score': 0.8372739916550765, 'examples_seen': 98310, 'step': 6200, 'algorithm': 'bridges'}
{'is_bridge': 0.8224299065420562, 'score': 0.8224299065420562, 'examples_seen': 99125, 'step': 6250, 'algorithm': 'bridges'}
{'is_bridge': 0.8614035087719298, 'score': 0.8614035087719298, 'examples_seen': 99930, 'step': 6300, 'algorithm': 'bridges'}
{'is_bridge': 0.8278560250391236, 'score': 0.8278560250391236, 'examples_seen': 100714, 'step': 6350, 'algorithm': 'bridges'}
{'is_bridge': 0.8791732909379969, 'score': 0.8791732909379969, 'examples_seen': 101505, 'step': 6400, 'algorithm': 'bridges'}
{'is_bridge': 0.8636363636363636, 'score': 0.8636363636363636, 'examples_seen': 102293, 'step': 6450, 'algorithm': 'bridges'}
{'is_bridge': 0.8215962441314554, 'score': 0.8215962441314554, 'examples_seen': 103075, 'step': 6500, 'algorithm': 'bridges'}
{'is_bridge': 0.7974683544303798, 'score': 0.7974683544303798, 'examples_seen': 103854, 'step': 6550, 'algorithm': 'bridges'}
{'is_bridge': 0.8565121412803532, 'score': 0.8565121412803532, 'examples_seen': 104682, 'step': 6600, 'algorithm': 'bridges'}
{'is_bridge': 0.7856093979441997, 'score': 0.7856093979441997, 'examples_seen': 105484, 'step': 6650, 'algorithm': 'bridges'}
{'is_bridge': 0.8376220053238685, 'score': 0.8376220053238685, 'examples_seen': 106273, 'step': 6700, 'algorithm': 'bridges'}
{'is_bridge': 0.8410714285714286, 'score': 0.8410714285714286, 'examples_seen': 107058, 'step': 6750, 'algorithm': 'bridges'}
{'is_bridge': 0.8449799196787149, 'score': 0.8449799196787149, 'examples_seen': 107837, 'step': 6800, 'algorithm': 'bridges'}
{'is_bridge': 0.7766990291262136, 'score': 0.7766990291262136, 'examples_seen': 108619, 'step': 6850, 'algorithm': 'bridges'}
{'is_bridge': 0.8548094373865698, 'score': 0.8548094373865698, 'examples_seen': 109394, 'step': 6900, 'algorithm': 'bridges'}
