{'s': 0.9921875, 'score': 0.9921875, 'examples_seen': 633018, 'step': 7700, 'algorithm': 'matrix_chain_order'}
{'s': 0.99066162109375, 'score': 0.99066162109375, 'examples_seen': 637118, 'step': 7750, 'algorithm': 'matrix_chain_order'}
{'s': 0.9927978515625, 'score': 0.9927978515625, 'examples_seen': 641183, 'step': 7800, 'algorithm': 'matrix_chain_order'}
{'s': 0.9921875, 'score': 0.9921875, 'examples_seen': 645252, 'step': 7850, 'algorithm': 'matrix_chain_order'}
{'s': 0.9947509765625, 'score': 0.9947509765625, 'examples_seen': 649298, 'step': 7900, 'algorithm': 'matrix_chain_order'}
{'s': 0.9906005859375, 'score': 0.9906005859375, 'examples_seen': 653333, 'step': 7950, 'algorithm': 'matrix_chain_order'}
{'s': 0.98919677734375, 'score': 0.98919677734375, 'examples_seen': 657628, 'step': 8000, 'algorithm': 'matrix_chain_order'}
{'s': 0.98822021484375, 'score': 0.98822021484375, 'examples_seen': 661777, 'step': 8050, 'algorithm': 'matrix_chain_order'}
{'s': 0.9886474609375, 'score': 0.9886474609375, 'examples_seen': 665870, 'step': 8100, 'algorithm': 'matrix_chain_order'}
{'s': 0.98846435546875, 'score': 0.98846435546875, 'examples_seen': 669942, 'step': 8150, 'algorithm': 'matrix_chain_order'}
{'s': 0.9937744140625, 'score': 0.9937744140625, 'examples_seen': 673997, 'step': 8200, 'algorithm': 'matrix_chain_order'}
{'s': 0.992919921875, 'score': 0.992919921875, 'examples_seen': 678045, 'step': 8250, 'algorithm': 'matrix_chain_order'}
{'s': 0.99267578125, 'score': 0.99267578125, 'examples_seen': 682090, 'step': 8300, 'algorithm': 'matrix_chain_order'}
{'s': 0.995361328125, 'score': 0.995361328125, 'examples_seen': 686373, 'step': 8350, 'algorithm': 'matrix_chain_order'}
{'s': 0.9920654296875, 'score': 0.9920654296875, 'examples_seen': 690526, 'step': 8400, 'algorithm': 'matrix_chain_order'}
{'s': 0.9910888671875, 'score': 0.9910888671875, 'examples_seen': 694616, 'step': 8450, 'algorithm': 'matrix_chain_order'}
{'s': 0.9913330078125, 'score': 0.9913330078125, 'examples_seen': 698698, 'step': 8500, 'algorithm': 'matrix_chain_order'}
{'s': 0.98675537109375, 'score': 0.98675537109375, 'examples_seen': 702745, 'step': 8550, 'algorithm': 'matrix_chain_order'}
{'s': 0.9947509765625, 'score': 0.9947509765625, 'examples_seen': 706807, 'step': 8600, 'algorithm': 'matrix_chain_order'}
{'s': 0.99420166015625, 'score': 0.99420166015625, 'examples_seen': 710854, 'step': 8650, 'algorithm': 'matrix_chain_order'}
{'s': 0.99481201171875, 'score': 0.99481201171875, 'examples_seen': 715146, 'step': 8700, 'algorithm': 'matrix_chain_order'}
{'s': 0.99432373046875, 'score': 0.99432373046875, 'examples_seen': 719294, 'step': 8750, 'algorithm': 'matrix_chain_order'}
{'s': 0.99517822265625, 'score': 0.99517822265625, 'examples_seen': 723399, 'step': 8800, 'algorithm': 'matrix_chain_order'}
{'s': 0.99346923828125, 'score': 0.99346923828125, 'examples_seen': 727465, 'step': 8850, 'algorithm': 'matrix_chain_order'}
{'s': 0.99505615234375, 'score': 0.99505615234375, 'examples_seen': 731519, 'step': 8900, 'algorithm': 'matrix_chain_order'}
{'s': 0.99420166015625, 'score': 0.99420166015625, 'examples_seen': 735576, 'step': 8950, 'algorithm': 'matrix_chain_order'}
{'s': 0.9898681640625, 'score': 0.9898681640625, 'examples_seen': 739617, 'step': 9000, 'algorithm': 'matrix_chain_order'}
{'s': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 743910, 'step': 9050, 'algorithm': 'matrix_chain_order'}
{'s': 0.9952392578125, 'score': 0.9952392578125, 'examples_seen': 748062, 'step': 9100, 'algorithm': 'matrix_chain_order'}
{'s': 0.98956298828125, 'score': 0.98956298828125, 'examples_seen': 752168, 'step': 9150, 'algorithm': 'matrix_chain_order'}
{'s': 0.99285888671875, 'score': 0.99285888671875, 'examples_seen': 756246, 'step': 9200, 'algorithm': 'matrix_chain_order'}
{'s': 0.98895263671875, 'score': 0.98895263671875, 'examples_seen': 760304, 'step': 9250, 'algorithm': 'matrix_chain_order'}
{'s': 0.994384765625, 'score': 0.994384765625, 'examples_seen': 764357, 'step': 9300, 'algorithm': 'matrix_chain_order'}
{'s': 0.99468994140625, 'score': 0.99468994140625, 'examples_seen': 768397, 'step': 9350, 'algorithm': 'matrix_chain_order'}
{'s': 0.99041748046875, 'score': 0.99041748046875, 'examples_seen': 772678, 'step': 9400, 'algorithm': 'matrix_chain_order'}
{'s': 0.9918212890625, 'score': 0.9918212890625, 'examples_seen': 776835, 'step': 9450, 'algorithm': 'matrix_chain_order'}
{'s': 0.99468994140625, 'score': 0.99468994140625, 'examples_seen': 780931, 'step': 9500, 'algorithm': 'matrix_chain_order'}
{'s': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 785000, 'step': 9550, 'algorithm': 'matrix_chain_order'}
{'s': 0.99444580078125, 'score': 0.99444580078125, 'examples_seen': 789059, 'step': 9600, 'algorithm': 'matrix_chain_order'}
{'s': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 793114, 'step': 9650, 'algorithm': 'matrix_chain_order'}
{'s': 0.98687744140625, 'score': 0.98687744140625, 'examples_seen': 797161, 'step': 9700, 'algorithm': 'matrix_chain_order'}
{'s': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 801440, 'step': 9750, 'algorithm': 'matrix_chain_order'}
{'s': 0.99395751953125, 'score': 0.99395751953125, 'examples_seen': 805599, 'step': 9800, 'algorithm': 'matrix_chain_order'}
{'s': 0.99346923828125, 'score': 0.99346923828125, 'examples_seen': 809693, 'step': 9850, 'algorithm': 'matrix_chain_order'}
{'s': 0.99249267578125, 'score': 0.99249267578125, 'examples_seen': 813773, 'step': 9900, 'algorithm': 'matrix_chain_order'}
{'s': 0.987060546875, 'score': 0.987060546875, 'examples_seen': 817821, 'step': 9950, 'algorithm': 'matrix_chain_order'}
