I0716 17:43:42.808365 124054970734080 run.py:722] (val) algo segments_intersect step 4500: {'intersect': 0.9259606373008434, 'score': 0.9259606373008434, 'examples_seen': 230400, 'step': 4500, 'algorithm': 'segments_intersect'}
I0716 17:43:44.655611 124054970734080 run.py:722] (val) algo segments_intersect step 4550: {'intersect': 0.9370695796722869, 'score': 0.9370695796722869, 'examples_seen': 233008, 'step': 4550, 'algorithm': 'segments_intersect'}
I0716 17:43:46.469526 124054970734080 run.py:722] (val) algo segments_intersect step 4600: {'intersect': 0.9346997140133461, 'score': 0.9346997140133461, 'examples_seen': 235520, 'step': 4600, 'algorithm': 'segments_intersect'}
I0716 17:43:48.270277 124054970734080 run.py:722] (val) algo segments_intersect step 4650: {'intersect': 0.9325870041372597, 'score': 0.9325870041372597, 'examples_seen': 238144, 'step': 4650, 'algorithm': 'segments_intersect'}
I0716 17:43:50.084906 124054970734080 run.py:722] (val) algo segments_intersect step 4700: {'intersect': 0.8979064357715172, 'score': 0.8979064357715172, 'examples_seen': 240656, 'step': 4700, 'algorithm': 'segments_intersect'}
I0716 17:43:51.907365 124054970734080 run.py:722] (val) algo segments_intersect step 4750: {'intersect': 0.924390243902439, 'score': 0.924390243902439, 'examples_seen': 243264, 'step': 4750, 'algorithm': 'segments_intersect'}
I0716 17:43:53.752775 124054970734080 run.py:722] (val) algo segments_intersect step 4800: {'intersect': 0.9309366130558183, 'score': 0.9309366130558183, 'examples_seen': 245792, 'step': 4800, 'algorithm': 'segments_intersect'}
I0716 17:43:55.567986 124054970734080 run.py:722] (val) algo segments_intersect step 4850: {'intersect': 0.9422418012726383, 'score': 0.9422418012726383, 'examples_seen': 248320, 'step': 4850, 'algorithm': 'segments_intersect'}
I0716 17:43:57.428461 124054970734080 run.py:722] (val) algo segments_intersect step 4900: {'intersect': 0.9212884475659965, 'score': 0.9212884475659965, 'examples_seen': 250928, 'step': 4900, 'algorithm': 'segments_intersect'}
I0716 17:43:59.230598 124054970734080 run.py:722] (val) algo segments_intersect step 4950: {'intersect': 0.9354838709677419, 'score': 0.9354838709677419, 'examples_seen': 253440, 'step': 4950, 'algorithm': 'segments_intersect'}
