I0716 17:57:54.752710 136905113048576 run.py:722] (val) algo topological_sort step 2950: {'topo': 0.4580078125, 'topo_head': 0.984375, 'score': 0.72119140625, 'examples_seen': 56278, 'step': 2950, 'algorithm': 'topological_sort'}
I0716 17:57:56.095312 136905113048576 run.py:722] (val) algo topological_sort step 3000: {'topo': 0.4482421875, 'topo_head': 1.0, 'score': 0.72412109375, 'examples_seen': 57219, 'step': 3000, 'algorithm': 'topological_sort'}
I0716 17:57:57.466237 136905113048576 run.py:722] (val) algo topological_sort step 3050: {'topo': 0.4267578125, 'topo_head': 0.953125, 'score': 0.68994140625, 'examples_seen': 58157, 'step': 3050, 'algorithm': 'topological_sort'}
I0716 17:57:58.809103 136905113048576 run.py:722] (val) algo topological_sort step 3100: {'topo': 0.3896484375, 'topo_head': 1.0, 'score': 0.69482421875, 'examples_seen': 59142, 'step': 3100, 'algorithm': 'topological_sort'}
I0716 17:58:00.121894 136905113048576 run.py:722] (val) algo topological_sort step 3150: {'topo': 0.4833984375, 'topo_head': 1.0, 'score': 0.74169921875, 'examples_seen': 60098, 'step': 3150, 'algorithm': 'topological_sort'}
I0716 17:58:01.451315 136905113048576 run.py:722] (val) algo topological_sort step 3200: {'topo': 0.4287109375, 'topo_head': 1.0, 'score': 0.71435546875, 'examples_seen': 61047, 'step': 3200, 'algorithm': 'topological_sort'}
I0716 17:58:02.762756 136905113048576 run.py:722] (val) algo topological_sort step 3250: {'topo': 0.4326171875, 'topo_head': 1.0, 'score': 0.71630859375, 'examples_seen': 62006, 'step': 3250, 'algorithm': 'topological_sort'}
I0716 17:58:04.080711 136905113048576 run.py:722] (val) algo topological_sort step 3300: {'topo': 0.3662109375, 'topo_head': 1.0, 'score': 0.68310546875, 'examples_seen': 62950, 'step': 3300, 'algorithm': 'topological_sort'}
I0716 17:58:05.448134 136905113048576 run.py:722] (val) algo topological_sort step 3350: {'topo': 0.400390625, 'topo_head': 0.984375, 'score': 0.6923828125, 'examples_seen': 63891, 'step': 3350, 'algorithm': 'topological_sort'}
I0716 17:58:06.826683 136905113048576 run.py:722] (val) algo topological_sort step 3400: {'topo': 0.3876953125, 'topo_head': 0.96875, 'score': 0.67822265625, 'examples_seen': 64835, 'step': 3400, 'algorithm': 'topological_sort'}
I0716 17:58:08.177574 136905113048576 run.py:722] (val) algo topological_sort step 3450: {'topo': 0.4453125, 'topo_head': 1.0, 'score': 0.72265625, 'examples_seen': 65820, 'step': 3450, 'algorithm': 'topological_sort'}
I0716 17:58:09.498652 136905113048576 run.py:722] (val) algo topological_sort step 3500: {'topo': 0.3671875, 'topo_head': 1.0, 'score': 0.68359375, 'examples_seen': 66782, 'step': 3500, 'algorithm': 'topological_sort'}
I0716 17:58:10.839141 136905113048576 run.py:722] (val) algo topological_sort step 3550: {'topo': 0.4189453125, 'topo_head': 0.984375, 'score': 0.70166015625, 'examples_seen': 67738, 'step': 3550, 'algorithm': 'topological_sort'}
I0716 17:58:12.164196 136905113048576 run.py:722] (val) algo topological_sort step 3600: {'topo': 0.408203125, 'topo_head': 0.984375, 'score': 0.6962890625, 'examples_seen': 68691, 'step': 3600, 'algorithm': 'topological_sort'}
I0716 17:58:13.470532 136905113048576 run.py:722] (val) algo topological_sort step 3650: {'topo': 0.4365234375, 'topo_head': 0.9375, 'score': 0.68701171875, 'examples_seen': 69631, 'step': 3650, 'algorithm': 'topological_sort'}
I0716 17:58:14.838744 136905113048576 run.py:722] (val) algo topological_sort step 3700: {'topo': 0.466796875, 'topo_head': 1.0, 'score': 0.7333984375, 'examples_seen': 70575, 'step': 3700, 'algorithm': 'topological_sort'}
I0716 17:58:16.214957 136905113048576 run.py:722] (val) algo topological_sort step 3750: {'topo': 0.4794921875, 'topo_head': 0.984375, 'score': 0.73193359375, 'examples_seen': 71512, 'step': 3750, 'algorithm': 'topological_sort'}
I0716 17:58:17.579177 136905113048576 run.py:722] (val) algo topological_sort step 3800: {'topo': 0.4462890625, 'topo_head': 1.0, 'score': 0.72314453125, 'examples_seen': 72493, 'step': 3800, 'algorithm': 'topological_sort'}
I0716 17:58:18.928222 136905113048576 run.py:722] (val) algo topological_sort step 3850: {'topo': 0.35546875, 'topo_head': 1.0, 'score': 0.677734375, 'examples_seen': 73460, 'step': 3850, 'algorithm': 'topological_sort'}
I0716 17:58:20.261161 136905113048576 run.py:722] (val) algo topological_sort step 3900: {'topo': 0.4345703125, 'topo_head': 0.96875, 'score': 0.70166015625, 'examples_seen': 74417, 'step': 3900, 'algorithm': 'topological_sort'}
I0716 17:58:21.610379 136905113048576 run.py:722] (val) algo topological_sort step 3950: {'topo': 0.3876953125, 'topo_head': 0.984375, 'score': 0.68603515625, 'examples_seen': 75366, 'step': 3950, 'algorithm': 'topological_sort'}
I0716 17:58:22.949531 136905113048576 run.py:722] (val) algo topological_sort step 4000: {'topo': 0.3427734375, 'topo_head': 0.890625, 'score': 0.61669921875, 'examples_seen': 76316, 'step': 4000, 'algorithm': 'topological_sort'}
I0716 17:58:24.313923 136905113048576 run.py:722] (val) algo topological_sort step 4050: {'topo': 0.4384765625, 'topo_head': 1.0, 'score': 0.71923828125, 'examples_seen': 77261, 'step': 4050, 'algorithm': 'topological_sort'}
I0716 17:58:25.690444 136905113048576 run.py:722] (val) algo topological_sort step 4100: {'topo': 0.3662109375, 'topo_head': 1.0, 'score': 0.68310546875, 'examples_seen': 78198, 'step': 4100, 'algorithm': 'topological_sort'}
I0716 17:58:27.032760 136905113048576 run.py:722] (val) algo topological_sort step 4150: {'topo': 0.3876953125, 'topo_head': 0.96875, 'score': 0.67822265625, 'examples_seen': 79173, 'step': 4150, 'algorithm': 'topological_sort'}
I0716 17:58:28.347039 136905113048576 run.py:722] (val) algo topological_sort step 4200: {'topo': 0.3701171875, 'topo_head': 0.953125, 'score': 0.66162109375, 'examples_seen': 80146, 'step': 4200, 'algorithm': 'topological_sort'}
I0716 17:58:29.679160 136905113048576 run.py:722] (val) algo topological_sort step 4250: {'topo': 0.4052734375, 'topo_head': 0.9375, 'score': 0.67138671875, 'examples_seen': 81089, 'step': 4250, 'algorithm': 'topological_sort'}
I0716 17:58:30.995653 136905113048576 run.py:722] (val) algo topological_sort step 4300: {'topo': 0.4287109375, 'topo_head': 1.0, 'score': 0.71435546875, 'examples_seen': 82041, 'step': 4300, 'algorithm': 'topological_sort'}
I0716 17:58:32.344473 136905113048576 run.py:722] (val) algo topological_sort step 4350: {'topo': 0.3544921875, 'topo_head': 1.0, 'score': 0.67724609375, 'examples_seen': 82990, 'step': 4350, 'algorithm': 'topological_sort'}
I0716 17:58:33.707510 136905113048576 run.py:722] (val) algo topological_sort step 4400: {'topo': 0.4423828125, 'topo_head': 1.0, 'score': 0.72119140625, 'examples_seen': 83935, 'step': 4400, 'algorithm': 'topological_sort'}
