{'Pi': 0.81573486328125, 'score': 0.81573486328125, 'examples_seen': 370368, 'step': 7200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81988525390625, 'score': 0.81988525390625, 'examples_seen': 372896, 'step': 7250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83203125, 'score': 0.83203125, 'examples_seen': 375536, 'step': 7300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81964111328125, 'score': 0.81964111328125, 'examples_seen': 378144, 'step': 7350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82159423828125, 'score': 0.82159423828125, 'examples_seen': 380720, 'step': 7400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82916259765625, 'score': 0.82916259765625, 'examples_seen': 383280, 'step': 7450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8155517578125, 'score': 0.8155517578125, 'examples_seen': 385808, 'step': 7500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80126953125, 'score': 0.80126953125, 'examples_seen': 388368, 'step': 7550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.80743408203125, 'score': 0.80743408203125, 'examples_seen': 390896, 'step': 7600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8082275390625, 'score': 0.8082275390625, 'examples_seen': 393536, 'step': 7650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83587646484375, 'score': 0.83587646484375, 'examples_seen': 396160, 'step': 7700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 398704, 'step': 7750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83770751953125, 'score': 0.83770751953125, 'examples_seen': 401280, 'step': 7800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83953857421875, 'score': 0.83953857421875, 'examples_seen': 403808, 'step': 7850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.838623046875, 'score': 0.838623046875, 'examples_seen': 406352, 'step': 7900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.812255859375, 'score': 0.812255859375, 'examples_seen': 408896, 'step': 7950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.839599609375, 'score': 0.839599609375, 'examples_seen': 411552, 'step': 8000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83251953125, 'score': 0.83251953125, 'examples_seen': 414160, 'step': 8050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8206787109375, 'score': 0.8206787109375, 'examples_seen': 416720, 'step': 8100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8408203125, 'score': 0.8408203125, 'examples_seen': 419280, 'step': 8150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84503173828125, 'score': 0.84503173828125, 'examples_seen': 421840, 'step': 8200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8524169921875, 'score': 0.8524169921875, 'examples_seen': 424384, 'step': 8250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8336181640625, 'score': 0.8336181640625, 'examples_seen': 426896, 'step': 8300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.79876708984375, 'score': 0.79876708984375, 'examples_seen': 429552, 'step': 8350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82952880859375, 'score': 0.82952880859375, 'examples_seen': 432160, 'step': 8400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8466796875, 'score': 0.8466796875, 'examples_seen': 434736, 'step': 8450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8245849609375, 'score': 0.8245849609375, 'examples_seen': 437296, 'step': 8500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82763671875, 'score': 0.82763671875, 'examples_seen': 439824, 'step': 8550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8118896484375, 'score': 0.8118896484375, 'examples_seen': 442384, 'step': 8600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85565185546875, 'score': 0.85565185546875, 'examples_seen': 444912, 'step': 8650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8719482421875, 'score': 0.8719482421875, 'examples_seen': 447552, 'step': 8700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84808349609375, 'score': 0.84808349609375, 'examples_seen': 450160, 'step': 8750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83111572265625, 'score': 0.83111572265625, 'examples_seen': 452720, 'step': 8800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8206787109375, 'score': 0.8206787109375, 'examples_seen': 455296, 'step': 8850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81298828125, 'score': 0.81298828125, 'examples_seen': 457824, 'step': 8900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84197998046875, 'score': 0.84197998046875, 'examples_seen': 460368, 'step': 8950, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84033203125, 'score': 0.84033203125, 'examples_seen': 462928, 'step': 9000, 'algorithm': 'floyd_warshall'}
{'Pi': 0.81781005859375, 'score': 0.81781005859375, 'examples_seen': 465552, 'step': 9050, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83428955078125, 'score': 0.83428955078125, 'examples_seen': 468176, 'step': 9100, 'algorithm': 'floyd_warshall'}
{'Pi': 0.811767578125, 'score': 0.811767578125, 'examples_seen': 470720, 'step': 9150, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8218994140625, 'score': 0.8218994140625, 'examples_seen': 473296, 'step': 9200, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83343505859375, 'score': 0.83343505859375, 'examples_seen': 475856, 'step': 9250, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83563232421875, 'score': 0.83563232421875, 'examples_seen': 478384, 'step': 9300, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84588623046875, 'score': 0.84588623046875, 'examples_seen': 480912, 'step': 9350, 'algorithm': 'floyd_warshall'}
{'Pi': 0.84039306640625, 'score': 0.84039306640625, 'examples_seen': 483568, 'step': 9400, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83685302734375, 'score': 0.83685302734375, 'examples_seen': 486176, 'step': 9450, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8447265625, 'score': 0.8447265625, 'examples_seen': 488752, 'step': 9500, 'algorithm': 'floyd_warshall'}
{'Pi': 0.85614013671875, 'score': 0.85614013671875, 'examples_seen': 491312, 'step': 9550, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8565673828125, 'score': 0.8565673828125, 'examples_seen': 493840, 'step': 9600, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 496400, 'step': 9650, 'algorithm': 'floyd_warshall'}
{'Pi': 0.865478515625, 'score': 0.865478515625, 'examples_seen': 498928, 'step': 9700, 'algorithm': 'floyd_warshall'}
{'Pi': 0.82342529296875, 'score': 0.82342529296875, 'examples_seen': 501552, 'step': 9750, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8516845703125, 'score': 0.8516845703125, 'examples_seen': 504176, 'step': 9800, 'algorithm': 'floyd_warshall'}
{'Pi': 0.83746337890625, 'score': 0.83746337890625, 'examples_seen': 506736, 'step': 9850, 'algorithm': 'floyd_warshall'}
{'Pi': 0.8460693359375, 'score': 0.8460693359375, 'examples_seen': 509312, 'step': 9900, 'algorithm': 'floyd_warshall'}
{'Pi': 0.840087890625, 'score': 0.840087890625, 'examples_seen': 511840, 'step': 9950, 'algorithm': 'floyd_warshall'}
