I0716 16:09:34.009557 128490841785856 run.py:722] (val) algo mst_kruskal step 3550: {'in_mst': 0.7726449275362317, 'score': 0.7726449275362317, 'examples_seen': 293568, 'step': 3550, 'algorithm': 'mst_kruskal'}
I0716 16:09:37.361383 128490841785856 run.py:722] (val) algo mst_kruskal step 3600: {'in_mst': 0.7375964718853364, 'score': 0.7375964718853364, 'examples_seen': 297736, 'step': 3600, 'algorithm': 'mst_kruskal'}
I0716 16:09:40.499739 128490841785856 run.py:722] (val) algo mst_kruskal step 3650: {'in_mst': 0.7371709058456046, 'score': 0.7371709058456046, 'examples_seen': 301785, 'step': 3650, 'algorithm': 'mst_kruskal'}
I0716 16:09:43.706177 128490841785856 run.py:722] (val) algo mst_kruskal step 3700: {'in_mst': 0.7794117647058824, 'score': 0.7794117647058824, 'examples_seen': 305887, 'step': 3700, 'algorithm': 'mst_kruskal'}
I0716 16:09:46.990993 128490841785856 run.py:722] (val) algo mst_kruskal step 3750: {'in_mst': 0.7644394110985278, 'score': 0.7644394110985278, 'examples_seen': 309936, 'step': 3750, 'algorithm': 'mst_kruskal'}
I0716 16:09:50.308866 128490841785856 run.py:722] (val) algo mst_kruskal step 3800: {'in_mst': 0.7311696264543783, 'score': 0.7311696264543783, 'examples_seen': 314216, 'step': 3800, 'algorithm': 'mst_kruskal'}
I0716 16:09:53.589084 128490841785856 run.py:722] (val) algo mst_kruskal step 3850: {'in_mst': 0.778362853039732, 'score': 0.778362853039732, 'examples_seen': 318430, 'step': 3850, 'algorithm': 'mst_kruskal'}
I0716 16:09:56.817698 128490841785856 run.py:722] (val) algo mst_kruskal step 3900: {'in_mst': 0.7705242334322454, 'score': 0.7705242334322454, 'examples_seen': 322513, 'step': 3900, 'algorithm': 'mst_kruskal'}
I0716 16:10:00.091865 128490841785856 run.py:722] (val) algo mst_kruskal step 3950: {'in_mst': 0.7703045685279187, 'score': 0.7703045685279187, 'examples_seen': 326603, 'step': 3950, 'algorithm': 'mst_kruskal'}
I0716 16:10:03.328774 128490841785856 run.py:722] (val) algo mst_kruskal step 4000: {'in_mst': 0.7808219178082192, 'score': 0.7808219178082192, 'examples_seen': 330716, 'step': 4000, 'algorithm': 'mst_kruskal'}
I0716 16:10:06.521099 128490841785856 run.py:722] (val) algo mst_kruskal step 4050: {'in_mst': 0.8124031007751938, 'score': 0.8124031007751938, 'examples_seen': 334684, 'step': 4050, 'algorithm': 'mst_kruskal'}
I0716 16:10:09.723778 128490841785856 run.py:722] (val) algo mst_kruskal step 4100: {'in_mst': 0.7396265560165975, 'score': 0.7396265560165975, 'examples_seen': 338743, 'step': 4100, 'algorithm': 'mst_kruskal'}
I0716 16:10:13.067817 128490841785856 run.py:722] (val) algo mst_kruskal step 4150: {'in_mst': 0.7035623409669212, 'score': 0.7035623409669212, 'examples_seen': 343016, 'step': 4150, 'algorithm': 'mst_kruskal'}
I0716 16:10:16.552414 128490841785856 run.py:722] (val) algo mst_kruskal step 4200: {'in_mst': 0.7776096822995462, 'score': 0.7776096822995462, 'examples_seen': 347254, 'step': 4200, 'algorithm': 'mst_kruskal'}
I0716 16:10:20.006997 128490841785856 run.py:722] (val) algo mst_kruskal step 4250: {'in_mst': 0.8219178082191781, 'score': 0.8219178082191781, 'examples_seen': 351401, 'step': 4250, 'algorithm': 'mst_kruskal'}
I0716 16:10:23.287695 128490841785856 run.py:722] (val) algo mst_kruskal step 4300: {'in_mst': 0.8356687898089171, 'score': 0.8356687898089171, 'examples_seen': 355505, 'step': 4300, 'algorithm': 'mst_kruskal'}
I0716 16:10:26.494540 128490841785856 run.py:722] (val) algo mst_kruskal step 4350: {'in_mst': 0.8244202555608139, 'score': 0.8244202555608139, 'examples_seen': 359596, 'step': 4350, 'algorithm': 'mst_kruskal'}
I0716 16:10:29.889385 128490841785856 run.py:722] (val) algo mst_kruskal step 4400: {'in_mst': 0.8129619101762365, 'score': 0.8129619101762365, 'examples_seen': 363677, 'step': 4400, 'algorithm': 'mst_kruskal'}
I0716 16:10:33.280678 128490841785856 run.py:722] (val) algo mst_kruskal step 4450: {'in_mst': 0.7445099089448313, 'score': 0.7445099089448313, 'examples_seen': 367777, 'step': 4450, 'algorithm': 'mst_kruskal'}
