I0716 13:29:10.708239 134814337697280 run.py:722] (val) algo bubble_sort step 4200: {'pred': 0.875, 'score': 0.875, 'examples_seen': 142160, 'step': 4200, 'algorithm': 'bubble_sort'}
I0716 13:29:14.424907 134814337697280 run.py:722] (val) algo bubble_sort step 4250: {'pred': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 143840, 'step': 4250, 'algorithm': 'bubble_sort'}
I0716 13:29:18.187128 134814337697280 run.py:722] (val) algo bubble_sort step 4300: {'pred': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 145520, 'step': 4300, 'algorithm': 'bubble_sort'}
I0716 13:29:21.955075 134814337697280 run.py:722] (val) algo bubble_sort step 4350: {'pred': 0.880859375, 'score': 0.880859375, 'examples_seen': 147184, 'step': 4350, 'algorithm': 'bubble_sort'}
I0716 13:29:25.744477 134814337697280 run.py:722] (val) algo bubble_sort step 4400: {'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 148848, 'step': 4400, 'algorithm': 'bubble_sort'}
I0716 13:29:29.564937 134814337697280 run.py:722] (val) algo bubble_sort step 4450: {'pred': 0.853515625, 'score': 0.853515625, 'examples_seen': 150512, 'step': 4450, 'algorithm': 'bubble_sort'}
I0716 13:29:33.463684 134814337697280 run.py:722] (val) algo bubble_sort step 4500: {'pred': 0.880859375, 'score': 0.880859375, 'examples_seen': 152288, 'step': 4500, 'algorithm': 'bubble_sort'}
I0716 13:29:37.252273 134814337697280 run.py:722] (val) algo bubble_sort step 4550: {'pred': 0.9140625, 'score': 0.9140625, 'examples_seen': 154000, 'step': 4550, 'algorithm': 'bubble_sort'}
I0716 13:29:41.099045 134814337697280 run.py:722] (val) algo bubble_sort step 4600: {'pred': 0.837890625, 'score': 0.837890625, 'examples_seen': 155696, 'step': 4600, 'algorithm': 'bubble_sort'}
I0716 13:29:44.868387 134814337697280 run.py:722] (val) algo bubble_sort step 4650: {'pred': 0.888671875, 'score': 0.888671875, 'examples_seen': 157344, 'step': 4650, 'algorithm': 'bubble_sort'}
I0716 13:29:48.651784 134814337697280 run.py:722] (val) algo bubble_sort step 4700: {'pred': 0.935546875, 'score': 0.935546875, 'examples_seen': 159008, 'step': 4700, 'algorithm': 'bubble_sort'}
I0716 13:29:52.445870 134814337697280 run.py:722] (val) algo bubble_sort step 4750: {'pred': 0.912109375, 'score': 0.912109375, 'examples_seen': 160672, 'step': 4750, 'algorithm': 'bubble_sort'}
I0716 13:29:56.216174 134814337697280 run.py:722] (val) algo bubble_sort step 4800: {'pred': 0.90625, 'score': 0.90625, 'examples_seen': 162336, 'step': 4800, 'algorithm': 'bubble_sort'}
I0716 13:30:00.084376 134814337697280 run.py:722] (val) algo bubble_sort step 4850: {'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 164112, 'step': 4850, 'algorithm': 'bubble_sort'}
I0716 13:30:03.916242 134814337697280 run.py:722] (val) algo bubble_sort step 4900: {'pred': 0.892578125, 'score': 0.892578125, 'examples_seen': 165824, 'step': 4900, 'algorithm': 'bubble_sort'}
I0716 13:30:07.707307 134814337697280 run.py:722] (val) algo bubble_sort step 4950: {'pred': 0.77734375, 'score': 0.77734375, 'examples_seen': 167520, 'step': 4950, 'algorithm': 'bubble_sort'}
I0716 13:30:11.484947 134814337697280 run.py:722] (val) algo bubble_sort step 5000: {'pred': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 169184, 'step': 5000, 'algorithm': 'bubble_sort'}
I0716 13:30:15.290439 134814337697280 run.py:722] (val) algo bubble_sort step 5050: {'pred': 0.904296875, 'score': 0.904296875, 'examples_seen': 170848, 'step': 5050, 'algorithm': 'bubble_sort'}
I0716 13:30:19.012310 134814337697280 run.py:722] (val) algo bubble_sort step 5100: {'pred': 0.8798828125, 'score': 0.8798828125, 'examples_seen': 172496, 'step': 5100, 'algorithm': 'bubble_sort'}
I0716 13:30:22.805657 134814337697280 run.py:722] (val) algo bubble_sort step 5150: {'pred': 0.9189453125, 'score': 0.9189453125, 'examples_seen': 174192, 'step': 5150, 'algorithm': 'bubble_sort'}
I0716 13:30:26.727478 134814337697280 run.py:722] (val) algo bubble_sort step 5200: {'pred': 0.890625, 'score': 0.890625, 'examples_seen': 175968, 'step': 5200, 'algorithm': 'bubble_sort'}
I0716 13:30:30.551783 134814337697280 run.py:722] (val) algo bubble_sort step 5250: {'pred': 0.8798828125, 'score': 0.8798828125, 'examples_seen': 177696, 'step': 5250, 'algorithm': 'bubble_sort'}
I0716 13:30:34.355807 134814337697280 run.py:722] (val) algo bubble_sort step 5300: {'pred': 0.859375, 'score': 0.859375, 'examples_seen': 179376, 'step': 5300, 'algorithm': 'bubble_sort'}
I0716 13:30:38.081336 134814337697280 run.py:722] (val) algo bubble_sort step 5350: {'pred': 0.8310546875, 'score': 0.8310546875, 'examples_seen': 181040, 'step': 5350, 'algorithm': 'bubble_sort'}
I0716 13:30:41.869311 134814337697280 run.py:722] (val) algo bubble_sort step 5400: {'pred': 0.921875, 'score': 0.921875, 'examples_seen': 182704, 'step': 5400, 'algorithm': 'bubble_sort'}
I0716 13:30:45.632642 134814337697280 run.py:722] (val) algo bubble_sort step 5450: {'pred': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 184352, 'step': 5450, 'algorithm': 'bubble_sort'}
I0716 13:30:49.405092 134814337697280 run.py:722] (val) algo bubble_sort step 5500: {'pred': 0.91796875, 'score': 0.91796875, 'examples_seen': 186016, 'step': 5500, 'algorithm': 'bubble_sort'}
I0716 13:30:53.288904 134814337697280 run.py:722] (val) algo bubble_sort step 5550: {'pred': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 187776, 'step': 5550, 'algorithm': 'bubble_sort'}
I0716 13:30:57.200471 134814337697280 run.py:722] (val) algo bubble_sort step 5600: {'pred': 0.9052734375, 'score': 0.9052734375, 'examples_seen': 189520, 'step': 5600, 'algorithm': 'bubble_sort'}
I0716 13:31:01.010340 134814337697280 run.py:722] (val) algo bubble_sort step 5650: {'pred': 0.85546875, 'score': 0.85546875, 'examples_seen': 191184, 'step': 5650, 'algorithm': 'bubble_sort'}
I0716 13:31:04.794283 134814337697280 run.py:722] (val) algo bubble_sort step 5700: {'pred': 0.8984375, 'score': 0.8984375, 'examples_seen': 192864, 'step': 5700, 'algorithm': 'bubble_sort'}
I0716 13:31:08.635050 134814337697280 run.py:722] (val) algo bubble_sort step 5750: {'pred': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 194544, 'step': 5750, 'algorithm': 'bubble_sort'}
I0716 13:31:12.458171 134814337697280 run.py:722] (val) algo bubble_sort step 5800: {'pred': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 196208, 'step': 5800, 'algorithm': 'bubble_sort'}
I0716 13:31:16.212455 134814337697280 run.py:722] (val) algo bubble_sort step 5850: {'pred': 0.888671875, 'score': 0.888671875, 'examples_seen': 197856, 'step': 5850, 'algorithm': 'bubble_sort'}
I0716 13:31:20.128417 134814337697280 run.py:722] (val) algo bubble_sort step 5900: {'pred': 0.8798828125, 'score': 0.8798828125, 'examples_seen': 199632, 'step': 5900, 'algorithm': 'bubble_sort'}
I0716 13:31:23.908986 134814337697280 run.py:722] (val) algo bubble_sort step 5950: {'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 201360, 'step': 5950, 'algorithm': 'bubble_sort'}
I0716 13:31:27.728800 134814337697280 run.py:722] (val) algo bubble_sort step 6000: {'pred': 0.8935546875, 'score': 0.8935546875, 'examples_seen': 203056, 'step': 6000, 'algorithm': 'bubble_sort'}
I0716 13:31:31.508228 134814337697280 run.py:722] (val) algo bubble_sort step 6050: {'pred': 0.8798828125, 'score': 0.8798828125, 'examples_seen': 204720, 'step': 6050, 'algorithm': 'bubble_sort'}
I0716 13:31:35.217004 134814337697280 run.py:722] (val) algo bubble_sort step 6100: {'pred': 0.8935546875, 'score': 0.8935546875, 'examples_seen': 206368, 'step': 6100, 'algorithm': 'bubble_sort'}
I0716 13:31:39.007561 134814337697280 run.py:722] (val) algo bubble_sort step 6150: {'pred': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 208064, 'step': 6150, 'algorithm': 'bubble_sort'}
I0716 13:31:42.759403 134814337697280 run.py:722] (val) algo bubble_sort step 6200: {'pred': 0.921875, 'score': 0.921875, 'examples_seen': 209712, 'step': 6200, 'algorithm': 'bubble_sort'}
I0716 13:31:46.626352 134814337697280 run.py:722] (val) algo bubble_sort step 6250: {'pred': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 211504, 'step': 6250, 'algorithm': 'bubble_sort'}
I0716 13:31:50.441580 134814337697280 run.py:722] (val) algo bubble_sort step 6300: {'pred': 0.8408203125, 'score': 0.8408203125, 'examples_seen': 213216, 'step': 6300, 'algorithm': 'bubble_sort'}
