{'pred': 0.759765625, 'score': 0.759765625, 'examples_seen': 312478, 'step': 9000, 'algorithm': 'quicksort'}
{'pred': 0.755859375, 'score': 0.755859375, 'examples_seen': 314309, 'step': 9050, 'algorithm': 'quicksort'}
{'pred': 0.7705078125, 'score': 0.7705078125, 'examples_seen': 316062, 'step': 9100, 'algorithm': 'quicksort'}
{'pred': 0.7421875, 'score': 0.7421875, 'examples_seen': 317790, 'step': 9150, 'algorithm': 'quicksort'}
{'pred': 0.7392578125, 'score': 0.7392578125, 'examples_seen': 319504, 'step': 9200, 'algorithm': 'quicksort'}
{'pred': 0.7841796875, 'score': 0.7841796875, 'examples_seen': 321211, 'step': 9250, 'algorithm': 'quicksort'}
{'pred': 0.7861328125, 'score': 0.7861328125, 'examples_seen': 322938, 'step': 9300, 'algorithm': 'quicksort'}
{'pred': 0.71875, 'score': 0.71875, 'examples_seen': 324628, 'step': 9350, 'algorithm': 'quicksort'}
{'pred': 0.73046875, 'score': 0.73046875, 'examples_seen': 326471, 'step': 9400, 'algorithm': 'quicksort'}
{'pred': 0.681640625, 'score': 0.681640625, 'examples_seen': 328228, 'step': 9450, 'algorithm': 'quicksort'}
{'pred': 0.7265625, 'score': 0.7265625, 'examples_seen': 329947, 'step': 9500, 'algorithm': 'quicksort'}
{'pred': 0.765625, 'score': 0.765625, 'examples_seen': 331665, 'step': 9550, 'algorithm': 'quicksort'}
{'pred': 0.732421875, 'score': 0.732421875, 'examples_seen': 333360, 'step': 9600, 'algorithm': 'quicksort'}
{'pred': 0.7470703125, 'score': 0.7470703125, 'examples_seen': 335069, 'step': 9650, 'algorithm': 'quicksort'}
{'pred': 0.7255859375, 'score': 0.7255859375, 'examples_seen': 336779, 'step': 9700, 'algorithm': 'quicksort'}
{'pred': 0.7392578125, 'score': 0.7392578125, 'examples_seen': 338600, 'step': 9750, 'algorithm': 'quicksort'}
{'pred': 0.76171875, 'score': 0.76171875, 'examples_seen': 340344, 'step': 9800, 'algorithm': 'quicksort'}
{'pred': 0.7705078125, 'score': 0.7705078125, 'examples_seen': 342067, 'step': 9850, 'algorithm': 'quicksort'}
{'pred': 0.76171875, 'score': 0.76171875, 'examples_seen': 343779, 'step': 9900, 'algorithm': 'quicksort'}
{'pred': 0.7919921875, 'score': 0.7919921875, 'examples_seen': 345478, 'step': 9950, 'algorithm': 'quicksort'}
