{'return': 0.890380859375, 'score': 0.890380859375, 'examples_seen': 376682, 'step': 4900, 'algorithm': 'binary_search'}
{'return': 0.920166015625, 'score': 0.920166015625, 'examples_seen': 380524, 'step': 4950, 'algorithm': 'binary_search'}
{'return': 0.923583984375, 'score': 0.923583984375, 'examples_seen': 384359, 'step': 5000, 'algorithm': 'binary_search'}
{'return': 0.838623046875, 'score': 0.838623046875, 'examples_seen': 388186, 'step': 5050, 'algorithm': 'binary_search'}
{'return': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 392003, 'step': 5100, 'algorithm': 'binary_search'}
{'return': 0.8759765625, 'score': 0.8759765625, 'examples_seen': 395831, 'step': 5150, 'algorithm': 'binary_search'}
{'return': 0.895263671875, 'score': 0.895263671875, 'examples_seen': 399719, 'step': 5200, 'algorithm': 'binary_search'}
{'return': 0.8115234375, 'score': 0.8115234375, 'examples_seen': 403606, 'step': 5250, 'algorithm': 'binary_search'}
{'return': 0.912353515625, 'score': 0.912353515625, 'examples_seen': 407447, 'step': 5300, 'algorithm': 'binary_search'}
{'return': 0.919921875, 'score': 0.919921875, 'examples_seen': 411276, 'step': 5350, 'algorithm': 'binary_search'}
{'return': 0.911865234375, 'score': 0.911865234375, 'examples_seen': 415094, 'step': 5400, 'algorithm': 'binary_search'}
{'return': 0.83251953125, 'score': 0.83251953125, 'examples_seen': 418911, 'step': 5450, 'algorithm': 'binary_search'}
{'return': 0.93359375, 'score': 0.93359375, 'examples_seen': 422725, 'step': 5500, 'algorithm': 'binary_search'}
{'return': 0.891357421875, 'score': 0.891357421875, 'examples_seen': 426617, 'step': 5550, 'algorithm': 'binary_search'}
{'return': 0.7744140625, 'score': 0.7744140625, 'examples_seen': 430493, 'step': 5600, 'algorithm': 'binary_search'}
{'return': 0.916748046875, 'score': 0.916748046875, 'examples_seen': 434320, 'step': 5650, 'algorithm': 'binary_search'}
{'return': 0.930419921875, 'score': 0.930419921875, 'examples_seen': 438151, 'step': 5700, 'algorithm': 'binary_search'}
{'return': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 441971, 'step': 5750, 'algorithm': 'binary_search'}
{'return': 0.94775390625, 'score': 0.94775390625, 'examples_seen': 445792, 'step': 5800, 'algorithm': 'binary_search'}
{'return': 0.916259765625, 'score': 0.916259765625, 'examples_seen': 449622, 'step': 5850, 'algorithm': 'binary_search'}
{'return': 0.89208984375, 'score': 0.89208984375, 'examples_seen': 453499, 'step': 5900, 'algorithm': 'binary_search'}
{'return': 0.89697265625, 'score': 0.89697265625, 'examples_seen': 457369, 'step': 5950, 'algorithm': 'binary_search'}
{'return': 0.918212890625, 'score': 0.918212890625, 'examples_seen': 461201, 'step': 6000, 'algorithm': 'binary_search'}
{'return': 0.81591796875, 'score': 0.81591796875, 'examples_seen': 465026, 'step': 6050, 'algorithm': 'binary_search'}
{'return': 0.8525390625, 'score': 0.8525390625, 'examples_seen': 468843, 'step': 6100, 'algorithm': 'binary_search'}
{'return': 0.947998046875, 'score': 0.947998046875, 'examples_seen': 472644, 'step': 6150, 'algorithm': 'binary_search'}
{'return': 0.864501953125, 'score': 0.864501953125, 'examples_seen': 476479, 'step': 6200, 'algorithm': 'binary_search'}
{'return': 0.9091796875, 'score': 0.9091796875, 'examples_seen': 480348, 'step': 6250, 'algorithm': 'binary_search'}
{'return': 0.88232421875, 'score': 0.88232421875, 'examples_seen': 484234, 'step': 6300, 'algorithm': 'binary_search'}
{'return': 0.938720703125, 'score': 0.938720703125, 'examples_seen': 488071, 'step': 6350, 'algorithm': 'binary_search'}
{'return': 0.893310546875, 'score': 0.893310546875, 'examples_seen': 491916, 'step': 6400, 'algorithm': 'binary_search'}
{'return': 0.91455078125, 'score': 0.91455078125, 'examples_seen': 495734, 'step': 6450, 'algorithm': 'binary_search'}
{'return': 0.913330078125, 'score': 0.913330078125, 'examples_seen': 499545, 'step': 6500, 'algorithm': 'binary_search'}
{'return': 0.892333984375, 'score': 0.892333984375, 'examples_seen': 503363, 'step': 6550, 'algorithm': 'binary_search'}
{'return': 0.90380859375, 'score': 0.90380859375, 'examples_seen': 507255, 'step': 6600, 'algorithm': 'binary_search'}
{'return': 0.85546875, 'score': 0.85546875, 'examples_seen': 511130, 'step': 6650, 'algorithm': 'binary_search'}
{'return': 0.93505859375, 'score': 0.93505859375, 'examples_seen': 514969, 'step': 6700, 'algorithm': 'binary_search'}
{'return': 0.87109375, 'score': 0.87109375, 'examples_seen': 518810, 'step': 6750, 'algorithm': 'binary_search'}
{'return': 0.881591796875, 'score': 0.881591796875, 'examples_seen': 522639, 'step': 6800, 'algorithm': 'binary_search'}
{'return': 0.890380859375, 'score': 0.890380859375, 'examples_seen': 526449, 'step': 6850, 'algorithm': 'binary_search'}
{'return': 0.90234375, 'score': 0.90234375, 'examples_seen': 530272, 'step': 6900, 'algorithm': 'binary_search'}
{'return': 0.931884765625, 'score': 0.931884765625, 'examples_seen': 534159, 'step': 6950, 'algorithm': 'binary_search'}
{'return': 0.851806640625, 'score': 0.851806640625, 'examples_seen': 538025, 'step': 7000, 'algorithm': 'binary_search'}
{'return': 0.896240234375, 'score': 0.896240234375, 'examples_seen': 541866, 'step': 7050, 'algorithm': 'binary_search'}
{'return': 0.91650390625, 'score': 0.91650390625, 'examples_seen': 545706, 'step': 7100, 'algorithm': 'binary_search'}
{'return': 0.918701171875, 'score': 0.918701171875, 'examples_seen': 549512, 'step': 7150, 'algorithm': 'binary_search'}
{'return': 0.90771484375, 'score': 0.90771484375, 'examples_seen': 553331, 'step': 7200, 'algorithm': 'binary_search'}
{'return': 0.906494140625, 'score': 0.906494140625, 'examples_seen': 557148, 'step': 7250, 'algorithm': 'binary_search'}
{'return': 0.867431640625, 'score': 0.867431640625, 'examples_seen': 561032, 'step': 7300, 'algorithm': 'binary_search'}
{'return': 0.90087890625, 'score': 0.90087890625, 'examples_seen': 564894, 'step': 7350, 'algorithm': 'binary_search'}
{'return': 0.8916015625, 'score': 0.8916015625, 'examples_seen': 568722, 'step': 7400, 'algorithm': 'binary_search'}
{'return': 0.853759765625, 'score': 0.853759765625, 'examples_seen': 572558, 'step': 7450, 'algorithm': 'binary_search'}
{'return': 0.88623046875, 'score': 0.88623046875, 'examples_seen': 576384, 'step': 7500, 'algorithm': 'binary_search'}
{'return': 0.882568359375, 'score': 0.882568359375, 'examples_seen': 580185, 'step': 7550, 'algorithm': 'binary_search'}
{'return': 0.8935546875, 'score': 0.8935546875, 'examples_seen': 583995, 'step': 7600, 'algorithm': 'binary_search'}
{'return': 0.892333984375, 'score': 0.892333984375, 'examples_seen': 587866, 'step': 7650, 'algorithm': 'binary_search'}
{'return': 0.83447265625, 'score': 0.83447265625, 'examples_seen': 591746, 'step': 7700, 'algorithm': 'binary_search'}
{'return': 0.9443359375, 'score': 0.9443359375, 'examples_seen': 595568, 'step': 7750, 'algorithm': 'binary_search'}
{'return': 0.926025390625, 'score': 0.926025390625, 'examples_seen': 599418, 'step': 7800, 'algorithm': 'binary_search'}
{'return': 0.902099609375, 'score': 0.902099609375, 'examples_seen': 603243, 'step': 7850, 'algorithm': 'binary_search'}
{'return': 0.9140625, 'score': 0.9140625, 'examples_seen': 607043, 'step': 7900, 'algorithm': 'binary_search'}
{'return': 0.900146484375, 'score': 0.900146484375, 'examples_seen': 610867, 'step': 7950, 'algorithm': 'binary_search'}
{'return': 0.9208984375, 'score': 0.9208984375, 'examples_seen': 614754, 'step': 8000, 'algorithm': 'binary_search'}
{'return': 0.920166015625, 'score': 0.920166015625, 'examples_seen': 618627, 'step': 8050, 'algorithm': 'binary_search'}
{'return': 0.90234375, 'score': 0.90234375, 'examples_seen': 622460, 'step': 8100, 'algorithm': 'binary_search'}
{'return': 0.861572265625, 'score': 0.861572265625, 'examples_seen': 626309, 'step': 8150, 'algorithm': 'binary_search'}
{'return': 0.947265625, 'score': 0.947265625, 'examples_seen': 630124, 'step': 8200, 'algorithm': 'binary_search'}
{'return': 0.939208984375, 'score': 0.939208984375, 'examples_seen': 633931, 'step': 8250, 'algorithm': 'binary_search'}
{'return': 0.927734375, 'score': 0.927734375, 'examples_seen': 637770, 'step': 8300, 'algorithm': 'binary_search'}
