I0716 19:49:52.027209 132276257179136 run.py:722] (val) algo dfs step 3400: {'pi': 0.5078125, 'score': 0.5078125, 'examples_seen': 58272, 'step': 3400, 'algorithm': 'dfs'}
I0716 19:49:53.496052 132276257179136 run.py:722] (val) algo dfs step 3450: {'pi': 0.5068359375, 'score': 0.5068359375, 'examples_seen': 59152, 'step': 3450, 'algorithm': 'dfs'}
I0716 19:49:54.912026 132276257179136 run.py:722] (val) algo dfs step 3500: {'pi': 0.4326171875, 'score': 0.4326171875, 'examples_seen': 60016, 'step': 3500, 'algorithm': 'dfs'}
I0716 19:49:56.393004 132276257179136 run.py:722] (val) algo dfs step 3550: {'pi': 0.4755859375, 'score': 0.4755859375, 'examples_seen': 60880, 'step': 3550, 'algorithm': 'dfs'}
I0716 19:49:57.856478 132276257179136 run.py:722] (val) algo dfs step 3600: {'pi': 0.5419921875, 'score': 0.5419921875, 'examples_seen': 61744, 'step': 3600, 'algorithm': 'dfs'}
I0716 19:49:59.354315 132276257179136 run.py:722] (val) algo dfs step 3650: {'pi': 0.5205078125, 'score': 0.5205078125, 'examples_seen': 62576, 'step': 3650, 'algorithm': 'dfs'}
I0716 19:50:00.847433 132276257179136 run.py:722] (val) algo dfs step 3700: {'pi': 0.51953125, 'score': 0.51953125, 'examples_seen': 63424, 'step': 3700, 'algorithm': 'dfs'}
I0716 19:50:02.328135 132276257179136 run.py:722] (val) algo dfs step 3750: {'pi': 0.5244140625, 'score': 0.5244140625, 'examples_seen': 64288, 'step': 3750, 'algorithm': 'dfs'}
I0716 19:50:03.773370 132276257179136 run.py:722] (val) algo dfs step 3800: {'pi': 0.5712890625, 'score': 0.5712890625, 'examples_seen': 65168, 'step': 3800, 'algorithm': 'dfs'}
I0716 19:50:05.236233 132276257179136 run.py:722] (val) algo dfs step 3850: {'pi': 0.5634765625, 'score': 0.5634765625, 'examples_seen': 66032, 'step': 3850, 'algorithm': 'dfs'}
I0716 19:50:06.672374 132276257179136 run.py:722] (val) algo dfs step 3900: {'pi': 0.5205078125, 'score': 0.5205078125, 'examples_seen': 66880, 'step': 3900, 'algorithm': 'dfs'}
I0716 19:50:08.115902 132276257179136 run.py:722] (val) algo dfs step 3950: {'pi': 0.4287109375, 'score': 0.4287109375, 'examples_seen': 67728, 'step': 3950, 'algorithm': 'dfs'}
I0716 19:50:09.590283 132276257179136 run.py:722] (val) algo dfs step 4000: {'pi': 0.5322265625, 'score': 0.5322265625, 'examples_seen': 68576, 'step': 4000, 'algorithm': 'dfs'}
I0716 19:50:11.053898 132276257179136 run.py:722] (val) algo dfs step 4050: {'pi': 0.4697265625, 'score': 0.4697265625, 'examples_seen': 69424, 'step': 4050, 'algorithm': 'dfs'}
I0716 19:50:12.560452 132276257179136 run.py:722] (val) algo dfs step 4100: {'pi': 0.5009765625, 'score': 0.5009765625, 'examples_seen': 70272, 'step': 4100, 'algorithm': 'dfs'}
I0716 19:50:14.005325 132276257179136 run.py:722] (val) algo dfs step 4150: {'pi': 0.50390625, 'score': 0.50390625, 'examples_seen': 71168, 'step': 4150, 'algorithm': 'dfs'}
I0716 19:50:15.503076 132276257179136 run.py:722] (val) algo dfs step 4200: {'pi': 0.470703125, 'score': 0.470703125, 'examples_seen': 72032, 'step': 4200, 'algorithm': 'dfs'}
I0716 19:50:16.948041 132276257179136 run.py:722] (val) algo dfs step 4250: {'pi': 0.4521484375, 'score': 0.4521484375, 'examples_seen': 72880, 'step': 4250, 'algorithm': 'dfs'}
I0716 19:50:18.402765 132276257179136 run.py:722] (val) algo dfs step 4300: {'pi': 0.5576171875, 'score': 0.5576171875, 'examples_seen': 73760, 'step': 4300, 'algorithm': 'dfs'}
I0716 19:50:19.832386 132276257179136 run.py:722] (val) algo dfs step 4350: {'pi': 0.55078125, 'score': 0.55078125, 'examples_seen': 74592, 'step': 4350, 'algorithm': 'dfs'}
I0716 19:50:21.244268 132276257179136 run.py:722] (val) algo dfs step 4400: {'pi': 0.4658203125, 'score': 0.4658203125, 'examples_seen': 75456, 'step': 4400, 'algorithm': 'dfs'}
I0716 19:50:22.736792 132276257179136 run.py:722] (val) algo dfs step 4450: {'pi': 0.4267578125, 'score': 0.4267578125, 'examples_seen': 76272, 'step': 4450, 'algorithm': 'dfs'}
I0716 19:50:24.210632 132276257179136 run.py:722] (val) algo dfs step 4500: {'pi': 0.5859375, 'score': 0.5859375, 'examples_seen': 77152, 'step': 4500, 'algorithm': 'dfs'}
I0716 19:50:25.711111 132276257179136 run.py:722] (val) algo dfs step 4550: {'pi': 0.4443359375, 'score': 0.4443359375, 'examples_seen': 78048, 'step': 4550, 'algorithm': 'dfs'}
I0716 19:50:27.132491 132276257179136 run.py:722] (val) algo dfs step 4600: {'pi': 0.55078125, 'score': 0.55078125, 'examples_seen': 78880, 'step': 4600, 'algorithm': 'dfs'}
I0716 19:50:28.616397 132276257179136 run.py:722] (val) algo dfs step 4650: {'pi': 0.427734375, 'score': 0.427734375, 'examples_seen': 79744, 'step': 4650, 'algorithm': 'dfs'}
I0716 19:50:30.029294 132276257179136 run.py:722] (val) algo dfs step 4700: {'pi': 0.533203125, 'score': 0.533203125, 'examples_seen': 80576, 'step': 4700, 'algorithm': 'dfs'}
I0716 19:50:31.519986 132276257179136 run.py:722] (val) algo dfs step 4750: {'pi': 0.5390625, 'score': 0.5390625, 'examples_seen': 81424, 'step': 4750, 'algorithm': 'dfs'}
I0716 19:50:33.019765 132276257179136 run.py:722] (val) algo dfs step 4800: {'pi': 0.482421875, 'score': 0.482421875, 'examples_seen': 82288, 'step': 4800, 'algorithm': 'dfs'}
I0716 19:50:34.494615 132276257179136 run.py:722] (val) algo dfs step 4850: {'pi': 0.6015625, 'score': 0.6015625, 'examples_seen': 83152, 'step': 4850, 'algorithm': 'dfs'}
I0716 19:50:35.997081 132276257179136 run.py:722] (val) algo dfs step 4900: {'pi': 0.4375, 'score': 0.4375, 'examples_seen': 84032, 'step': 4900, 'algorithm': 'dfs'}
I0716 19:50:37.422938 132276257179136 run.py:722] (val) algo dfs step 4950: {'pi': 0.501953125, 'score': 0.501953125, 'examples_seen': 84896, 'step': 4950, 'algorithm': 'dfs'}
I0716 19:50:38.862615 132276257179136 run.py:722] (val) algo dfs step 5000: {'pi': 0.5966796875, 'score': 0.5966796875, 'examples_seen': 85728, 'step': 5000, 'algorithm': 'dfs'}
I0716 19:50:40.292689 132276257179136 run.py:722] (val) algo dfs step 5050: {'pi': 0.576171875, 'score': 0.576171875, 'examples_seen': 86592, 'step': 5050, 'algorithm': 'dfs'}
I0716 19:50:41.819180 132276257179136 run.py:722] (val) algo dfs step 5100: {'pi': 0.47265625, 'score': 0.47265625, 'examples_seen': 87424, 'step': 5100, 'algorithm': 'dfs'}
I0716 19:50:43.301925 132276257179136 run.py:722] (val) algo dfs step 5150: {'pi': 0.470703125, 'score': 0.470703125, 'examples_seen': 88288, 'step': 5150, 'algorithm': 'dfs'}
I0716 19:50:44.797432 132276257179136 run.py:722] (val) algo dfs step 5200: {'pi': 0.544921875, 'score': 0.544921875, 'examples_seen': 89152, 'step': 5200, 'algorithm': 'dfs'}
I0716 19:50:46.250813 132276257179136 run.py:722] (val) algo dfs step 5250: {'pi': 0.4873046875, 'score': 0.4873046875, 'examples_seen': 90048, 'step': 5250, 'algorithm': 'dfs'}
