I0716 19:59:12.175058 140603330549248 run.py:722] (val) algo dijkstra step 4200: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 237122, 'step': 4200, 'algorithm': 'dijkstra'}
I0716 19:59:14.098632 140603330549248 run.py:722] (val) algo dijkstra step 4250: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 239968, 'step': 4250, 'algorithm': 'dijkstra'}
I0716 19:59:16.068493 140603330549248 run.py:722] (val) algo dijkstra step 4300: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 242782, 'step': 4300, 'algorithm': 'dijkstra'}
I0716 19:59:17.996355 140603330549248 run.py:722] (val) algo dijkstra step 4350: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 245570, 'step': 4350, 'algorithm': 'dijkstra'}
I0716 19:59:20.024657 140603330549248 run.py:722] (val) algo dijkstra step 4400: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 248310, 'step': 4400, 'algorithm': 'dijkstra'}
I0716 19:59:21.983725 140603330549248 run.py:722] (val) algo dijkstra step 4450: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 251100, 'step': 4450, 'algorithm': 'dijkstra'}
I0716 19:59:23.970078 140603330549248 run.py:722] (val) algo dijkstra step 4500: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 253989, 'step': 4500, 'algorithm': 'dijkstra'}
I0716 19:59:25.882107 140603330549248 run.py:722] (val) algo dijkstra step 4550: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 256862, 'step': 4550, 'algorithm': 'dijkstra'}
I0716 19:59:27.751246 140603330549248 run.py:722] (val) algo dijkstra step 4600: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 259677, 'step': 4600, 'algorithm': 'dijkstra'}
I0716 19:59:29.697201 140603330549248 run.py:722] (val) algo dijkstra step 4650: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 262486, 'step': 4650, 'algorithm': 'dijkstra'}
I0716 19:59:31.627651 140603330549248 run.py:722] (val) algo dijkstra step 4700: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 265300, 'step': 4700, 'algorithm': 'dijkstra'}
