I0716 21:54:34.599732 130696166696448 run.py:722] (val) algo minimum step 5800: {'min': 0.974853515625, 'score': 0.974853515625, 'examples_seen': 298352, 'step': 5800, 'algorithm': 'minimum'}
I0716 21:54:36.291068 130696166696448 run.py:722] (val) algo minimum step 5850: {'min': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 300896, 'step': 5850, 'algorithm': 'minimum'}
I0716 21:54:38.004406 130696166696448 run.py:722] (val) algo minimum step 5900: {'min': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 303520, 'step': 5900, 'algorithm': 'minimum'}
I0716 21:54:39.707221 130696166696448 run.py:722] (val) algo minimum step 5950: {'min': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 306144, 'step': 5950, 'algorithm': 'minimum'}
I0716 21:54:41.400796 130696166696448 run.py:722] (val) algo minimum step 6000: {'min': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 308720, 'step': 6000, 'algorithm': 'minimum'}
I0716 21:54:43.108632 130696166696448 run.py:722] (val) algo minimum step 6050: {'min': 0.95654296875, 'score': 0.95654296875, 'examples_seen': 311264, 'step': 6050, 'algorithm': 'minimum'}
I0716 21:54:44.801672 130696166696448 run.py:722] (val) algo minimum step 6100: {'min': 0.95703125, 'score': 0.95703125, 'examples_seen': 313808, 'step': 6100, 'algorithm': 'minimum'}
I0716 21:54:46.528443 130696166696448 run.py:722] (val) algo minimum step 6150: {'min': 0.962158203125, 'score': 0.962158203125, 'examples_seen': 316368, 'step': 6150, 'algorithm': 'minimum'}
I0716 21:54:48.225534 130696166696448 run.py:722] (val) algo minimum step 6200: {'min': 0.98779296875, 'score': 0.98779296875, 'examples_seen': 318880, 'step': 6200, 'algorithm': 'minimum'}
I0716 21:54:49.933236 130696166696448 run.py:722] (val) algo minimum step 6250: {'min': 0.96875, 'score': 0.96875, 'examples_seen': 321536, 'step': 6250, 'algorithm': 'minimum'}
I0716 21:54:51.624564 130696166696448 run.py:722] (val) algo minimum step 6300: {'min': 0.982177734375, 'score': 0.982177734375, 'examples_seen': 324128, 'step': 6300, 'algorithm': 'minimum'}
I0716 21:54:53.321365 130696166696448 run.py:722] (val) algo minimum step 6350: {'min': 0.962646484375, 'score': 0.962646484375, 'examples_seen': 326704, 'step': 6350, 'algorithm': 'minimum'}
I0716 21:54:55.010153 130696166696448 run.py:722] (val) algo minimum step 6400: {'min': 0.976806640625, 'score': 0.976806640625, 'examples_seen': 329264, 'step': 6400, 'algorithm': 'minimum'}
I0716 21:54:56.698533 130696166696448 run.py:722] (val) algo minimum step 6450: {'min': 0.974609375, 'score': 0.974609375, 'examples_seen': 331792, 'step': 6450, 'algorithm': 'minimum'}
I0716 21:54:58.402740 130696166696448 run.py:722] (val) algo minimum step 6500: {'min': 0.98974609375, 'score': 0.98974609375, 'examples_seen': 334352, 'step': 6500, 'algorithm': 'minimum'}
I0716 21:55:00.119906 130696166696448 run.py:722] (val) algo minimum step 6550: {'min': 0.953857421875, 'score': 0.953857421875, 'examples_seen': 336880, 'step': 6550, 'algorithm': 'minimum'}
