I0716 19:41:14.831656 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5150: {'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 152383, 'step': 5150, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:16.889901 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5200: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 153880, 'step': 5200, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:19.020739 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5250: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 155407, 'step': 5250, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:21.214816 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5300: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 156895, 'step': 5300, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:23.292856 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5350: {'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 158393, 'step': 5350, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:25.371096 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5400: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 159884, 'step': 5400, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:27.610706 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5450: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 161363, 'step': 5450, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:29.672835 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5500: {'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 162788, 'step': 5500, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:31.924010 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5550: {'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 164309, 'step': 5550, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:34.101584 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5600: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 165815, 'step': 5600, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:36.154857 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5650: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 167332, 'step': 5650, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:38.171186 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5700: {'pi': 0.9521484375, 'score': 0.9521484375, 'examples_seen': 168816, 'step': 5700, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:40.249325 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5750: {'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 170296, 'step': 5750, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:42.281219 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5800: {'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 171765, 'step': 5800, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:44.390879 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5850: {'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 173252, 'step': 5850, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:46.520002 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5900: {'pi': 0.9482421875, 'score': 0.9482421875, 'examples_seen': 174721, 'step': 5900, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:48.571257 132227552474624 run.py:722] (val) algo dag_shortest_paths step 5950: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 176176, 'step': 5950, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:50.503550 132227552474624 run.py:722] (val) algo dag_shortest_paths step 6000: {'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 177649, 'step': 6000, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:52.539318 132227552474624 run.py:722] (val) algo dag_shortest_paths step 6050: {'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 179133, 'step': 6050, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:54.706337 132227552474624 run.py:722] (val) algo dag_shortest_paths step 6100: {'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 180622, 'step': 6100, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:56.802124 132227552474624 run.py:722] (val) algo dag_shortest_paths step 6150: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 182076, 'step': 6150, 'algorithm': 'dag_shortest_paths'}
I0716 19:41:58.994978 132227552474624 run.py:722] (val) algo dag_shortest_paths step 6200: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 183579, 'step': 6200, 'algorithm': 'dag_shortest_paths'}
I0716 19:42:01.068028 132227552474624 run.py:722] (val) algo dag_shortest_paths step 6250: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 185114, 'step': 6250, 'algorithm': 'dag_shortest_paths'}
I0716 19:42:03.479450 132227552474624 run.py:722] (val) algo dag_shortest_paths step 6300: {'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 186595, 'step': 6300, 'algorithm': 'dag_shortest_paths'}
I0716 19:42:05.491906 132227552474624 run.py:722] (val) algo dag_shortest_paths step 6350: {'pi': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 188057, 'step': 6350, 'algorithm': 'dag_shortest_paths'}
