I0715 09:02:56.432300 128389015430656 run.py:723] (val) algo dijkstra step 5600: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 316193, 'step': 5600, 'algorithm': 'dijkstra'}
I0715 09:02:58.272220 128389015430656 run.py:723] (val) algo dijkstra step 5650: {'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 319034, 'step': 5650, 'algorithm': 'dijkstra'}
I0715 09:03:00.094391 128389015430656 run.py:723] (val) algo dijkstra step 5700: {'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 321872, 'step': 5700, 'algorithm': 'dijkstra'}
I0715 09:03:02.200845 128389015430656 run.py:723] (val) algo dijkstra step 5750: {'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 324691, 'step': 5750, 'algorithm': 'dijkstra'}
I0715 09:03:04.031167 128389015430656 run.py:723] (val) algo dijkstra step 5800: {'pi': 0.9873046875, 'score': 0.9873046875, 'examples_seen': 327482, 'step': 5800, 'algorithm': 'dijkstra'}
I0715 09:03:05.807082 128389015430656 run.py:723] (val) algo dijkstra step 5850: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 330253, 'step': 5850, 'algorithm': 'dijkstra'}
I0715 09:03:07.674817 128389015430656 run.py:723] (val) algo dijkstra step 5900: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 333147, 'step': 5900, 'algorithm': 'dijkstra'}
I0715 09:03:09.507370 128389015430656 run.py:723] (val) algo dijkstra step 5950: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 336033, 'step': 5950, 'algorithm': 'dijkstra'}
I0715 09:03:11.320093 128389015430656 run.py:723] (val) algo dijkstra step 6000: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 338875, 'step': 6000, 'algorithm': 'dijkstra'}
I0715 09:03:13.123198 128389015430656 run.py:723] (val) algo dijkstra step 6050: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 341736, 'step': 6050, 'algorithm': 'dijkstra'}
I0715 09:03:14.928794 128389015430656 run.py:723] (val) algo dijkstra step 6100: {'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 344519, 'step': 6100, 'algorithm': 'dijkstra'}
I0715 09:03:16.799733 128389015430656 run.py:723] (val) algo dijkstra step 6150: {'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 347320, 'step': 6150, 'algorithm': 'dijkstra'}
I0715 09:03:18.652156 128389015430656 run.py:723] (val) algo dijkstra step 6200: {'pi': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 350082, 'step': 6200, 'algorithm': 'dijkstra'}
