I0715 19:49:05.168519 134837688186368 run.py:723] (val) algo strongly_connected_components step 4450: {'scc_id': 0.5546875, 'score': 0.5546875, 'examples_seen': 12904, 'step': 4450, 'algorithm': 'strongly_connected_components'}
I0715 19:49:07.288649 134837688186368 run.py:723] (val) algo strongly_connected_components step 4500: {'scc_id': 0.619140625, 'score': 0.619140625, 'examples_seen': 13049, 'step': 4500, 'algorithm': 'strongly_connected_components'}
I0715 19:49:09.404150 134837688186368 run.py:723] (val) algo strongly_connected_components step 4550: {'scc_id': 0.587890625, 'score': 0.587890625, 'examples_seen': 13196, 'step': 4550, 'algorithm': 'strongly_connected_components'}
I0715 19:49:11.518996 134837688186368 run.py:723] (val) algo strongly_connected_components step 4600: {'scc_id': 0.578125, 'score': 0.578125, 'examples_seen': 13342, 'step': 4600, 'algorithm': 'strongly_connected_components'}
I0715 19:49:13.628525 134837688186368 run.py:723] (val) algo strongly_connected_components step 4650: {'scc_id': 0.580078125, 'score': 0.580078125, 'examples_seen': 13486, 'step': 4650, 'algorithm': 'strongly_connected_components'}
I0715 19:49:15.740333 134837688186368 run.py:723] (val) algo strongly_connected_components step 4700: {'scc_id': 0.611328125, 'score': 0.611328125, 'examples_seen': 13630, 'step': 4700, 'algorithm': 'strongly_connected_components'}
I0715 19:49:17.858791 134837688186368 run.py:723] (val) algo strongly_connected_components step 4750: {'scc_id': 0.55078125, 'score': 0.55078125, 'examples_seen': 13775, 'step': 4750, 'algorithm': 'strongly_connected_components'}
I0715 19:49:19.969996 134837688186368 run.py:723] (val) algo strongly_connected_components step 4800: {'scc_id': 0.580078125, 'score': 0.580078125, 'examples_seen': 13919, 'step': 4800, 'algorithm': 'strongly_connected_components'}
I0715 19:49:22.087102 134837688186368 run.py:723] (val) algo strongly_connected_components step 4850: {'scc_id': 0.654296875, 'score': 0.654296875, 'examples_seen': 14064, 'step': 4850, 'algorithm': 'strongly_connected_components'}
I0715 19:49:24.202835 134837688186368 run.py:723] (val) algo strongly_connected_components step 4900: {'scc_id': 0.5859375, 'score': 0.5859375, 'examples_seen': 14210, 'step': 4900, 'algorithm': 'strongly_connected_components'}
I0715 19:49:26.321979 134837688186368 run.py:723] (val) algo strongly_connected_components step 4950: {'scc_id': 0.5625, 'score': 0.5625, 'examples_seen': 14354, 'step': 4950, 'algorithm': 'strongly_connected_components'}
I0715 19:49:28.441572 134837688186368 run.py:723] (val) algo strongly_connected_components step 5000: {'scc_id': 0.603515625, 'score': 0.603515625, 'examples_seen': 14499, 'step': 5000, 'algorithm': 'strongly_connected_components'}
I0715 19:49:30.554476 134837688186368 run.py:723] (val) algo strongly_connected_components step 5050: {'scc_id': 0.5546875, 'score': 0.5546875, 'examples_seen': 14645, 'step': 5050, 'algorithm': 'strongly_connected_components'}
I0715 19:49:32.675075 134837688186368 run.py:723] (val) algo strongly_connected_components step 5100: {'scc_id': 0.55078125, 'score': 0.55078125, 'examples_seen': 14791, 'step': 5100, 'algorithm': 'strongly_connected_components'}
I0715 19:49:34.785022 134837688186368 run.py:723] (val) algo strongly_connected_components step 5150: {'scc_id': 0.55859375, 'score': 0.55859375, 'examples_seen': 14939, 'step': 5150, 'algorithm': 'strongly_connected_components'}
