I0715 10:18:08.589993 135459720447488 run.py:723] (val) algo kmp_matcher step 3600: {'match': 0.953857421875, 'score': 0.953857421875, 'examples_seen': 60789, 'step': 3600, 'algorithm': 'kmp_matcher'}
I0715 10:18:12.308298 135459720447488 run.py:723] (val) algo kmp_matcher step 3650: {'match': 0.956298828125, 'score': 0.956298828125, 'examples_seen': 61627, 'step': 3650, 'algorithm': 'kmp_matcher'}
I0715 10:18:16.019351 135459720447488 run.py:723] (val) algo kmp_matcher step 3700: {'match': 0.95751953125, 'score': 0.95751953125, 'examples_seen': 62469, 'step': 3700, 'algorithm': 'kmp_matcher'}
I0715 10:18:19.724821 135459720447488 run.py:723] (val) algo kmp_matcher step 3750: {'match': 0.931884765625, 'score': 0.931884765625, 'examples_seen': 63306, 'step': 3750, 'algorithm': 'kmp_matcher'}
I0715 10:18:23.447265 135459720447488 run.py:723] (val) algo kmp_matcher step 3800: {'match': 0.98388671875, 'score': 0.98388671875, 'examples_seen': 64149, 'step': 3800, 'algorithm': 'kmp_matcher'}
I0715 10:18:27.150443 135459720447488 run.py:723] (val) algo kmp_matcher step 3850: {'match': 0.84521484375, 'score': 0.84521484375, 'examples_seen': 65000, 'step': 3850, 'algorithm': 'kmp_matcher'}
I0715 10:18:30.842686 135459720447488 run.py:723] (val) algo kmp_matcher step 3900: {'match': 0.9267578125, 'score': 0.9267578125, 'examples_seen': 65853, 'step': 3900, 'algorithm': 'kmp_matcher'}
I0715 10:18:34.559871 135459720447488 run.py:723] (val) algo kmp_matcher step 3950: {'match': 0.86767578125, 'score': 0.86767578125, 'examples_seen': 66681, 'step': 3950, 'algorithm': 'kmp_matcher'}
I0715 10:18:38.254518 135459720447488 run.py:723] (val) algo kmp_matcher step 4000: {'match': 0.91943359375, 'score': 0.91943359375, 'examples_seen': 67505, 'step': 4000, 'algorithm': 'kmp_matcher'}
I0715 10:18:42.119571 135459720447488 run.py:723] (val) algo kmp_matcher step 4050: {'match': 0.86865234375, 'score': 0.86865234375, 'examples_seen': 68348, 'step': 4050, 'algorithm': 'kmp_matcher'}
I0715 10:18:45.837650 135459720447488 run.py:723] (val) algo kmp_matcher step 4100: {'match': 0.88916015625, 'score': 0.88916015625, 'examples_seen': 69198, 'step': 4100, 'algorithm': 'kmp_matcher'}
I0715 10:18:49.533399 135459720447488 run.py:723] (val) algo kmp_matcher step 4150: {'match': 0.874755859375, 'score': 0.874755859375, 'examples_seen': 70036, 'step': 4150, 'algorithm': 'kmp_matcher'}
I0715 10:18:53.249377 135459720447488 run.py:723] (val) algo kmp_matcher step 4200: {'match': 0.806640625, 'score': 0.806640625, 'examples_seen': 70881, 'step': 4200, 'algorithm': 'kmp_matcher'}
I0715 10:18:56.974955 135459720447488 run.py:723] (val) algo kmp_matcher step 4250: {'match': 0.811279296875, 'score': 0.811279296875, 'examples_seen': 71723, 'step': 4250, 'algorithm': 'kmp_matcher'}
I0715 10:19:00.679939 135459720447488 run.py:723] (val) algo kmp_matcher step 4300: {'match': 0.906494140625, 'score': 0.906494140625, 'examples_seen': 72559, 'step': 4300, 'algorithm': 'kmp_matcher'}
I0715 10:19:04.402328 135459720447488 run.py:723] (val) algo kmp_matcher step 4350: {'match': 0.764404296875, 'score': 0.764404296875, 'examples_seen': 73393, 'step': 4350, 'algorithm': 'kmp_matcher'}
I0715 10:19:08.101094 135459720447488 run.py:723] (val) algo kmp_matcher step 4400: {'match': 0.928955078125, 'score': 0.928955078125, 'examples_seen': 74241, 'step': 4400, 'algorithm': 'kmp_matcher'}
I0715 10:19:11.815425 135459720447488 run.py:723] (val) algo kmp_matcher step 4450: {'match': 0.94873046875, 'score': 0.94873046875, 'examples_seen': 75087, 'step': 4450, 'algorithm': 'kmp_matcher'}
I0715 10:19:15.530627 135459720447488 run.py:723] (val) algo kmp_matcher step 4500: {'match': 0.86962890625, 'score': 0.86962890625, 'examples_seen': 75932, 'step': 4500, 'algorithm': 'kmp_matcher'}
I0715 10:19:19.240227 135459720447488 run.py:723] (val) algo kmp_matcher step 4550: {'match': 0.932861328125, 'score': 0.932861328125, 'examples_seen': 76785, 'step': 4550, 'algorithm': 'kmp_matcher'}
I0715 10:19:22.952247 135459720447488 run.py:723] (val) algo kmp_matcher step 4600: {'match': 0.9287109375, 'score': 0.9287109375, 'examples_seen': 77637, 'step': 4600, 'algorithm': 'kmp_matcher'}
I0715 10:19:26.676755 135459720447488 run.py:723] (val) algo kmp_matcher step 4650: {'match': 0.94775390625, 'score': 0.94775390625, 'examples_seen': 78473, 'step': 4650, 'algorithm': 'kmp_matcher'}
I0715 10:19:30.406936 135459720447488 run.py:723] (val) algo kmp_matcher step 4700: {'match': 0.94921875, 'score': 0.94921875, 'examples_seen': 79325, 'step': 4700, 'algorithm': 'kmp_matcher'}
I0715 10:19:34.102092 135459720447488 run.py:723] (val) algo kmp_matcher step 4750: {'match': 0.940673828125, 'score': 0.940673828125, 'examples_seen': 80163, 'step': 4750, 'algorithm': 'kmp_matcher'}
I0715 10:19:37.802881 135459720447488 run.py:723] (val) algo kmp_matcher step 4800: {'match': 0.87744140625, 'score': 0.87744140625, 'examples_seen': 81011, 'step': 4800, 'algorithm': 'kmp_matcher'}
I0715 10:19:41.515622 135459720447488 run.py:723] (val) algo kmp_matcher step 4850: {'match': 0.87109375, 'score': 0.87109375, 'examples_seen': 81862, 'step': 4850, 'algorithm': 'kmp_matcher'}
I0715 10:19:45.221104 135459720447488 run.py:723] (val) algo kmp_matcher step 4900: {'match': 0.89404296875, 'score': 0.89404296875, 'examples_seen': 82704, 'step': 4900, 'algorithm': 'kmp_matcher'}
I0715 10:19:48.937320 135459720447488 run.py:723] (val) algo kmp_matcher step 4950: {'match': 0.93994140625, 'score': 0.93994140625, 'examples_seen': 83547, 'step': 4950, 'algorithm': 'kmp_matcher'}
I0715 10:19:52.646003 135459720447488 run.py:723] (val) algo kmp_matcher step 5000: {'match': 0.908203125, 'score': 0.908203125, 'examples_seen': 84383, 'step': 5000, 'algorithm': 'kmp_matcher'}
I0715 10:19:56.360068 135459720447488 run.py:723] (val) algo kmp_matcher step 5050: {'match': 0.8115234375, 'score': 0.8115234375, 'examples_seen': 85229, 'step': 5050, 'algorithm': 'kmp_matcher'}
I0715 10:20:00.052027 135459720447488 run.py:723] (val) algo kmp_matcher step 5100: {'match': 0.759033203125, 'score': 0.759033203125, 'examples_seen': 86072, 'step': 5100, 'algorithm': 'kmp_matcher'}
I0715 10:20:03.771637 135459720447488 run.py:723] (val) algo kmp_matcher step 5150: {'match': 0.884765625, 'score': 0.884765625, 'examples_seen': 86907, 'step': 5150, 'algorithm': 'kmp_matcher'}
I0715 10:20:07.486220 135459720447488 run.py:723] (val) algo kmp_matcher step 5200: {'match': 0.80517578125, 'score': 0.80517578125, 'examples_seen': 87761, 'step': 5200, 'algorithm': 'kmp_matcher'}
I0715 10:20:11.194821 135459720447488 run.py:723] (val) algo kmp_matcher step 5250: {'match': 0.917236328125, 'score': 0.917236328125, 'examples_seen': 88606, 'step': 5250, 'algorithm': 'kmp_matcher'}
I0715 10:20:14.903169 135459720447488 run.py:723] (val) algo kmp_matcher step 5300: {'match': 0.91455078125, 'score': 0.91455078125, 'examples_seen': 89449, 'step': 5300, 'algorithm': 'kmp_matcher'}
I0715 10:20:18.599655 135459720447488 run.py:723] (val) algo kmp_matcher step 5350: {'match': 0.885498046875, 'score': 0.885498046875, 'examples_seen': 90305, 'step': 5350, 'algorithm': 'kmp_matcher'}
I0715 10:20:22.330345 135459720447488 run.py:723] (val) algo kmp_matcher step 5400: {'match': 0.8447265625, 'score': 0.8447265625, 'examples_seen': 91146, 'step': 5400, 'algorithm': 'kmp_matcher'}
I0715 10:20:26.042466 135459720447488 run.py:723] (val) algo kmp_matcher step 5450: {'match': 0.858642578125, 'score': 0.858642578125, 'examples_seen': 91994, 'step': 5450, 'algorithm': 'kmp_matcher'}
I0715 10:20:29.773513 135459720447488 run.py:723] (val) algo kmp_matcher step 5500: {'match': 0.87548828125, 'score': 0.87548828125, 'examples_seen': 92844, 'step': 5500, 'algorithm': 'kmp_matcher'}
I0715 10:20:33.450345 135459720447488 run.py:723] (val) algo kmp_matcher step 5550: {'match': 0.873291015625, 'score': 0.873291015625, 'examples_seen': 93696, 'step': 5550, 'algorithm': 'kmp_matcher'}
I0715 10:20:37.187609 135459720447488 run.py:723] (val) algo kmp_matcher step 5600: {'match': 0.881591796875, 'score': 0.881591796875, 'examples_seen': 94530, 'step': 5600, 'algorithm': 'kmp_matcher'}
I0715 10:20:40.896406 135459720447488 run.py:723] (val) algo kmp_matcher step 5650: {'match': 0.914306640625, 'score': 0.914306640625, 'examples_seen': 95379, 'step': 5650, 'algorithm': 'kmp_matcher'}
I0715 10:20:44.610897 135459720447488 run.py:723] (val) algo kmp_matcher step 5700: {'match': 0.917236328125, 'score': 0.917236328125, 'examples_seen': 96214, 'step': 5700, 'algorithm': 'kmp_matcher'}
I0715 10:20:48.320211 135459720447488 run.py:723] (val) algo kmp_matcher step 5750: {'match': 0.82861328125, 'score': 0.82861328125, 'examples_seen': 97058, 'step': 5750, 'algorithm': 'kmp_matcher'}
I0715 10:20:52.027862 135459720447488 run.py:723] (val) algo kmp_matcher step 5800: {'match': 0.876708984375, 'score': 0.876708984375, 'examples_seen': 97918, 'step': 5800, 'algorithm': 'kmp_matcher'}
I0715 10:20:55.736098 135459720447488 run.py:723] (val) algo kmp_matcher step 5850: {'match': 0.80859375, 'score': 0.80859375, 'examples_seen': 98776, 'step': 5850, 'algorithm': 'kmp_matcher'}
I0715 10:20:59.432968 135459720447488 run.py:723] (val) algo kmp_matcher step 5900: {'match': 0.920654296875, 'score': 0.920654296875, 'examples_seen': 99617, 'step': 5900, 'algorithm': 'kmp_matcher'}
I0715 10:21:03.163969 135459720447488 run.py:723] (val) algo kmp_matcher step 5950: {'match': 0.9130859375, 'score': 0.9130859375, 'examples_seen': 100462, 'step': 5950, 'algorithm': 'kmp_matcher'}
I0715 10:21:06.877079 135459720447488 run.py:723] (val) algo kmp_matcher step 6000: {'match': 0.831298828125, 'score': 0.831298828125, 'examples_seen': 101316, 'step': 6000, 'algorithm': 'kmp_matcher'}
I0715 10:21:10.567768 135459720447488 run.py:723] (val) algo kmp_matcher step 6050: {'match': 0.86767578125, 'score': 0.86767578125, 'examples_seen': 102158, 'step': 6050, 'algorithm': 'kmp_matcher'}
I0715 10:21:14.274160 135459720447488 run.py:723] (val) algo kmp_matcher step 6100: {'match': 0.757080078125, 'score': 0.757080078125, 'examples_seen': 103004, 'step': 6100, 'algorithm': 'kmp_matcher'}
I0715 10:21:18.001118 135459720447488 run.py:723] (val) algo kmp_matcher step 6150: {'match': 0.850341796875, 'score': 0.850341796875, 'examples_seen': 103852, 'step': 6150, 'algorithm': 'kmp_matcher'}
I0715 10:21:21.703752 135459720447488 run.py:723] (val) algo kmp_matcher step 6200: {'match': 0.817626953125, 'score': 0.817626953125, 'examples_seen': 104697, 'step': 6200, 'algorithm': 'kmp_matcher'}
I0715 10:21:25.401607 135459720447488 run.py:723] (val) algo kmp_matcher step 6250: {'match': 0.883544921875, 'score': 0.883544921875, 'examples_seen': 105544, 'step': 6250, 'algorithm': 'kmp_matcher'}
I0715 10:21:29.128471 135459720447488 run.py:723] (val) algo kmp_matcher step 6300: {'match': 0.867919921875, 'score': 0.867919921875, 'examples_seen': 106382, 'step': 6300, 'algorithm': 'kmp_matcher'}
I0715 10:21:32.833208 135459720447488 run.py:723] (val) algo kmp_matcher step 6350: {'match': 0.840576171875, 'score': 0.840576171875, 'examples_seen': 107237, 'step': 6350, 'algorithm': 'kmp_matcher'}
I0715 10:21:36.554100 135459720447488 run.py:723] (val) algo kmp_matcher step 6400: {'match': 0.930419921875, 'score': 0.930419921875, 'examples_seen': 108076, 'step': 6400, 'algorithm': 'kmp_matcher'}
I0715 10:21:40.259091 135459720447488 run.py:723] (val) algo kmp_matcher step 6450: {'match': 0.936279296875, 'score': 0.936279296875, 'examples_seen': 108929, 'step': 6450, 'algorithm': 'kmp_matcher'}
I0715 10:21:43.988811 135459720447488 run.py:723] (val) algo kmp_matcher step 6500: {'match': 0.919921875, 'score': 0.919921875, 'examples_seen': 109776, 'step': 6500, 'algorithm': 'kmp_matcher'}
I0715 10:21:47.689825 135459720447488 run.py:723] (val) algo kmp_matcher step 6550: {'match': 0.81982421875, 'score': 0.81982421875, 'examples_seen': 110609, 'step': 6550, 'algorithm': 'kmp_matcher'}
I0715 10:21:51.393148 135459720447488 run.py:723] (val) algo kmp_matcher step 6600: {'match': 0.898681640625, 'score': 0.898681640625, 'examples_seen': 111445, 'step': 6600, 'algorithm': 'kmp_matcher'}
I0715 10:21:55.134185 135459720447488 run.py:723] (val) algo kmp_matcher step 6650: {'match': 0.76171875, 'score': 0.76171875, 'examples_seen': 112294, 'step': 6650, 'algorithm': 'kmp_matcher'}
