I0715 12:53:39.285578 137617489782272 run.py:723] (val) algo task_scheduling step 4700: {'selected': 0.9362017804154302, 'score': 0.9362017804154302, 'examples_seen': 187168, 'step': 4700, 'algorithm': 'task_scheduling'}
I0715 12:53:40.307683 137617489782272 run.py:723] (val) algo task_scheduling step 4750: {'selected': 0.9393718042366691, 'score': 0.9393718042366691, 'examples_seen': 189136, 'step': 4750, 'algorithm': 'task_scheduling'}
I0715 12:53:41.329542 137617489782272 run.py:723] (val) algo task_scheduling step 4800: {'selected': 0.9570370370370369, 'score': 0.9570370370370369, 'examples_seen': 191120, 'step': 4800, 'algorithm': 'task_scheduling'}
I0715 12:53:42.376919 137617489782272 run.py:723] (val) algo task_scheduling step 4850: {'selected': 0.9472049689440993, 'score': 0.9472049689440993, 'examples_seen': 193136, 'step': 4850, 'algorithm': 'task_scheduling'}
I0715 12:53:43.393153 137617489782272 run.py:723] (val) algo task_scheduling step 4900: {'selected': 0.9078125, 'score': 0.9078125, 'examples_seen': 195152, 'step': 4900, 'algorithm': 'task_scheduling'}
I0715 12:53:44.415599 137617489782272 run.py:723] (val) algo task_scheduling step 4950: {'selected': 0.9344773790951639, 'score': 0.9344773790951639, 'examples_seen': 197152, 'step': 4950, 'algorithm': 'task_scheduling'}
I0715 12:53:45.433970 137617489782272 run.py:723] (val) algo task_scheduling step 5000: {'selected': 0.9445324881141046, 'score': 0.9445324881141046, 'examples_seen': 199120, 'step': 5000, 'algorithm': 'task_scheduling'}
I0715 12:53:46.451551 137617489782272 run.py:723] (val) algo task_scheduling step 5050: {'selected': 0.9618548990276738, 'score': 0.9618548990276738, 'examples_seen': 201120, 'step': 5050, 'algorithm': 'task_scheduling'}
I0715 12:53:47.470117 137617489782272 run.py:723] (val) algo task_scheduling step 5100: {'selected': 0.952023988005997, 'score': 0.952023988005997, 'examples_seen': 203072, 'step': 5100, 'algorithm': 'task_scheduling'}
I0715 12:53:48.474691 137617489782272 run.py:723] (val) algo task_scheduling step 5150: {'selected': 0.9563218390804598, 'score': 0.9563218390804598, 'examples_seen': 205024, 'step': 5150, 'algorithm': 'task_scheduling'}
I0715 12:53:49.495223 137617489782272 run.py:723] (val) algo task_scheduling step 5200: {'selected': 0.9450704225352113, 'score': 0.9450704225352113, 'examples_seen': 207088, 'step': 5200, 'algorithm': 'task_scheduling'}
I0715 12:53:50.508019 137617489782272 run.py:723] (val) algo task_scheduling step 5250: {'selected': 0.9588414634146342, 'score': 0.9588414634146342, 'examples_seen': 209072, 'step': 5250, 'algorithm': 'task_scheduling'}
I0715 12:53:51.533350 137617489782272 run.py:723] (val) algo task_scheduling step 5300: {'selected': 0.9540889526542325, 'score': 0.9540889526542325, 'examples_seen': 211088, 'step': 5300, 'algorithm': 'task_scheduling'}
