{'pred': 0.861328125, 'score': 0.861328125, 'examples_seen': 275983, 'step': 7950, 'algorithm': 'quicksort'}
{'pred': 0.84765625, 'score': 0.84765625, 'examples_seen': 277816, 'step': 8000, 'algorithm': 'quicksort'}
{'pred': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 279569, 'step': 8050, 'algorithm': 'quicksort'}
{'pred': 0.8388671875, 'score': 0.8388671875, 'examples_seen': 281300, 'step': 8100, 'algorithm': 'quicksort'}
{'pred': 0.8330078125, 'score': 0.8330078125, 'examples_seen': 283022, 'step': 8150, 'algorithm': 'quicksort'}
{'pred': 0.8994140625, 'score': 0.8994140625, 'examples_seen': 284735, 'step': 8200, 'algorithm': 'quicksort'}
{'pred': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 286446, 'step': 8250, 'algorithm': 'quicksort'}
{'pred': 0.8408203125, 'score': 0.8408203125, 'examples_seen': 288158, 'step': 8300, 'algorithm': 'quicksort'}
{'pred': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 289996, 'step': 8350, 'algorithm': 'quicksort'}
{'pred': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 291753, 'step': 8400, 'algorithm': 'quicksort'}
{'pred': 0.8046875, 'score': 0.8046875, 'examples_seen': 293473, 'step': 8450, 'algorithm': 'quicksort'}
{'pred': 0.845703125, 'score': 0.845703125, 'examples_seen': 295184, 'step': 8500, 'algorithm': 'quicksort'}
{'pred': 0.85546875, 'score': 0.85546875, 'examples_seen': 296902, 'step': 8550, 'algorithm': 'quicksort'}
{'pred': 0.8203125, 'score': 0.8203125, 'examples_seen': 298609, 'step': 8600, 'algorithm': 'quicksort'}
{'pred': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 300315, 'step': 8650, 'algorithm': 'quicksort'}
{'pred': 0.8486328125, 'score': 0.8486328125, 'examples_seen': 302146, 'step': 8700, 'algorithm': 'quicksort'}
{'pred': 0.8896484375, 'score': 0.8896484375, 'examples_seen': 303912, 'step': 8750, 'algorithm': 'quicksort'}
{'pred': 0.8701171875, 'score': 0.8701171875, 'examples_seen': 305633, 'step': 8800, 'algorithm': 'quicksort'}
{'pred': 0.837890625, 'score': 0.837890625, 'examples_seen': 307359, 'step': 8850, 'algorithm': 'quicksort'}
{'pred': 0.841796875, 'score': 0.841796875, 'examples_seen': 309070, 'step': 8900, 'algorithm': 'quicksort'}
{'pred': 0.8720703125, 'score': 0.8720703125, 'examples_seen': 310770, 'step': 8950, 'algorithm': 'quicksort'}
{'pred': 0.88671875, 'score': 0.88671875, 'examples_seen': 312478, 'step': 9000, 'algorithm': 'quicksort'}
{'pred': 0.884765625, 'score': 0.884765625, 'examples_seen': 314309, 'step': 9050, 'algorithm': 'quicksort'}
{'pred': 0.8564453125, 'score': 0.8564453125, 'examples_seen': 316062, 'step': 9100, 'algorithm': 'quicksort'}
{'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 317790, 'step': 9150, 'algorithm': 'quicksort'}
{'pred': 0.85546875, 'score': 0.85546875, 'examples_seen': 319504, 'step': 9200, 'algorithm': 'quicksort'}
{'pred': 0.861328125, 'score': 0.861328125, 'examples_seen': 321211, 'step': 9250, 'algorithm': 'quicksort'}
{'pred': 0.8447265625, 'score': 0.8447265625, 'examples_seen': 322938, 'step': 9300, 'algorithm': 'quicksort'}
{'pred': 0.8154296875, 'score': 0.8154296875, 'examples_seen': 324628, 'step': 9350, 'algorithm': 'quicksort'}
{'pred': 0.85546875, 'score': 0.85546875, 'examples_seen': 326471, 'step': 9400, 'algorithm': 'quicksort'}
{'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 328228, 'step': 9450, 'algorithm': 'quicksort'}
{'pred': 0.841796875, 'score': 0.841796875, 'examples_seen': 329947, 'step': 9500, 'algorithm': 'quicksort'}
{'pred': 0.8974609375, 'score': 0.8974609375, 'examples_seen': 331665, 'step': 9550, 'algorithm': 'quicksort'}
{'pred': 0.8642578125, 'score': 0.8642578125, 'examples_seen': 333360, 'step': 9600, 'algorithm': 'quicksort'}
{'pred': 0.830078125, 'score': 0.830078125, 'examples_seen': 335069, 'step': 9650, 'algorithm': 'quicksort'}
{'pred': 0.845703125, 'score': 0.845703125, 'examples_seen': 336779, 'step': 9700, 'algorithm': 'quicksort'}
{'pred': 0.8798828125, 'score': 0.8798828125, 'examples_seen': 338600, 'step': 9750, 'algorithm': 'quicksort'}
{'pred': 0.8583984375, 'score': 0.8583984375, 'examples_seen': 340344, 'step': 9800, 'algorithm': 'quicksort'}
{'pred': 0.859375, 'score': 0.859375, 'examples_seen': 342067, 'step': 9850, 'algorithm': 'quicksort'}
{'pred': 0.818359375, 'score': 0.818359375, 'examples_seen': 343779, 'step': 9900, 'algorithm': 'quicksort'}
{'pred': 0.8828125, 'score': 0.8828125, 'examples_seen': 345478, 'step': 9950, 'algorithm': 'quicksort'}
