I0715 08:53:09.603002 137093019534848 run.py:723] (val) algo dfs step 2850: {'pi': 0.5234375, 'score': 0.5234375, 'examples_seen': 48880, 'step': 2850, 'algorithm': 'dfs'}
I0715 08:53:10.950971 137093019534848 run.py:723] (val) algo dfs step 2900: {'pi': 0.44921875, 'score': 0.44921875, 'examples_seen': 49728, 'step': 2900, 'algorithm': 'dfs'}
I0715 08:53:12.274868 137093019534848 run.py:723] (val) algo dfs step 2950: {'pi': 0.4912109375, 'score': 0.4912109375, 'examples_seen': 50608, 'step': 2950, 'algorithm': 'dfs'}
I0715 08:53:13.600937 137093019534848 run.py:723] (val) algo dfs step 3000: {'pi': 0.51171875, 'score': 0.51171875, 'examples_seen': 51424, 'step': 3000, 'algorithm': 'dfs'}
I0715 08:53:14.978210 137093019534848 run.py:723] (val) algo dfs step 3050: {'pi': 0.4716796875, 'score': 0.4716796875, 'examples_seen': 52256, 'step': 3050, 'algorithm': 'dfs'}
I0715 08:53:16.385611 137093019534848 run.py:723] (val) algo dfs step 3100: {'pi': 0.462890625, 'score': 0.462890625, 'examples_seen': 53168, 'step': 3100, 'algorithm': 'dfs'}
I0715 08:53:17.703626 137093019534848 run.py:723] (val) algo dfs step 3150: {'pi': 0.52734375, 'score': 0.52734375, 'examples_seen': 54032, 'step': 3150, 'algorithm': 'dfs'}
I0715 08:53:19.024405 137093019534848 run.py:723] (val) algo dfs step 3200: {'pi': 0.501953125, 'score': 0.501953125, 'examples_seen': 54880, 'step': 3200, 'algorithm': 'dfs'}
I0715 08:53:20.352204 137093019534848 run.py:723] (val) algo dfs step 3250: {'pi': 0.4755859375, 'score': 0.4755859375, 'examples_seen': 55744, 'step': 3250, 'algorithm': 'dfs'}
I0715 08:53:21.705094 137093019534848 run.py:723] (val) algo dfs step 3300: {'pi': 0.486328125, 'score': 0.486328125, 'examples_seen': 56576, 'step': 3300, 'algorithm': 'dfs'}
