I0715 09:40:01.215761 124715881965056 run.py:723] (val) algo heapsort step 2950: {'pred': 0.6796875, 'score': 0.6796875, 'examples_seen': 45859, 'step': 2950, 'algorithm': 'heapsort'}
I0715 09:40:04.524222 124715881965056 run.py:723] (val) algo heapsort step 3000: {'pred': 0.6484375, 'score': 0.6484375, 'examples_seen': 46614, 'step': 3000, 'algorithm': 'heapsort'}
I0715 09:40:07.745194 124715881965056 run.py:723] (val) algo heapsort step 3050: {'pred': 0.6865234375, 'score': 0.6865234375, 'examples_seen': 47387, 'step': 3050, 'algorithm': 'heapsort'}
I0715 09:40:11.022108 124715881965056 run.py:723] (val) algo heapsort step 3100: {'pred': 0.6796875, 'score': 0.6796875, 'examples_seen': 48195, 'step': 3100, 'algorithm': 'heapsort'}
I0715 09:40:14.247280 124715881965056 run.py:723] (val) algo heapsort step 3150: {'pred': 0.6494140625, 'score': 0.6494140625, 'examples_seen': 48984, 'step': 3150, 'algorithm': 'heapsort'}
I0715 09:40:17.473583 124715881965056 run.py:723] (val) algo heapsort step 3200: {'pred': 0.64453125, 'score': 0.64453125, 'examples_seen': 49757, 'step': 3200, 'algorithm': 'heapsort'}
I0715 09:40:20.721027 124715881965056 run.py:723] (val) algo heapsort step 3250: {'pred': 0.6806640625, 'score': 0.6806640625, 'examples_seen': 50526, 'step': 3250, 'algorithm': 'heapsort'}
I0715 09:40:23.967120 124715881965056 run.py:723] (val) algo heapsort step 3300: {'pred': 0.62890625, 'score': 0.62890625, 'examples_seen': 51295, 'step': 3300, 'algorithm': 'heapsort'}
I0715 09:40:27.202255 124715881965056 run.py:723] (val) algo heapsort step 3350: {'pred': 0.69921875, 'score': 0.69921875, 'examples_seen': 52062, 'step': 3350, 'algorithm': 'heapsort'}
I0715 09:40:30.483398 124715881965056 run.py:723] (val) algo heapsort step 3400: {'pred': 0.64453125, 'score': 0.64453125, 'examples_seen': 52822, 'step': 3400, 'algorithm': 'heapsort'}
I0715 09:40:33.763736 124715881965056 run.py:723] (val) algo heapsort step 3450: {'pred': 0.6669921875, 'score': 0.6669921875, 'examples_seen': 53633, 'step': 3450, 'algorithm': 'heapsort'}
I0715 09:40:37.023111 124715881965056 run.py:723] (val) algo heapsort step 3500: {'pred': 0.685546875, 'score': 0.685546875, 'examples_seen': 54426, 'step': 3500, 'algorithm': 'heapsort'}
I0715 09:40:40.257172 124715881965056 run.py:723] (val) algo heapsort step 3550: {'pred': 0.6611328125, 'score': 0.6611328125, 'examples_seen': 55208, 'step': 3550, 'algorithm': 'heapsort'}
I0715 09:40:43.541340 124715881965056 run.py:723] (val) algo heapsort step 3600: {'pred': 0.6474609375, 'score': 0.6474609375, 'examples_seen': 55975, 'step': 3600, 'algorithm': 'heapsort'}
I0715 09:40:46.814759 124715881965056 run.py:723] (val) algo heapsort step 3650: {'pred': 0.6435546875, 'score': 0.6435546875, 'examples_seen': 56745, 'step': 3650, 'algorithm': 'heapsort'}
I0715 09:40:50.085355 124715881965056 run.py:723] (val) algo heapsort step 3700: {'pred': 0.626953125, 'score': 0.626953125, 'examples_seen': 57521, 'step': 3700, 'algorithm': 'heapsort'}
I0715 09:40:53.652748 124715881965056 run.py:723] (val) algo heapsort step 3750: {'pred': 0.6953125, 'score': 0.6953125, 'examples_seen': 58286, 'step': 3750, 'algorithm': 'heapsort'}
I0715 09:40:56.960096 124715881965056 run.py:723] (val) algo heapsort step 3800: {'pred': 0.708984375, 'score': 0.708984375, 'examples_seen': 59100, 'step': 3800, 'algorithm': 'heapsort'}
I0715 09:41:00.275241 124715881965056 run.py:723] (val) algo heapsort step 3850: {'pred': 0.6357421875, 'score': 0.6357421875, 'examples_seen': 59884, 'step': 3850, 'algorithm': 'heapsort'}
I0715 09:41:03.580822 124715881965056 run.py:723] (val) algo heapsort step 3900: {'pred': 0.681640625, 'score': 0.681640625, 'examples_seen': 60660, 'step': 3900, 'algorithm': 'heapsort'}
I0715 09:41:06.860327 124715881965056 run.py:723] (val) algo heapsort step 3950: {'pred': 0.6591796875, 'score': 0.6591796875, 'examples_seen': 61426, 'step': 3950, 'algorithm': 'heapsort'}
I0715 09:41:10.172718 124715881965056 run.py:723] (val) algo heapsort step 4000: {'pred': 0.73046875, 'score': 0.73046875, 'examples_seen': 62192, 'step': 4000, 'algorithm': 'heapsort'}
I0715 09:41:13.510647 124715881965056 run.py:723] (val) algo heapsort step 4050: {'pred': 0.677734375, 'score': 0.677734375, 'examples_seen': 62969, 'step': 4050, 'algorithm': 'heapsort'}
I0715 09:41:16.829727 124715881965056 run.py:723] (val) algo heapsort step 4100: {'pred': 0.638671875, 'score': 0.638671875, 'examples_seen': 63730, 'step': 4100, 'algorithm': 'heapsort'}
I0715 09:41:20.109255 124715881965056 run.py:723] (val) algo heapsort step 4150: {'pred': 0.6728515625, 'score': 0.6728515625, 'examples_seen': 64533, 'step': 4150, 'algorithm': 'heapsort'}
I0715 09:41:23.368444 124715881965056 run.py:723] (val) algo heapsort step 4200: {'pred': 0.6923828125, 'score': 0.6923828125, 'examples_seen': 65327, 'step': 4200, 'algorithm': 'heapsort'}
I0715 09:41:26.637169 124715881965056 run.py:723] (val) algo heapsort step 4250: {'pred': 0.671875, 'score': 0.671875, 'examples_seen': 66098, 'step': 4250, 'algorithm': 'heapsort'}
I0715 09:41:29.914675 124715881965056 run.py:723] (val) algo heapsort step 4300: {'pred': 0.66796875, 'score': 0.66796875, 'examples_seen': 66876, 'step': 4300, 'algorithm': 'heapsort'}
I0715 09:41:33.171072 124715881965056 run.py:723] (val) algo heapsort step 4350: {'pred': 0.662109375, 'score': 0.662109375, 'examples_seen': 67643, 'step': 4350, 'algorithm': 'heapsort'}
I0715 09:41:36.391309 124715881965056 run.py:723] (val) algo heapsort step 4400: {'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 68404, 'step': 4400, 'algorithm': 'heapsort'}
I0715 09:41:39.598811 124715881965056 run.py:723] (val) algo heapsort step 4450: {'pred': 0.6171875, 'score': 0.6171875, 'examples_seen': 69164, 'step': 4450, 'algorithm': 'heapsort'}
I0715 09:41:42.866941 124715881965056 run.py:723] (val) algo heapsort step 4500: {'pred': 0.6220703125, 'score': 0.6220703125, 'examples_seen': 69977, 'step': 4500, 'algorithm': 'heapsort'}
I0715 09:41:46.141125 124715881965056 run.py:723] (val) algo heapsort step 4550: {'pred': 0.728515625, 'score': 0.728515625, 'examples_seen': 70772, 'step': 4550, 'algorithm': 'heapsort'}
I0715 09:41:49.388217 124715881965056 run.py:723] (val) algo heapsort step 4600: {'pred': 0.5771484375, 'score': 0.5771484375, 'examples_seen': 71550, 'step': 4600, 'algorithm': 'heapsort'}
I0715 09:41:52.638721 124715881965056 run.py:723] (val) algo heapsort step 4650: {'pred': 0.6279296875, 'score': 0.6279296875, 'examples_seen': 72317, 'step': 4650, 'algorithm': 'heapsort'}
I0715 09:41:55.885933 124715881965056 run.py:723] (val) algo heapsort step 4700: {'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 73080, 'step': 4700, 'algorithm': 'heapsort'}
I0715 09:41:59.192551 124715881965056 run.py:723] (val) algo heapsort step 4750: {'pred': 0.75390625, 'score': 0.75390625, 'examples_seen': 73846, 'step': 4750, 'algorithm': 'heapsort'}
I0715 09:42:02.475128 124715881965056 run.py:723] (val) algo heapsort step 4800: {'pred': 0.716796875, 'score': 0.716796875, 'examples_seen': 74610, 'step': 4800, 'algorithm': 'heapsort'}
I0715 09:42:05.801357 124715881965056 run.py:723] (val) algo heapsort step 4850: {'pred': 0.708984375, 'score': 0.708984375, 'examples_seen': 75420, 'step': 4850, 'algorithm': 'heapsort'}
I0715 09:42:09.054031 124715881965056 run.py:723] (val) algo heapsort step 4900: {'pred': 0.6552734375, 'score': 0.6552734375, 'examples_seen': 76209, 'step': 4900, 'algorithm': 'heapsort'}
I0715 09:42:12.293269 124715881965056 run.py:723] (val) algo heapsort step 4950: {'pred': 0.7216796875, 'score': 0.7216796875, 'examples_seen': 76983, 'step': 4950, 'algorithm': 'heapsort'}
I0715 09:42:15.523686 124715881965056 run.py:723] (val) algo heapsort step 5000: {'pred': 0.6640625, 'score': 0.6640625, 'examples_seen': 77752, 'step': 5000, 'algorithm': 'heapsort'}
I0715 09:42:18.747770 124715881965056 run.py:723] (val) algo heapsort step 5050: {'pred': 0.7578125, 'score': 0.7578125, 'examples_seen': 78514, 'step': 5050, 'algorithm': 'heapsort'}
I0715 09:42:21.991880 124715881965056 run.py:723] (val) algo heapsort step 5100: {'pred': 0.7255859375, 'score': 0.7255859375, 'examples_seen': 79281, 'step': 5100, 'algorithm': 'heapsort'}
