{'pred': 0.935546875, 'score': 0.935546875, 'examples_seen': 314624, 'step': 9300, 'algorithm': 'bubble_sort'}
{'pred': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 316272, 'step': 9350, 'algorithm': 'bubble_sort'}
{'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 318064, 'step': 9400, 'algorithm': 'bubble_sort'}
{'pred': 0.91015625, 'score': 0.91015625, 'examples_seen': 319792, 'step': 9450, 'algorithm': 'bubble_sort'}
{'pred': 0.927734375, 'score': 0.927734375, 'examples_seen': 321472, 'step': 9500, 'algorithm': 'bubble_sort'}
{'pred': 0.916015625, 'score': 0.916015625, 'examples_seen': 323136, 'step': 9550, 'algorithm': 'bubble_sort'}
{'pred': 0.91796875, 'score': 0.91796875, 'examples_seen': 324800, 'step': 9600, 'algorithm': 'bubble_sort'}
{'pred': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 326464, 'step': 9650, 'algorithm': 'bubble_sort'}
{'pred': 0.90234375, 'score': 0.90234375, 'examples_seen': 328112, 'step': 9700, 'algorithm': 'bubble_sort'}
{'pred': 0.9033203125, 'score': 0.9033203125, 'examples_seen': 329904, 'step': 9750, 'algorithm': 'bubble_sort'}
{'pred': 0.83203125, 'score': 0.83203125, 'examples_seen': 331616, 'step': 9800, 'algorithm': 'bubble_sort'}
{'pred': 0.9111328125, 'score': 0.9111328125, 'examples_seen': 333328, 'step': 9850, 'algorithm': 'bubble_sort'}
{'pred': 0.90234375, 'score': 0.90234375, 'examples_seen': 334976, 'step': 9900, 'algorithm': 'bubble_sort'}
{'pred': 0.9140625, 'score': 0.9140625, 'examples_seen': 336640, 'step': 9950, 'algorithm': 'bubble_sort'}
