{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 174721, 'step': 5900, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 176176, 'step': 5950, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 177649, 'step': 6000, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9326171875, 'score': 0.9326171875, 'examples_seen': 179133, 'step': 6050, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 180622, 'step': 6100, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9638671875, 'score': 0.9638671875, 'examples_seen': 182076, 'step': 6150, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 183579, 'step': 6200, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 185114, 'step': 6250, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 186595, 'step': 6300, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 188057, 'step': 6350, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 189541, 'step': 6400, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 191034, 'step': 6450, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 192495, 'step': 6500, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 193975, 'step': 6550, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9716796875, 'score': 0.9716796875, 'examples_seen': 195508, 'step': 6600, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 196996, 'step': 6650, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 198488, 'step': 6700, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 199957, 'step': 6750, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 201449, 'step': 6800, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 202926, 'step': 6850, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9755859375, 'score': 0.9755859375, 'examples_seen': 204390, 'step': 6900, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 205891, 'step': 6950, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 207406, 'step': 7000, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9677734375, 'score': 0.9677734375, 'examples_seen': 208892, 'step': 7050, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 210377, 'step': 7100, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 211835, 'step': 7150, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 213300, 'step': 7200, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9423828125, 'score': 0.9423828125, 'examples_seen': 214739, 'step': 7250, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 216233, 'step': 7300, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9619140625, 'score': 0.9619140625, 'examples_seen': 217730, 'step': 7350, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9599609375, 'score': 0.9599609375, 'examples_seen': 219210, 'step': 7400, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 220710, 'step': 7450, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 222169, 'step': 7500, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.94921875, 'score': 0.94921875, 'examples_seen': 223648, 'step': 7550, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 225089, 'step': 7600, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9697265625, 'score': 0.9697265625, 'examples_seen': 226618, 'step': 7650, 'algorithm': 'dag_shortest_paths'}
{'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 228088, 'step': 7700, 'algorithm': 'dag_shortest_paths'}
