I0716 01:11:27.287562 134993160320512 run.py:722] (val) algo quickselect step 6050: {'median': 0.128662109375, 'score': 0.128662109375, 'examples_seen': 195545, 'step': 6050, 'algorithm': 'quickselect'}
I0716 01:11:36.118137 134993160320512 run.py:722] (val) algo quickselect step 6100: {'median': 0.10986328125, 'score': 0.10986328125, 'examples_seen': 197150, 'step': 6100, 'algorithm': 'quickselect'}
I0716 01:11:45.002926 134993160320512 run.py:722] (val) algo quickselect step 6150: {'median': 0.107421875, 'score': 0.107421875, 'examples_seen': 198720, 'step': 6150, 'algorithm': 'quickselect'}
I0716 01:11:53.885354 134993160320512 run.py:722] (val) algo quickselect step 6200: {'median': 0.0849609375, 'score': 0.0849609375, 'examples_seen': 200319, 'step': 6200, 'algorithm': 'quickselect'}
I0716 01:12:02.823786 134993160320512 run.py:722] (val) algo quickselect step 6250: {'median': 0.244384765625, 'score': 0.244384765625, 'examples_seen': 202013, 'step': 6250, 'algorithm': 'quickselect'}
I0716 01:12:11.706479 134993160320512 run.py:722] (val) algo quickselect step 6300: {'median': 0.097900390625, 'score': 0.097900390625, 'examples_seen': 203632, 'step': 6300, 'algorithm': 'quickselect'}
I0716 01:12:20.622984 134993160320512 run.py:722] (val) algo quickselect step 6350: {'median': 0.145263671875, 'score': 0.145263671875, 'examples_seen': 205239, 'step': 6350, 'algorithm': 'quickselect'}
I0716 01:12:29.502396 134993160320512 run.py:722] (val) algo quickselect step 6400: {'median': 0.1123046875, 'score': 0.1123046875, 'examples_seen': 206847, 'step': 6400, 'algorithm': 'quickselect'}
I0716 01:12:38.348239 134993160320512 run.py:722] (val) algo quickselect step 6450: {'median': 0.080810546875, 'score': 0.080810546875, 'examples_seen': 208441, 'step': 6450, 'algorithm': 'quickselect'}
I0716 01:12:47.184565 134993160320512 run.py:722] (val) algo quickselect step 6500: {'median': 0.12646484375, 'score': 0.12646484375, 'examples_seen': 210064, 'step': 6500, 'algorithm': 'quickselect'}
I0716 01:12:56.038700 134993160320512 run.py:722] (val) algo quickselect step 6550: {'median': 0.0986328125, 'score': 0.0986328125, 'examples_seen': 211631, 'step': 6550, 'algorithm': 'quickselect'}
I0716 01:13:04.973277 134993160320512 run.py:722] (val) algo quickselect step 6600: {'median': 0.151611328125, 'score': 0.151611328125, 'examples_seen': 213334, 'step': 6600, 'algorithm': 'quickselect'}
I0716 01:13:13.795106 134993160320512 run.py:722] (val) algo quickselect step 6650: {'median': 0.198486328125, 'score': 0.198486328125, 'examples_seen': 214950, 'step': 6650, 'algorithm': 'quickselect'}
I0716 01:13:22.704604 134993160320512 run.py:722] (val) algo quickselect step 6700: {'median': 0.10546875, 'score': 0.10546875, 'examples_seen': 216539, 'step': 6700, 'algorithm': 'quickselect'}
I0716 01:13:31.554910 134993160320512 run.py:722] (val) algo quickselect step 6750: {'median': 0.26025390625, 'score': 0.26025390625, 'examples_seen': 218141, 'step': 6750, 'algorithm': 'quickselect'}
I0716 01:13:40.455889 134993160320512 run.py:722] (val) algo quickselect step 6800: {'median': 0.111328125, 'score': 0.111328125, 'examples_seen': 219741, 'step': 6800, 'algorithm': 'quickselect'}
I0716 01:13:49.344809 134993160320512 run.py:722] (val) algo quickselect step 6850: {'median': 0.12841796875, 'score': 0.12841796875, 'examples_seen': 221321, 'step': 6850, 'algorithm': 'quickselect'}
I0716 01:13:58.272834 134993160320512 run.py:722] (val) algo quickselect step 6900: {'median': 0.138916015625, 'score': 0.138916015625, 'examples_seen': 222895, 'step': 6900, 'algorithm': 'quickselect'}
I0716 01:14:07.230987 134993160320512 run.py:722] (val) algo quickselect step 6950: {'median': 0.163818359375, 'score': 0.163818359375, 'examples_seen': 224590, 'step': 6950, 'algorithm': 'quickselect'}
I0716 01:14:16.088577 134993160320512 run.py:722] (val) algo quickselect step 7000: {'median': 0.168701171875, 'score': 0.168701171875, 'examples_seen': 226237, 'step': 7000, 'algorithm': 'quickselect'}
I0716 01:14:24.934352 134993160320512 run.py:722] (val) algo quickselect step 7050: {'median': 0.1328125, 'score': 0.1328125, 'examples_seen': 227850, 'step': 7050, 'algorithm': 'quickselect'}
