{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 866216, 'step': 7250, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 872321, 'step': 7300, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 878405, 'step': 7350, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 884440, 'step': 7400, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 890348, 'step': 7450, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 896375, 'step': 7500, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 902330, 'step': 7550, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 908331, 'step': 7600, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 914336, 'step': 7650, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 920360, 'step': 7700, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 926343, 'step': 7750, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 932305, 'step': 7800, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 938286, 'step': 7850, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 944234, 'step': 7900, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 950187, 'step': 7950, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 956239, 'step': 8000, 'algorithm': 'bfs'}
{'pi': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 962227, 'step': 8050, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 968164, 'step': 8100, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 974126, 'step': 8150, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 980064, 'step': 8200, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 986038, 'step': 8250, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 991986, 'step': 8300, 'algorithm': 'bfs'}
{'pi': 0.99609375, 'score': 0.99609375, 'examples_seen': 998037, 'step': 8350, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1004065, 'step': 8400, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1010056, 'step': 8450, 'algorithm': 'bfs'}
{'pi': 1.0, 'score': 1.0, 'examples_seen': 1015959, 'step': 8500, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1021891, 'step': 8550, 'algorithm': 'bfs'}
{'pi': 0.9970703125, 'score': 0.9970703125, 'examples_seen': 1027801, 'step': 8600, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1033691, 'step': 8650, 'algorithm': 'bfs'}
{'pi': 0.998046875, 'score': 0.998046875, 'examples_seen': 1039757, 'step': 8700, 'algorithm': 'bfs'}
{'pi': 0.9990234375, 'score': 0.9990234375, 'examples_seen': 1045700, 'step': 8750, 'algorithm': 'bfs'}
