I0715 22:32:47.490150 134048692930048 run.py:722] (val) algo graham_scan step 4950: {'in_hull': 0.9503695881731784, 'score': 0.9503695881731784, 'examples_seen': 147265, 'step': 4950, 'algorithm': 'graham_scan'}
I0715 22:32:48.734838 134048692930048 run.py:722] (val) algo graham_scan step 5000: {'in_hull': 0.9429494079655543, 'score': 0.9429494079655543, 'examples_seen': 148755, 'step': 5000, 'algorithm': 'graham_scan'}
I0715 22:32:49.948315 134048692930048 run.py:722] (val) algo graham_scan step 5050: {'in_hull': 0.9535864978902954, 'score': 0.9535864978902954, 'examples_seen': 150216, 'step': 5050, 'algorithm': 'graham_scan'}
I0715 22:32:51.172806 134048692930048 run.py:722] (val) algo graham_scan step 5100: {'in_hull': 0.948936170212766, 'score': 0.948936170212766, 'examples_seen': 151691, 'step': 5100, 'algorithm': 'graham_scan'}
I0715 22:32:52.399136 134048692930048 run.py:722] (val) algo graham_scan step 5150: {'in_hull': 0.971861471861472, 'score': 0.971861471861472, 'examples_seen': 153156, 'step': 5150, 'algorithm': 'graham_scan'}
I0715 22:32:53.632970 134048692930048 run.py:722] (val) algo graham_scan step 5200: {'in_hull': 0.9614181438998957, 'score': 0.9614181438998957, 'examples_seen': 154664, 'step': 5200, 'algorithm': 'graham_scan'}
I0715 22:32:54.855557 134048692930048 run.py:722] (val) algo graham_scan step 5250: {'in_hull': 0.965896589658966, 'score': 0.965896589658966, 'examples_seen': 156178, 'step': 5250, 'algorithm': 'graham_scan'}
I0715 22:32:56.074350 134048692930048 run.py:722] (val) algo graham_scan step 5300: {'in_hull': 0.9665271966527197, 'score': 0.9665271966527197, 'examples_seen': 157664, 'step': 5300, 'algorithm': 'graham_scan'}
I0715 22:32:57.282032 134048692930048 run.py:722] (val) algo graham_scan step 5350: {'in_hull': 0.9454545454545454, 'score': 0.9454545454545454, 'examples_seen': 159154, 'step': 5350, 'algorithm': 'graham_scan'}
I0715 22:32:58.502485 134048692930048 run.py:722] (val) algo graham_scan step 5400: {'in_hull': 0.963855421686747, 'score': 0.963855421686747, 'examples_seen': 160620, 'step': 5400, 'algorithm': 'graham_scan'}
I0715 22:32:59.721695 134048692930048 run.py:722] (val) algo graham_scan step 5450: {'in_hull': 0.9264069264069263, 'score': 0.9264069264069263, 'examples_seen': 162099, 'step': 5450, 'algorithm': 'graham_scan'}
I0715 22:33:00.964932 134048692930048 run.py:722] (val) algo graham_scan step 5500: {'in_hull': 0.9782608695652174, 'score': 0.9782608695652174, 'examples_seen': 163567, 'step': 5500, 'algorithm': 'graham_scan'}
I0715 22:33:02.219466 134048692930048 run.py:722] (val) algo graham_scan step 5550: {'in_hull': 0.9558665231431647, 'score': 0.9558665231431647, 'examples_seen': 165071, 'step': 5550, 'algorithm': 'graham_scan'}
I0715 22:33:03.470879 134048692930048 run.py:722] (val) algo graham_scan step 5600: {'in_hull': 0.96579476861167, 'score': 0.96579476861167, 'examples_seen': 166589, 'step': 5600, 'algorithm': 'graham_scan'}
I0715 22:33:04.675851 134048692930048 run.py:722] (val) algo graham_scan step 5650: {'in_hull': 0.9629629629629629, 'score': 0.9629629629629629, 'examples_seen': 168073, 'step': 5650, 'algorithm': 'graham_scan'}
I0715 22:33:05.883057 134048692930048 run.py:722] (val) algo graham_scan step 5700: {'in_hull': 0.956701030927835, 'score': 0.956701030927835, 'examples_seen': 169562, 'step': 5700, 'algorithm': 'graham_scan'}
I0715 22:33:07.119482 134048692930048 run.py:722] (val) algo graham_scan step 5750: {'in_hull': 0.9629629629629631, 'score': 0.9629629629629631, 'examples_seen': 171027, 'step': 5750, 'algorithm': 'graham_scan'}
I0715 22:33:08.338221 134048692930048 run.py:722] (val) algo graham_scan step 5800: {'in_hull': 0.952076677316294, 'score': 0.952076677316294, 'examples_seen': 172509, 'step': 5800, 'algorithm': 'graham_scan'}
I0715 22:33:09.579143 134048692930048 run.py:722] (val) algo graham_scan step 5850: {'in_hull': 0.9387308533916849, 'score': 0.9387308533916849, 'examples_seen': 173971, 'step': 5850, 'algorithm': 'graham_scan'}
I0715 22:33:10.836468 134048692930048 run.py:722] (val) algo graham_scan step 5900: {'in_hull': 0.9340540540540541, 'score': 0.9340540540540541, 'examples_seen': 175483, 'step': 5900, 'algorithm': 'graham_scan'}
I0715 22:33:12.072046 134048692930048 run.py:722] (val) algo graham_scan step 5950: {'in_hull': 0.9494324045407636, 'score': 0.9494324045407636, 'examples_seen': 177000, 'step': 5950, 'algorithm': 'graham_scan'}
