{'selected': 0.984, 'score': 0.984, 'examples_seen': 266800, 'step': 6700, 'algorithm': 'activity_selector'}
{'selected': 0.9611307420494699, 'score': 0.9611307420494699, 'examples_seen': 268800, 'step': 6750, 'algorithm': 'activity_selector'}
{'selected': 0.9730769230769232, 'score': 0.9730769230769232, 'examples_seen': 270752, 'step': 6800, 'algorithm': 'activity_selector'}
{'selected': 0.9727626459143969, 'score': 0.9727626459143969, 'examples_seen': 272736, 'step': 6850, 'algorithm': 'activity_selector'}
{'selected': 0.9396226415094341, 'score': 0.9396226415094341, 'examples_seen': 274720, 'step': 6900, 'algorithm': 'activity_selector'}
{'selected': 0.942084942084942, 'score': 0.942084942084942, 'examples_seen': 276736, 'step': 6950, 'algorithm': 'activity_selector'}
{'selected': 0.9674952198852772, 'score': 0.9674952198852772, 'examples_seen': 278768, 'step': 7000, 'algorithm': 'activity_selector'}
{'selected': 0.9565217391304348, 'score': 0.9565217391304348, 'examples_seen': 280752, 'step': 7050, 'algorithm': 'activity_selector'}
{'selected': 0.89811320754717, 'score': 0.89811320754717, 'examples_seen': 282736, 'step': 7100, 'algorithm': 'activity_selector'}
{'selected': 0.9411764705882353, 'score': 0.9411764705882353, 'examples_seen': 284720, 'step': 7150, 'algorithm': 'activity_selector'}
{'selected': 0.9632495164410056, 'score': 0.9632495164410056, 'examples_seen': 286672, 'step': 7200, 'algorithm': 'activity_selector'}
{'selected': 0.9518518518518518, 'score': 0.9518518518518518, 'examples_seen': 288640, 'step': 7250, 'algorithm': 'activity_selector'}
{'selected': 0.9850187265917603, 'score': 0.9850187265917603, 'examples_seen': 290688, 'step': 7300, 'algorithm': 'activity_selector'}
{'selected': 0.9669902912621359, 'score': 0.9669902912621359, 'examples_seen': 292688, 'step': 7350, 'algorithm': 'activity_selector'}
{'selected': 0.974155069582505, 'score': 0.974155069582505, 'examples_seen': 294688, 'step': 7400, 'algorithm': 'activity_selector'}
{'selected': 0.955684007707129, 'score': 0.955684007707129, 'examples_seen': 296672, 'step': 7450, 'algorithm': 'activity_selector'}
{'selected': 0.9751434034416827, 'score': 0.9751434034416827, 'examples_seen': 298624, 'step': 7500, 'algorithm': 'activity_selector'}
{'selected': 0.9717741935483871, 'score': 0.9717741935483871, 'examples_seen': 300624, 'step': 7550, 'algorithm': 'activity_selector'}
{'selected': 0.9674952198852772, 'score': 0.9674952198852772, 'examples_seen': 302576, 'step': 7600, 'algorithm': 'activity_selector'}
{'selected': 0.9755102040816327, 'score': 0.9755102040816327, 'examples_seen': 304608, 'step': 7650, 'algorithm': 'activity_selector'}
