I0716 12:14:42.350836 137187410863616 run.py:722] (val) algo topological_sort step 2500: {'topo': 0.91796875, 'topo_head': 0.984375, 'score': 0.951171875, 'examples_seen': 47701, 'step': 2500, 'algorithm': 'topological_sort'}
I0716 12:14:43.713876 137187410863616 run.py:722] (val) algo topological_sort step 2550: {'topo': 0.724609375, 'topo_head': 0.953125, 'score': 0.8388671875, 'examples_seen': 48651, 'step': 2550, 'algorithm': 'topological_sort'}
I0716 12:14:45.042165 137187410863616 run.py:722] (val) algo topological_sort step 2600: {'topo': 0.869140625, 'topo_head': 0.984375, 'score': 0.9267578125, 'examples_seen': 49594, 'step': 2600, 'algorithm': 'topological_sort'}
I0716 12:14:46.417876 137187410863616 run.py:722] (val) algo topological_sort step 2650: {'topo': 0.7880859375, 'topo_head': 0.9375, 'score': 0.86279296875, 'examples_seen': 50537, 'step': 2650, 'algorithm': 'topological_sort'}
I0716 12:14:47.802780 137187410863616 run.py:722] (val) algo topological_sort step 2700: {'topo': 0.9208984375, 'topo_head': 1.0, 'score': 0.96044921875, 'examples_seen': 51491, 'step': 2700, 'algorithm': 'topological_sort'}
I0716 12:14:49.171690 137187410863616 run.py:722] (val) algo topological_sort step 2750: {'topo': 0.880859375, 'topo_head': 1.0, 'score': 0.9404296875, 'examples_seen': 52462, 'step': 2750, 'algorithm': 'topological_sort'}
I0716 12:14:50.556891 137187410863616 run.py:722] (val) algo topological_sort step 2800: {'topo': 0.8955078125, 'topo_head': 0.984375, 'score': 0.93994140625, 'examples_seen': 53428, 'step': 2800, 'algorithm': 'topological_sort'}
I0716 12:14:51.912490 137187410863616 run.py:722] (val) algo topological_sort step 2850: {'topo': 0.89453125, 'topo_head': 0.96875, 'score': 0.931640625, 'examples_seen': 54385, 'step': 2850, 'algorithm': 'topological_sort'}
I0716 12:14:53.245015 137187410863616 run.py:722] (val) algo topological_sort step 2900: {'topo': 0.853515625, 'topo_head': 1.0, 'score': 0.9267578125, 'examples_seen': 55330, 'step': 2900, 'algorithm': 'topological_sort'}
I0716 12:14:54.607828 137187410863616 run.py:722] (val) algo topological_sort step 2950: {'topo': 0.8623046875, 'topo_head': 1.0, 'score': 0.93115234375, 'examples_seen': 56278, 'step': 2950, 'algorithm': 'topological_sort'}
I0716 12:14:55.963429 137187410863616 run.py:722] (val) algo topological_sort step 3000: {'topo': 0.9677734375, 'topo_head': 1.0, 'score': 0.98388671875, 'examples_seen': 57219, 'step': 3000, 'algorithm': 'topological_sort'}
I0716 12:14:57.382325 137187410863616 run.py:722] (val) algo topological_sort step 3050: {'topo': 0.837890625, 'topo_head': 1.0, 'score': 0.9189453125, 'examples_seen': 58157, 'step': 3050, 'algorithm': 'topological_sort'}
I0716 12:14:58.761304 137187410863616 run.py:722] (val) algo topological_sort step 3100: {'topo': 0.8896484375, 'topo_head': 1.0, 'score': 0.94482421875, 'examples_seen': 59142, 'step': 3100, 'algorithm': 'topological_sort'}
I0716 12:15:00.107324 137187410863616 run.py:722] (val) algo topological_sort step 3150: {'topo': 0.892578125, 'topo_head': 1.0, 'score': 0.9462890625, 'examples_seen': 60098, 'step': 3150, 'algorithm': 'topological_sort'}
I0716 12:15:01.440285 137187410863616 run.py:722] (val) algo topological_sort step 3200: {'topo': 0.9208984375, 'topo_head': 1.0, 'score': 0.96044921875, 'examples_seen': 61047, 'step': 3200, 'algorithm': 'topological_sort'}
I0716 12:15:02.771255 137187410863616 run.py:722] (val) algo topological_sort step 3250: {'topo': 0.9443359375, 'topo_head': 1.0, 'score': 0.97216796875, 'examples_seen': 62006, 'step': 3250, 'algorithm': 'topological_sort'}
I0716 12:15:04.120128 137187410863616 run.py:722] (val) algo topological_sort step 3300: {'topo': 0.90234375, 'topo_head': 1.0, 'score': 0.951171875, 'examples_seen': 62950, 'step': 3300, 'algorithm': 'topological_sort'}
I0716 12:15:05.505499 137187410863616 run.py:722] (val) algo topological_sort step 3350: {'topo': 0.962890625, 'topo_head': 1.0, 'score': 0.9814453125, 'examples_seen': 63891, 'step': 3350, 'algorithm': 'topological_sort'}
I0716 12:15:06.904847 137187410863616 run.py:722] (val) algo topological_sort step 3400: {'topo': 0.8935546875, 'topo_head': 0.984375, 'score': 0.93896484375, 'examples_seen': 64835, 'step': 3400, 'algorithm': 'topological_sort'}
I0716 12:15:08.285002 137187410863616 run.py:722] (val) algo topological_sort step 3450: {'topo': 0.904296875, 'topo_head': 1.0, 'score': 0.9521484375, 'examples_seen': 65820, 'step': 3450, 'algorithm': 'topological_sort'}
I0716 12:15:09.650276 137187410863616 run.py:722] (val) algo topological_sort step 3500: {'topo': 0.861328125, 'topo_head': 0.953125, 'score': 0.9072265625, 'examples_seen': 66782, 'step': 3500, 'algorithm': 'topological_sort'}
I0716 12:15:11.014902 137187410863616 run.py:722] (val) algo topological_sort step 3550: {'topo': 0.8955078125, 'topo_head': 0.984375, 'score': 0.93994140625, 'examples_seen': 67738, 'step': 3550, 'algorithm': 'topological_sort'}
I0716 12:15:12.356981 137187410863616 run.py:722] (val) algo topological_sort step 3600: {'topo': 0.8349609375, 'topo_head': 0.90625, 'score': 0.87060546875, 'examples_seen': 68691, 'step': 3600, 'algorithm': 'topological_sort'}
I0716 12:15:13.678797 137187410863616 run.py:722] (val) algo topological_sort step 3650: {'topo': 0.7890625, 'topo_head': 0.96875, 'score': 0.87890625, 'examples_seen': 69631, 'step': 3650, 'algorithm': 'topological_sort'}
I0716 12:15:15.027376 137187410863616 run.py:722] (val) algo topological_sort step 3700: {'topo': 0.9306640625, 'topo_head': 1.0, 'score': 0.96533203125, 'examples_seen': 70575, 'step': 3700, 'algorithm': 'topological_sort'}
I0716 12:15:16.407057 137187410863616 run.py:722] (val) algo topological_sort step 3750: {'topo': 0.91015625, 'topo_head': 0.984375, 'score': 0.947265625, 'examples_seen': 71512, 'step': 3750, 'algorithm': 'topological_sort'}
