{'pi': 0.8935546875, 'score': 0.8935546875, 'examples_seen': 632007, 'step': 5700, 'algorithm': 'bellman_ford'}
{'pi': 0.912109375, 'score': 0.912109375, 'examples_seen': 637523, 'step': 5750, 'algorithm': 'bellman_ford'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 642958, 'step': 5800, 'algorithm': 'bellman_ford'}
{'pi': 0.984375, 'score': 0.984375, 'examples_seen': 648439, 'step': 5850, 'algorithm': 'bellman_ford'}
{'pi': 0.908203125, 'score': 0.908203125, 'examples_seen': 654090, 'step': 5900, 'algorithm': 'bellman_ford'}
{'pi': 0.896484375, 'score': 0.896484375, 'examples_seen': 659651, 'step': 5950, 'algorithm': 'bellman_ford'}
{'pi': 0.9580078125, 'score': 0.9580078125, 'examples_seen': 665285, 'step': 6000, 'algorithm': 'bellman_ford'}
{'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 670848, 'step': 6050, 'algorithm': 'bellman_ford'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 676349, 'step': 6100, 'algorithm': 'bellman_ford'}
{'pi': 0.9462890625, 'score': 0.9462890625, 'examples_seen': 681805, 'step': 6150, 'algorithm': 'bellman_ford'}
{'pi': 0.919921875, 'score': 0.919921875, 'examples_seen': 687312, 'step': 6200, 'algorithm': 'bellman_ford'}
{'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 692910, 'step': 6250, 'algorithm': 'bellman_ford'}
{'pi': 0.8623046875, 'score': 0.8623046875, 'examples_seen': 698517, 'step': 6300, 'algorithm': 'bellman_ford'}
{'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 704138, 'step': 6350, 'algorithm': 'bellman_ford'}
{'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 709693, 'step': 6400, 'algorithm': 'bellman_ford'}
{'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 715239, 'step': 6450, 'algorithm': 'bellman_ford'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 720770, 'step': 6500, 'algorithm': 'bellman_ford'}
{'pi': 0.990234375, 'score': 0.990234375, 'examples_seen': 726304, 'step': 6550, 'algorithm': 'bellman_ford'}
{'pi': 0.962890625, 'score': 0.962890625, 'examples_seen': 731920, 'step': 6600, 'algorithm': 'bellman_ford'}
{'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 737510, 'step': 6650, 'algorithm': 'bellman_ford'}
{'pi': 0.92578125, 'score': 0.92578125, 'examples_seen': 743042, 'step': 6700, 'algorithm': 'bellman_ford'}
{'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 748591, 'step': 6750, 'algorithm': 'bellman_ford'}
{'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 754161, 'step': 6800, 'algorithm': 'bellman_ford'}
{'pi': 0.9375, 'score': 0.9375, 'examples_seen': 759700, 'step': 6850, 'algorithm': 'bellman_ford'}
{'pi': 0.9794921875, 'score': 0.9794921875, 'examples_seen': 765245, 'step': 6900, 'algorithm': 'bellman_ford'}
{'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 770874, 'step': 6950, 'algorithm': 'bellman_ford'}
{'pi': 0.9814453125, 'score': 0.9814453125, 'examples_seen': 776494, 'step': 7000, 'algorithm': 'bellman_ford'}
{'pi': 0.9912109375, 'score': 0.9912109375, 'examples_seen': 781995, 'step': 7050, 'algorithm': 'bellman_ford'}
{'pi': 0.9560546875, 'score': 0.9560546875, 'examples_seen': 787530, 'step': 7100, 'algorithm': 'bellman_ford'}
{'pi': 0.9501953125, 'score': 0.9501953125, 'examples_seen': 793035, 'step': 7150, 'algorithm': 'bellman_ford'}
{'pi': 0.96875, 'score': 0.96875, 'examples_seen': 798444, 'step': 7200, 'algorithm': 'bellman_ford'}
{'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 803897, 'step': 7250, 'algorithm': 'bellman_ford'}
{'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 809451, 'step': 7300, 'algorithm': 'bellman_ford'}
{'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 815091, 'step': 7350, 'algorithm': 'bellman_ford'}
{'pi': 0.9228515625, 'score': 0.9228515625, 'examples_seen': 820552, 'step': 7400, 'algorithm': 'bellman_ford'}
{'pi': 0.9736328125, 'score': 0.9736328125, 'examples_seen': 826094, 'step': 7450, 'algorithm': 'bellman_ford'}
{'pi': 0.9775390625, 'score': 0.9775390625, 'examples_seen': 831601, 'step': 7500, 'algorithm': 'bellman_ford'}
{'pi': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 837062, 'step': 7550, 'algorithm': 'bellman_ford'}
{'pi': 0.984375, 'score': 0.984375, 'examples_seen': 842436, 'step': 7600, 'algorithm': 'bellman_ford'}
{'pi': 0.9365234375, 'score': 0.9365234375, 'examples_seen': 848046, 'step': 7650, 'algorithm': 'bellman_ford'}
{'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 853681, 'step': 7700, 'algorithm': 'bellman_ford'}
{'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 859215, 'step': 7750, 'algorithm': 'bellman_ford'}
{'pi': 0.984375, 'score': 0.984375, 'examples_seen': 864750, 'step': 7800, 'algorithm': 'bellman_ford'}
{'pi': 0.9248046875, 'score': 0.9248046875, 'examples_seen': 870296, 'step': 7850, 'algorithm': 'bellman_ford'}
{'pi': 0.9345703125, 'score': 0.9345703125, 'examples_seen': 875822, 'step': 7900, 'algorithm': 'bellman_ford'}
{'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 881345, 'step': 7950, 'algorithm': 'bellman_ford'}
{'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 886969, 'step': 8000, 'algorithm': 'bellman_ford'}
{'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 892571, 'step': 8050, 'algorithm': 'bellman_ford'}
{'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 898132, 'step': 8100, 'algorithm': 'bellman_ford'}
{'pi': 0.9658203125, 'score': 0.9658203125, 'examples_seen': 903662, 'step': 8150, 'algorithm': 'bellman_ford'}
{'pi': 0.923828125, 'score': 0.923828125, 'examples_seen': 909219, 'step': 8200, 'algorithm': 'bellman_ford'}
{'pi': 0.94140625, 'score': 0.94140625, 'examples_seen': 914752, 'step': 8250, 'algorithm': 'bellman_ford'}
{'pi': 0.9833984375, 'score': 0.9833984375, 'examples_seen': 920284, 'step': 8300, 'algorithm': 'bellman_ford'}
{'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 925882, 'step': 8350, 'algorithm': 'bellman_ford'}
{'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 931492, 'step': 8400, 'algorithm': 'bellman_ford'}
{'pi': 0.931640625, 'score': 0.931640625, 'examples_seen': 937050, 'step': 8450, 'algorithm': 'bellman_ford'}
