I0716 10:43:10.517170 128058109416960 run.py:722] (val) algo naive_string_matcher step 5450: {'match': 0.9892578125, 'score': 0.9892578125, 'examples_seen': 125371, 'step': 5450, 'algorithm': 'naive_string_matcher'}
I0716 10:43:12.483510 128058109416960 run.py:722] (val) algo naive_string_matcher step 5500: {'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 126525, 'step': 5500, 'algorithm': 'naive_string_matcher'}
I0716 10:43:14.473057 128058109416960 run.py:722] (val) algo naive_string_matcher step 5550: {'match': 0.9951171875, 'score': 0.9951171875, 'examples_seen': 127678, 'step': 5550, 'algorithm': 'naive_string_matcher'}
I0716 10:43:16.467877 128058109416960 run.py:722] (val) algo naive_string_matcher step 5600: {'match': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 128828, 'step': 5600, 'algorithm': 'naive_string_matcher'}
I0716 10:43:18.440457 128058109416960 run.py:722] (val) algo naive_string_matcher step 5650: {'match': 0.98828125, 'score': 0.98828125, 'examples_seen': 130014, 'step': 5650, 'algorithm': 'naive_string_matcher'}
I0716 10:43:20.406872 128058109416960 run.py:722] (val) algo naive_string_matcher step 5700: {'match': 0.9853515625, 'score': 0.9853515625, 'examples_seen': 131174, 'step': 5700, 'algorithm': 'naive_string_matcher'}
I0716 10:43:22.389189 128058109416960 run.py:722] (val) algo naive_string_matcher step 5750: {'match': 0.988037109375, 'score': 0.988037109375, 'examples_seen': 132300, 'step': 5750, 'algorithm': 'naive_string_matcher'}
I0716 10:43:24.330856 128058109416960 run.py:722] (val) algo naive_string_matcher step 5800: {'match': 0.981689453125, 'score': 0.981689453125, 'examples_seen': 133439, 'step': 5800, 'algorithm': 'naive_string_matcher'}
I0716 10:43:26.313846 128058109416960 run.py:722] (val) algo naive_string_matcher step 5850: {'match': 0.99755859375, 'score': 0.99755859375, 'examples_seen': 134591, 'step': 5850, 'algorithm': 'naive_string_matcher'}
I0716 10:43:28.326844 128058109416960 run.py:722] (val) algo naive_string_matcher step 5900: {'match': 0.979736328125, 'score': 0.979736328125, 'examples_seen': 135760, 'step': 5900, 'algorithm': 'naive_string_matcher'}
I0716 10:43:30.326246 128058109416960 run.py:722] (val) algo naive_string_matcher step 5950: {'match': 0.9921875, 'score': 0.9921875, 'examples_seen': 136902, 'step': 5950, 'algorithm': 'naive_string_matcher'}
I0716 10:43:32.355190 128058109416960 run.py:722] (val) algo naive_string_matcher step 6000: {'match': 0.985107421875, 'score': 0.985107421875, 'examples_seen': 138057, 'step': 6000, 'algorithm': 'naive_string_matcher'}
I0716 10:43:34.389974 128058109416960 run.py:722] (val) algo naive_string_matcher step 6050: {'match': 0.9931640625, 'score': 0.9931640625, 'examples_seen': 139197, 'step': 6050, 'algorithm': 'naive_string_matcher'}
I0716 10:43:36.388056 128058109416960 run.py:722] (val) algo naive_string_matcher step 6100: {'match': 0.98095703125, 'score': 0.98095703125, 'examples_seen': 140347, 'step': 6100, 'algorithm': 'naive_string_matcher'}
I0716 10:43:38.351893 128058109416960 run.py:722] (val) algo naive_string_matcher step 6150: {'match': 0.982421875, 'score': 0.982421875, 'examples_seen': 141485, 'step': 6150, 'algorithm': 'naive_string_matcher'}
I0716 10:43:40.290812 128058109416960 run.py:722] (val) algo naive_string_matcher step 6200: {'match': 0.989990234375, 'score': 0.989990234375, 'examples_seen': 142605, 'step': 6200, 'algorithm': 'naive_string_matcher'}
I0716 10:43:42.243578 128058109416960 run.py:722] (val) algo naive_string_matcher step 6250: {'match': 0.99853515625, 'score': 0.99853515625, 'examples_seen': 143758, 'step': 6250, 'algorithm': 'naive_string_matcher'}
I0716 10:43:44.271265 128058109416960 run.py:722] (val) algo naive_string_matcher step 6300: {'match': 0.993408203125, 'score': 0.993408203125, 'examples_seen': 144928, 'step': 6300, 'algorithm': 'naive_string_matcher'}
I0716 10:43:46.278305 128058109416960 run.py:722] (val) algo naive_string_matcher step 6350: {'match': 0.997802734375, 'score': 0.997802734375, 'examples_seen': 146083, 'step': 6350, 'algorithm': 'naive_string_matcher'}
I0716 10:43:48.241254 128058109416960 run.py:722] (val) algo naive_string_matcher step 6400: {'match': 0.994873046875, 'score': 0.994873046875, 'examples_seen': 147225, 'step': 6400, 'algorithm': 'naive_string_matcher'}
I0716 10:43:50.221078 128058109416960 run.py:722] (val) algo naive_string_matcher step 6450: {'match': 0.996826171875, 'score': 0.996826171875, 'examples_seen': 148373, 'step': 6450, 'algorithm': 'naive_string_matcher'}
I0716 10:43:52.183712 128058109416960 run.py:722] (val) algo naive_string_matcher step 6500: {'match': 0.99609375, 'score': 0.99609375, 'examples_seen': 149550, 'step': 6500, 'algorithm': 'naive_string_matcher'}
