{'pred': 0.7724609375, 'score': 0.7724609375, 'examples_seen': 170848, 'step': 5050, 'algorithm': 'bubble_sort'}
{'pred': 0.7353515625, 'score': 0.7353515625, 'examples_seen': 172496, 'step': 5100, 'algorithm': 'bubble_sort'}
{'pred': 0.740234375, 'score': 0.740234375, 'examples_seen': 174192, 'step': 5150, 'algorithm': 'bubble_sort'}
{'pred': 0.7529296875, 'score': 0.7529296875, 'examples_seen': 175968, 'step': 5200, 'algorithm': 'bubble_sort'}
{'pred': 0.74609375, 'score': 0.74609375, 'examples_seen': 177696, 'step': 5250, 'algorithm': 'bubble_sort'}
{'pred': 0.7314453125, 'score': 0.7314453125, 'examples_seen': 179376, 'step': 5300, 'algorithm': 'bubble_sort'}
{'pred': 0.71484375, 'score': 0.71484375, 'examples_seen': 181040, 'step': 5350, 'algorithm': 'bubble_sort'}
{'pred': 0.845703125, 'score': 0.845703125, 'examples_seen': 182704, 'step': 5400, 'algorithm': 'bubble_sort'}
{'pred': 0.8046875, 'score': 0.8046875, 'examples_seen': 184352, 'step': 5450, 'algorithm': 'bubble_sort'}
{'pred': 0.830078125, 'score': 0.830078125, 'examples_seen': 186016, 'step': 5500, 'algorithm': 'bubble_sort'}
{'pred': 0.8017578125, 'score': 0.8017578125, 'examples_seen': 187776, 'step': 5550, 'algorithm': 'bubble_sort'}
{'pred': 0.75390625, 'score': 0.75390625, 'examples_seen': 189520, 'step': 5600, 'algorithm': 'bubble_sort'}
{'pred': 0.76953125, 'score': 0.76953125, 'examples_seen': 191184, 'step': 5650, 'algorithm': 'bubble_sort'}
{'pred': 0.783203125, 'score': 0.783203125, 'examples_seen': 192864, 'step': 5700, 'algorithm': 'bubble_sort'}
{'pred': 0.73046875, 'score': 0.73046875, 'examples_seen': 194544, 'step': 5750, 'algorithm': 'bubble_sort'}
{'pred': 0.744140625, 'score': 0.744140625, 'examples_seen': 196208, 'step': 5800, 'algorithm': 'bubble_sort'}
{'pred': 0.7060546875, 'score': 0.7060546875, 'examples_seen': 197856, 'step': 5850, 'algorithm': 'bubble_sort'}
{'pred': 0.7587890625, 'score': 0.7587890625, 'examples_seen': 199632, 'step': 5900, 'algorithm': 'bubble_sort'}
